MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.001|+1.163|+1.162|+0.001|+0.000|+0.015|-0.000|+0.014|-0.034|+0.000|+0.000|-0.004|+1.140|+0.000|-0.009|+0.021|-0.000|+0.000|+1.152|
002:+0.000|+0.002|+1.144|+1.144|+0.002|-0.000|-0.005|+0.000|+0.012|-0.001|-0.000|+0.000|+0.006|+1.155|+0.000|+0.006|-0.013|+0.000|+0.000|+1.148|
003:+0.000|+0.002|+1.138|+1.138|+0.002|-0.000|+0.019|+0.000|-0.015|-0.007|-0.000|+0.000|-0.003|+1.150|+0.000|+0.018|-0.014|+0.000|+0.000|+1.154|
004:+0.000|+0.002|+1.150|+1.150|+0.002|+0.000|-0.018|-0.000|-0.002|+0.014|+0.000|+0.000|-0.006|+1.169|+0.000|+0.003|-0.021|-0.000|+0.000|+1.151|
005:+0.000|+0.001|+1.145|+1.145|+0.001|+0.000|-0.005|+0.000|-0.007|+0.013|+0.001|+0.000|+0.001|+1.151|+0.000|+0.001|-0.008|-0.000|+0.000|+1.145|
006:+0.000|+0.004|+1.155|+1.155|+0.004|-0.000|+0.010|-0.000|+0.012|-0.022|-0.001|+0.000|+0.001|+1.146|+0.000|-0.006|+0.006|+0.001|+0.000|+1.146|
007:+0.000|+0.002|+1.142|+1.142|+0.002|-0.000|-0.012|+0.000|-0.017|+0.026|-0.000|+0.000|-0.003|+1.156|-0.000|+0.007|-0.016|-0.000|+0.000|+1.146|
008:+0.001|+0.001|+1.155|+1.155|+0.001|+0.000|+0.010|-0.000|+0.011|-0.012|+0.000|+0.000|+0.010|+1.144|+0.000|-0.010|+0.010|-0.000|+0.000|+1.144|
009:+0.001|+0.002|+1.154|+1.154|+0.002|+0.000|-0.001|+0.000|-0.006|+0.003|+0.000|+0.000|-0.004|+1.154|-0.000|+0.001|-0.002|-0.000|+0.000|+1.153|
010:+0.000|+0.002|+1.156|+1.156|+0.002|+0.000|+0.002|-0.000|+0.004|-0.005|-0.000|+0.000|+0.001|+1.153|+0.000|-0.005|+0.001|+0.000|+0.000|+1.149|
011:+0.000|+0.002|+1.153|+1.153|+0.002|+0.000|-0.004|+0.000|-0.001|+0.001|+0.000|+0.000|-0.003|+1.155|-0.000|-0.002|-0.004|-0.000|+0.000|+1.150|
012:+0.001|+0.002|+1.151|+1.151|+0.002|+0.000|-0.003|+0.000|+0.008|+0.009|+0.001|+0.000|+0.014|+1.151|+0.000|-0.002|-0.002|-0.000|+0.000|+1.147|
