H0|H0'|E|1|1_p1|1_p2|partial1|
001:+0.693|+0.677|+0.000|+0.435|+0.435|+0.000|+0.677|
002:+0.676|+0.673|+0.000|+0.435|+0.435|+0.000|+0.673|
003:+0.674|+0.673|+0.000|+0.443|+0.443|+0.000|+0.673|
004:+0.674|+0.676|+0.000|+0.431|+0.431|+0.000|+0.676|
005:+0.676|+0.676|+0.000|+0.440|+0.440|+0.000|+0.676|
006:+0.675|+0.644|+0.000|+0.400|+0.400|-0.000|+0.644|
007:+0.645|+0.646|+0.000|+0.396|+0.396|+0.000|+0.646|
008:+0.643|+0.645|+0.000|+0.405|+0.405|+0.000|+0.645|
009:+0.650|+0.647|+0.000|+0.410|+0.410|+0.000|+0.647|
010:+0.642|+0.642|+0.000|+0.403|+0.403|+0.000|+0.642|
011:+0.647|+0.612|+0.000|+0.392|+0.392|+0.000|+0.612|
012:+0.617|+0.621|+0.000|+0.386|+0.386|+0.000|+0.621|
013:+0.619|+0.615|+0.000|+0.389|+0.389|+0.000|+0.615|
014:+0.618|+0.611|+0.000|+0.377|+0.377|+0.000|+0.611|
015:+0.615|+0.618|+0.000|+0.375|+0.375|+0.000|+0.618|
016:+0.621|+0.594|+0.000|+0.378|+0.378|+0.000|+0.594|
017:+0.604|+0.594|+0.000|+0.382|+0.382|+0.000|+0.594|
018:+0.598|+0.596|+0.000|+0.380|+0.380|-0.000|+0.596|
019:+0.596|+0.592|+0.000|+0.374|+0.374|-0.000|+0.592|
020:+0.603|+0.589|+0.000|+0.377|+0.377|+0.000|+0.589|
021:+0.600|+0.582|+0.000|+0.366|+0.366|+0.000|+0.582|
022:+0.581|+0.585|+0.000|+0.379|+0.379|+0.000|+0.585|
023:+0.580|+0.583|+0.000|+0.366|+0.366|+0.000|+0.583|
024:+0.582|+0.586|+0.000|+0.391|+0.391|+0.000|+0.586|
025:+0.576|+0.581|+0.000|+0.372|+0.372|+0.000|+0.581|
026:+0.588|+0.376|+0.000|+0.183|+0.183|+0.000|+0.376|
027:+0.377|+0.375|+0.000|+0.182|+0.182|+0.000|+0.375|
028:+0.372|+0.375|+0.000|+0.180|+0.180|+0.000|+0.375|
029:+0.382|+0.381|+0.000|+0.180|+0.180|-0.000|+0.381|
030:+0.383|+0.379|+0.000|+0.182|+0.182|+0.000|+0.379|
031:+0.374|+0.291|+0.000|+0.167|+0.167|-0.000|+0.291|
032:+0.284|+0.282|+0.000|+0.164|+0.164|+0.000|+0.282|
033:+0.285|+0.279|+0.000|+0.155|+0.155|+0.000|+0.279|
034:+0.285|+0.295|+0.000|+0.169|+0.169|+0.000|+0.295|
035:+0.285|+0.276|+0.000|+0.163|+0.163|+0.000|+0.276|
036:+0.280|+0.249|+0.000|+0.156|+0.156|+0.000|+0.249|
037:+0.246|+0.244|+0.000|+0.148|+0.148|-0.000|+0.244|
038:+0.233|+0.247|+0.000|+0.154|+0.154|+0.000|+0.247|
039:+0.252|+0.252|+0.000|+0.156|+0.156|-0.000|+0.252|
