H0|H0'|1|1_p1|1_p2|partial1|
001:+0.693|+0.693|+0.000|+0.000|+0.000|+0.693|
002:+0.693|+0.569|-0.000|+0.000|+0.000|+0.569|
003:+0.564|+0.553|-0.000|-0.000|+0.000|+0.553|
004:+0.571|+0.560|+0.000|+0.000|+0.000|+0.560|
005:+0.562|+0.560|+0.000|+0.000|-0.000|+0.560|
006:+0.557|+0.562|+0.000|+0.000|+0.000|+0.562|
007:+0.550|+0.565|+0.000|+0.000|+0.000|+0.565|
008:+0.567|+0.662|+0.000|+0.000|-0.000|+0.661|
009:+0.658|+0.664|+0.000|+0.000|+0.000|+0.664|
010:+0.665|+0.656|-0.000|-0.000|+0.000|+0.656|
011:+0.664|+0.488|+0.000|+0.000|+0.000|+0.488|
012:+0.480|+0.479|+0.000|+0.000|-0.000|+0.479|
013:+0.487|+0.482|+0.000|+0.000|-0.000|+0.482|
014:+0.489|+0.433|+0.000|+0.000|+0.000|+0.433|
015:+0.442|+0.427|+0.000|+0.000|+0.000|+0.427|
016:+0.432|+0.552|-0.000|-0.000|+0.000|+0.552|
017:+0.560|+0.660|-0.000|-0.000|+0.000|+0.660|
018:+0.657|+0.662|+0.000|+0.000|+0.000|+0.662|
019:+0.658|+0.661|+0.000|+0.000|+0.000|+0.661|
020:+0.659|+0.480|+0.000|+0.000|+0.000|+0.480|
021:+0.472|+0.483|+0.000|+0.000|+0.000|+0.483|
022:+0.484|+0.483|+0.000|+0.000|-0.000|+0.483|
023:+0.481|+0.422|+0.000|+0.000|-0.000|+0.422|
024:+0.437|+0.430|+0.000|+0.000|+0.000|+0.430|
025:+0.420|+0.567|+0.000|+0.000|+0.000|+0.567|
026:+0.557|+0.665|+0.000|+0.000|+0.000|+0.664|
027:+0.666|+0.659|-0.000|+0.000|+0.000|+0.659|
028:+0.662|+0.660|+0.000|+0.000|-0.000|+0.660|
029:+0.659|+0.479|+0.000|+0.000|+0.000|+0.479|
030:+0.487|+0.477|+0.000|+0.000|-0.000|+0.477|
031:+0.488|+0.483|+0.000|+0.000|+0.000|+0.483|
032:+0.487|+0.434|-0.000|+0.000|+0.000|+0.434|
033:+0.427|+0.435|+0.000|+0.000|+0.000|+0.435|
034:+0.418|+0.566|-0.000|-0.000|+0.000|+0.566|
035:+0.561|+0.662|+0.000|+0.000|-0.000|+0.662|
036:+0.664|+0.667|-0.000|+0.000|+0.000|+0.667|
037:+0.663|+0.659|+0.000|+0.000|+0.000|+0.659|
038:+0.660|+0.476|+0.000|+0.000|+0.000|+0.476|
039:+0.483|+0.485|-0.000|+0.000|+0.000|+0.485|
