MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|-0.000|+0.000|+0.000|+0.693|+0.000|-0.000|+0.000|+0.000|+0.000|+0.693|
002:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|-0.000|+0.000|+0.000|-0.000|+0.693|+0.000|-0.000|+0.000|-0.000|+0.000|+0.693|
003:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|-0.136|+0.000|-0.000|+0.000|-0.136|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.693|
004:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|-0.000|+0.138|-0.133|+0.000|+0.000|+0.004|+0.693|+0.000|-0.136|+0.000|-0.000|+0.000|+0.557|
005:+0.000|+0.000|+0.560|+0.560|+0.000|-0.000|-0.137|+0.000|-0.004|+0.141|+0.000|+0.000|+0.001|+0.693|+0.000|+0.001|-0.133|-0.000|+0.000|+0.561|
006:+0.000|+0.000|+0.565|+0.565|+0.000|+0.000|+0.002|+0.000|-0.002|-0.006|-0.000|+0.000|-0.006|+0.556|+0.000|-0.003|+0.008|+0.000|+0.000|+0.562|
007:+0.000|+0.000|+0.561|+0.561|+0.000|+0.000|+0.005|+0.000|+0.007|-0.002|-0.000|+0.000|+0.010|+0.558|+0.000|-0.005|+0.002|+0.000|+0.000|+0.556|
008:+0.000|+0.000|+0.564|+0.564|+0.000|+0.000|+0.011|+0.000|+0.001|-0.013|+0.000|+0.000|-0.001|+0.563|+0.000|+0.002|+0.001|-0.000|+0.000|+0.566|
009:+0.000|+0.000|+0.562|+0.562|+0.000|+0.000|-0.014|+0.000|+0.097|+0.017|+0.000|+0.000|+0.100|+0.574|+0.000|+0.003|-0.013|-0.000|+0.000|+0.564|
010:+0.000|+0.000|+0.565|+0.565|+0.000|-0.000|+0.005|+0.000|-0.101|+0.092|+0.000|+0.000|-0.004|+0.561|+0.000|+0.100|+0.004|+0.000|+0.000|+0.664|
011:+0.000|+0.000|+0.662|+0.662|+0.000|+0.000|+0.096|+0.000|+0.005|-0.099|-0.000|+0.000|+0.002|+0.566|+0.000|-0.001|+0.096|+0.000|+0.000|+0.660|
012:+0.000|+0.000|+0.659|+0.659|+0.000|+0.000|-0.001|+0.000|-0.178|+0.003|-0.000|+0.000|-0.176|+0.661|+0.000|+0.003|-0.003|+0.000|+0.000|+0.662|
013:+0.000|+0.000|+0.661|+0.661|+0.000|+0.000|+0.000|-0.000|+0.171|-0.177|-0.000|+0.000|-0.005|+0.661|+0.000|-0.175|-0.000|+0.000|+0.000|+0.486|
014:+0.000|+0.000|+0.484|+0.484|+0.000|+0.000|-0.178|+0.000|+0.014|+0.171|+0.000|+0.000|+0.005|+0.661|+0.000|-0.004|-0.177|-0.000|+0.000|+0.480|
015:+0.000|+0.000|+0.476|+0.476|+0.000|+0.000|-0.002|+0.000|-0.061|+0.021|-0.000|+0.000|-0.042|+0.483|+0.000|+0.010|-0.007|+0.000|+0.000|+0.486|
016:+0.000|+0.000|+0.495|+0.495|+0.000|+0.000|+0.005|+0.000|+0.050|-0.068|+0.000|+0.000|-0.013|+0.480|+0.000|-0.051|+0.014|-0.000|+0.000|+0.444|
017:+0.000|+0.000|+0.432|+0.432|+0.000|-0.000|-0.051|-0.000|+0.134|+0.045|-0.000|+0.000|+0.129|+0.486|+0.000|-0.001|-0.054|+0.000|+0.000|+0.431|
018:+0.000|+0.000|+0.427|+0.427|+0.000|+0.000|+0.002|+0.000|-0.032|+0.133|-0.000|+0.000|+0.103|+0.435|-0.000|+0.133|-0.008|-0.000|+0.000|+0.559|
019:+0.000|+0.000|+0.562|+0.562|+0.000|+0.000|+0.119|+0.000|-0.100|-0.019|-0.000|+0.000|+0.001|+0.437|+0.000|+0.101|+0.124|-0.000|+0.000|+0.663|
020:+0.000|+0.000|+0.662|+0.662|+0.000|+0.000|+0.106|+0.000|+0.001|-0.108|-0.000|+0.000|-0.000|+0.556|+0.000|+0.001|+0.106|-0.000|+0.000|+0.663|
021:+0.000|+0.000|+0.660|+0.660|+0.000|+0.000|-0.003|+0.000|-0.184|+0.005|+0.000|+0.000|-0.183|+0.662|+0.000|+0.003|-0.002|-0.000|+0.000|+0.663|
022:+0.000|+0.000|+0.661|+0.662|+0.000|+0.000|+0.006|+0.000|+0.187|-0.192|-0.000|+0.000|+0.000|+0.659|+0.000|-0.182|+0.003|+0.000|+0.000|+0.480|
023:+0.000|+0.000|+0.475|+0.475|+0.000|+0.000|-0.183|-0.000|-0.011|+0.194|-0.000|+0.000|-0.001|+0.664|+0.000|+0.005|-0.189|+0.000|+0.000|+0.480|
