MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.217|+0.217|+0.000|+0.000|-0.128|+0.006|+0.000|+0.117|-0.000|-0.005|+0.000|+0.693|+0.476|+0.000|-0.132|-0.000|+0.343|+0.693|
002:+0.000|+0.000|+0.211|+0.211|+0.000|-0.000|-0.007|-0.001|-0.000|+0.022|+0.000|+0.013|-0.000|+0.565|+0.482|+0.000|-0.016|-0.000|+0.339|+0.693|
003:+0.000|+0.000|+0.212|+0.212|+0.000|-0.000|+0.005|-0.001|-0.000|-0.003|-0.000|-0.000|+0.000|+0.558|+0.481|+0.000|+0.006|+0.000|+0.351|+0.693|
004:+0.000|+0.000|+0.214|+0.214|+0.000|-0.000|-0.008|-0.002|+0.000|-0.000|+0.000|-0.010|-0.000|+0.562|+0.479|+0.000|+0.002|+0.000|+0.351|+0.693|
005:+0.000|+0.000|+0.216|+0.216|+0.000|-0.000|+0.009|-0.006|-0.130|+0.005|-0.000|+0.007|-0.130|+0.554|+0.477|+0.000|+0.002|+0.000|+0.341|+0.693|
006:+0.000|+0.000|+0.222|+0.222|+0.000|-0.000|-0.007|-0.048|+0.124|+0.095|+0.000|+0.171|-0.006|+0.563|+0.471|-0.130|+0.007|-0.000|+0.348|+0.563|
007:+0.000|+0.000|+0.139|+0.139|+0.000|-0.000|+0.105|+0.000|-0.006|-0.103|-0.000|-0.002|-0.002|+0.556|+0.423|-0.006|+0.103|-0.000|+0.520|+0.557|
008:+0.000|+0.000|+0.143|+0.143|+0.000|-0.000|+0.002|-0.006|+0.027|-0.001|+0.000|+0.009|+0.013|+0.661|+0.423|-0.012|-0.001|-0.000|+0.517|+0.554|
009:+0.000|+0.000|+0.135|+0.135|+0.000|+0.000|-0.001|+0.073|-0.004|-0.168|-0.000|-0.094|-0.007|+0.663|+0.417|+0.015|-0.002|-0.000|+0.526|+0.567|
010:+0.000|+0.000|+0.060|+0.060|+0.000|-0.000|-0.187|+0.014|-0.012|+0.178|+0.000|-0.011|+0.004|+0.662|+0.490|+0.011|-0.170|-0.000|+0.432|+0.560|
011:+0.000|+0.000|+0.062|+0.062|+0.000|+0.000|+0.010|+0.002|+0.093|-0.006|-0.000|+0.002|+0.097|+0.476|+0.504|-0.002|+0.007|+0.000|+0.421|+0.564|
012:+0.000|+0.000|+0.064|+0.064|+0.000|-0.000|-0.005|+0.075|-0.089|-0.053|+0.000|-0.074|+0.002|+0.486|+0.506|+0.092|+0.001|-0.000|+0.423|+0.662|
013:+0.000|+0.000|+0.080|+0.080|+0.000|-0.000|-0.040|+0.002|-0.007|+0.039|-0.000|-0.003|-0.003|+0.481|+0.581|+0.003|-0.052|-0.000|+0.349|+0.664|
014:+0.000|+0.000|+0.082|+0.082|+0.000|-0.000|-0.016|-0.063|-0.182|+0.151|+0.000|+0.076|-0.187|+0.441|+0.583|-0.004|-0.013|-0.000|+0.346|+0.661|
015:+0.000|+0.000|+0.141|+0.141|+0.000|-0.000|+0.139|-0.140|+0.182|-0.041|+0.000|+0.140|+0.000|+0.425|+0.520|-0.186|+0.138|-0.000|+0.422|+0.474|
016:+0.000|+0.000|+0.099|+0.099|+0.000|+0.000|+0.100|-0.004|+0.008|-0.095|-0.000|+0.002|+0.008|+0.564|+0.380|-0.004|+0.097|+0.000|+0.562|+0.474|
017:+0.000|+0.000|+0.101|+0.101|+0.000|-0.000|-0.001|+0.001|-0.061|-0.002|-0.000|-0.000|-0.064|+0.663|+0.376|+0.004|+0.002|+0.000|+0.564|+0.482|
018:+0.000|+0.000|+0.098|+0.098|+0.000|+0.000|+0.003|+0.017|+0.062|-0.183|+0.000|-0.117|+0.015|+0.662|+0.377|-0.057|-0.000|-0.000|+0.564|+0.418|
019:+0.000|+0.000|+0.035|+0.035|+0.000|+0.000|-0.186|+0.006|+0.124|+0.185|+0.000|-0.002|+0.131|+0.665|+0.394|+0.004|-0.183|+0.000|+0.447|+0.433|
020:+0.000|+0.000|+0.036|+0.036|+0.000|+0.000|-0.000|+0.106|-0.037|-0.003|-0.000|-0.028|+0.093|+0.479|+0.400|+0.128|+0.001|+0.000|+0.445|+0.564|
021:+0.000|+0.000|+0.061|+0.061|+0.000|+0.000|+0.002|+0.070|-0.087|-0.035|+0.000|-0.059|+0.009|+0.479|+0.506|+0.091|-0.002|-0.000|+0.416|+0.657|
022:+0.000|+0.000|+0.086|+0.086|+0.000|+0.000|-0.038|+0.001|-0.002|+0.032|-0.000|-0.002|-0.005|+0.481|+0.576|+0.004|-0.037|+0.000|+0.358|+0.666|
023:+0.000|+0.000|+0.083|+0.083|+0.000|-0.000|-0.018|-0.056|-0.185|+0.140|-0.000|+0.062|-0.181|+0.443|+0.577|+0.002|-0.005|+0.000|+0.355|+0.661|
