MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.693|+0.000|-0.000|-0.000|+0.000|+0.000|+0.693|
002:+0.000|+0.000|+0.693|+0.693|+0.000|-0.000|+0.000|+0.000|-0.127|+0.000|-0.000|+0.000|-0.127|+0.693|+0.000|-0.000|+0.000|+0.000|+0.000|+0.693|
003:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|+0.133|-0.137|+0.000|+0.000|-0.004|+0.693|+0.000|-0.127|+0.000|-0.000|+0.000|+0.566|
004:+0.000|+0.000|+0.556|+0.556|+0.000|+0.000|-0.131|+0.000|-0.000|+0.132|+0.000|+0.000|+0.002|+0.693|+0.000|+0.006|-0.137|-0.000|+0.000|+0.562|
005:+0.000|+0.000|+0.558|+0.558|+0.000|+0.000|-0.009|+0.000|+0.010|+0.009|-0.000|+0.000|+0.011|+0.562|+0.000|+0.006|-0.004|+0.000|+0.000|+0.564|
006:+0.000|+0.000|+0.558|+0.558|+0.000|+0.000|+0.015|+0.000|-0.016|-0.012|+0.000|+0.000|-0.013|+0.553|+0.000|+0.017|+0.005|-0.000|+0.000|+0.575|
007:+0.000|+0.000|+0.561|+0.561|+0.000|-0.000|-0.010|+0.000|-0.002|+0.009|-0.000|+0.000|-0.003|+0.568|+0.000|+0.001|-0.007|+0.000|+0.000|+0.561|
008:+0.000|+0.000|+0.560|+0.560|+0.000|+0.000|-0.000|+0.000|+0.108|-0.005|-0.000|+0.000|+0.103|+0.558|+0.000|-0.001|+0.002|+0.000|+0.000|+0.559|
009:+0.000|+0.000|+0.555|+0.555|+0.000|+0.000|+0.005|+0.000|-0.106|+0.104|-0.000|+0.000|+0.003|+0.558|+0.000|+0.107|-0.003|-0.000|+0.000|+0.662|
010:+0.000|+0.000|+0.664|+0.664|+0.000|+0.000|+0.105|-0.000|-0.002|-0.107|+0.000|+0.000|-0.004|+0.563|+0.000|+0.000|+0.101|-0.000|+0.000|+0.665|
011:+0.000|+0.000|+0.662|+0.662|+0.000|+0.000|-0.005|+0.000|-0.178|+0.007|-0.000|+0.000|-0.176|+0.668|+0.000|-0.002|-0.006|+0.000|+0.000|+0.660|
012:+0.000|+0.000|+0.664|+0.664|+0.000|+0.000|-0.004|-0.000|+0.181|-0.176|+0.000|+0.000|+0.000|+0.663|+0.000|-0.180|+0.001|-0.000|+0.000|+0.484|
013:+0.000|+0.000|+0.483|+0.483|+0.000|+0.000|-0.181|+0.000|-0.002|+0.178|+0.000|+0.000|-0.005|+0.658|+0.000|+0.001|-0.175|+0.000|+0.000|+0.484|
014:+0.000|+0.000|+0.480|+0.481|+0.000|+0.000|+0.006|+0.000|-0.047|-0.008|-0.000|+0.000|-0.049|+0.478|+0.000|-0.001|+0.003|+0.000|+0.000|+0.479|
015:+0.000|+0.000|+0.479|+0.479|+0.000|+0.000|+0.008|-0.000|+0.052|-0.053|-0.000|+0.000|+0.008|+0.484|+0.000|-0.048|-0.005|-0.000|+0.000|+0.430|
016:+0.000|+0.000|+0.434|+0.434|+0.000|+0.000|-0.069|+0.000|+0.130|+0.072|+0.000|+0.000|+0.132|+0.492|+0.000|+0.004|-0.058|-0.000|+0.000|+0.438|
017:+0.000|+0.000|+0.437|+0.437|+0.000|-0.000|+0.006|-0.000|-0.039|+0.125|+0.000|+0.000|+0.091|+0.423|+0.000|+0.134|+0.014|-0.000|+0.000|+0.570|
018:+0.000|+0.000|+0.568|+0.568|+0.000|+0.000|+0.125|+0.000|-0.093|-0.034|-0.000|+0.000|-0.002|+0.429|+0.000|+0.094|+0.138|+0.000|+0.000|+0.662|
019:+0.000|+0.000|+0.659|+0.659|+0.000|+0.000|+0.107|+0.000|+0.007|-0.107|-0.000|+0.000|+0.007|+0.554|+0.000|+0.001|+0.105|+0.000|+0.000|+0.660|
020:+0.000|+0.000|+0.659|+0.659|+0.000|-0.000|-0.004|+0.000|-0.181|+0.008|+0.000|+0.000|-0.177|+0.662|+0.000|+0.008|-0.003|-0.000|+0.000|+0.667|
021:+0.000|+0.000|+0.663|+0.663|+0.000|+0.000|+0.004|+0.000|+0.174|-0.182|+0.000|+0.000|-0.005|+0.657|+0.000|-0.173|+0.005|+0.000|+0.000|+0.489|
022:+0.000|+0.000|+0.484|+0.484|+0.000|-0.000|-0.183|-0.000|-0.003|+0.184|-0.000|+0.000|-0.002|+0.662|+0.000|+0.000|-0.177|+0.000|+0.000|+0.485|
