H0|H0'|1|1_p1|1_p2|partial1|
001:+0.693|+0.693|+0.000|+0.000|-0.000|+0.693|
002:+0.693|+0.552|+0.000|+0.000|+0.000|+0.552|
003:+0.566|+0.555|-0.000|-0.000|+0.000|+0.555|
004:+0.559|+0.561|+0.000|+0.000|+0.000|+0.561|
005:+0.567|+0.564|+0.000|+0.000|+0.000|+0.564|
006:+0.561|+0.554|-0.000|+0.000|+0.000|+0.554|
007:+0.566|+0.560|+0.000|+0.000|+0.000|+0.560|
008:+0.560|+0.661|+0.000|+0.000|+0.000|+0.661|
009:+0.659|+0.666|+0.000|+0.000|+0.000|+0.665|
010:+0.661|+0.664|+0.000|+0.000|+0.000|+0.664|
011:+0.662|+0.485|+0.000|+0.000|+0.000|+0.485|
012:+0.480|+0.482|+0.000|+0.000|+0.000|+0.482|
013:+0.479|+0.487|+0.000|+0.000|+0.000|+0.487|
014:+0.489|+0.431|-0.000|+0.000|+0.000|+0.431|
015:+0.431|+0.425|+0.000|+0.000|+0.000|+0.425|
016:+0.435|+0.566|+0.000|+0.000|+0.000|+0.565|
017:+0.566|+0.659|-0.000|+0.000|+0.000|+0.659|
018:+0.665|+0.662|+0.000|+0.000|+0.000|+0.662|
019:+0.661|+0.662|-0.000|+0.000|+0.000|+0.661|
020:+0.658|+0.487|+0.000|+0.000|+0.000|+0.487|
021:+0.495|+0.494|+0.000|+0.000|+0.000|+0.494|
022:+0.477|+0.481|-0.000|+0.000|+0.000|+0.481|
023:+0.480|+0.444|-0.000|+0.000|+0.000|+0.444|
024:+0.431|+0.434|-0.000|+0.000|+0.000|+0.434|
025:+0.433|+0.561|+0.000|+0.000|+0.000|+0.561|
026:+0.563|+0.663|+0.000|+0.000|-0.000|+0.663|
027:+0.661|+0.665|+0.000|+0.000|-0.000|+0.665|
028:+0.659|+0.661|+0.000|+0.000|+0.000|+0.661|
029:+0.663|+0.472|-0.000|-0.000|+0.000|+0.472|
030:+0.480|+0.481|+0.000|+0.000|+0.000|+0.481|
031:+0.485|+0.484|+0.000|+0.000|+0.000|+0.484|
032:+0.484|+0.439|+0.000|+0.000|+0.000|+0.439|
033:+0.429|+0.425|+0.000|+0.000|-0.000|+0.425|
034:+0.441|+0.564|+0.000|+0.000|-0.000|+0.564|
035:+0.556|+0.659|-0.000|+0.000|+0.000|+0.659|
036:+0.662|+0.661|-0.000|+0.000|+0.000|+0.660|
037:+0.661|+0.664|+0.000|+0.000|+0.000|+0.664|
038:+0.664|+0.475|+0.000|+0.000|+0.000|+0.475|
039:+0.483|+0.486|+0.000|+0.000|+0.000|+0.486|
