MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
029:+0.000|+0.478|+0.000|+0.000|+0.478|+0.000|+0.000|-0.186|+0.198|-0.013|-0.000|-0.000|+0.000|+0.000|+0.665|-0.187|-0.000|-0.000|+0.478|+0.000|
030:+0.000|+0.491|+0.000|+0.000|+0.491|+0.000|+0.000|+0.002|-0.011|-0.030|-0.000|-0.039|+0.000|+0.000|+0.479|+0.011|-0.013|-0.000|+0.477|+0.000|
031:+0.000|+0.482|+0.000|+0.000|+0.482|+0.000|+0.000|+0.000|-0.053|+0.047|-0.000|-0.006|+0.000|+0.000|+0.481|+0.001|-0.043|-0.000|+0.439|+0.000|
032:+0.000|+0.430|+0.000|+0.000|+0.430|+0.000|+0.000|-0.048|+0.049|+0.120|+0.000|+0.120|+0.000|+0.000|+0.482|-0.052|+0.004|-0.000|+0.433|+0.000|
033:+0.000|+0.431|+0.000|+0.000|+0.431|+0.000|+0.000|+0.001|+0.132|-0.029|-0.000|+0.105|+0.000|+0.000|+0.433|-0.003|+0.123|+0.000|+0.554|+0.000|
034:+0.000|+0.564|+0.000|+0.000|+0.564|+0.000|+0.000|+0.120|-0.028|-0.088|+0.000|+0.004|+0.000|+0.000|+0.434|+0.130|+0.094|-0.000|+0.658|+0.000|
035:+0.000|+0.656|+0.000|+0.000|+0.656|+0.000|+0.000|+0.106|-0.101|-0.001|-0.000|+0.004|+0.000|+0.000|+0.554|+0.101|+0.006|+0.000|+0.662|+0.000|
036:+0.000|+0.661|+0.000|+0.000|+0.661|+0.000|+0.000|-0.001|+0.003|-0.190|+0.000|-0.188|+0.000|+0.000|+0.661|-0.000|+0.006|-0.000|+0.666|+0.000|
037:+0.000|+0.663|+0.000|+0.000|+0.663|+0.000|+0.000|+0.002|-0.177|+0.178|+0.000|+0.003|+0.000|+0.000|+0.660|+0.003|-0.184|-0.000|+0.478|+0.000|
038:+0.000|+0.487|+0.000|+0.000|+0.487|+0.000|+0.000|-0.179|+0.178|+0.012|-0.000|+0.011|+0.000|+0.000|+0.661|-0.174|-0.006|-0.000|+0.481|+0.000|
039:+0.000|+0.487|+0.000|+0.000|+0.487|+0.000|+0.000|+0.003|-0.015|-0.049|+0.000|-0.061|+0.000|+0.000|+0.482|+0.004|+0.006|-0.000|+0.492|+0.000|
