MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|-0.000|+0.000|+0.000|+0.693|+0.000|-0.000|+0.000|+0.000|+0.000|+0.693|
002:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|-0.127|-0.000|+0.000|+0.000|-0.127|+0.693|+0.000|-0.000|+0.000|-0.000|+0.000|+0.693|
003:+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|+0.000|+0.000|+0.130|-0.132|+0.000|+0.000|-0.001|+0.693|+0.000|-0.127|+0.000|-0.000|+0.000|+0.566|
004:+0.000|+0.000|+0.561|+0.561|+0.000|+0.000|-0.134|+0.000|-0.007|+0.141|-0.000|+0.000|+0.000|+0.693|+0.000|+0.003|-0.132|+0.000|+0.000|+0.564|
005:+0.000|+0.000|+0.569|+0.569|+0.000|+0.000|-0.002|+0.000|+0.012|-0.006|-0.000|+0.000|+0.004|+0.559|+0.000|-0.004|+0.009|-0.000|+0.000|+0.565|
006:+0.000|+0.000|+0.560|+0.560|+0.000|+0.000|+0.007|+0.000|-0.004|-0.002|-0.000|+0.000|+0.001|+0.557|+0.000|+0.009|+0.003|-0.000|+0.000|+0.569|
007:+0.000|+0.000|+0.565|+0.565|+0.000|+0.000|-0.007|+0.000|+0.005|-0.007|+0.000|+0.000|-0.009|+0.564|+0.000|+0.005|+0.001|-0.000|+0.000|+0.570|
008:+0.000|+0.000|+0.551|+0.551|+0.000|+0.000|+0.006|+0.000|+0.095|+0.000|-0.000|+0.000|+0.101|+0.557|+0.000|+0.010|-0.005|+0.000|+0.000|+0.561|
009:+0.000|+0.000|+0.557|+0.557|+0.000|+0.000|-0.008|-0.000|-0.106|+0.113|+0.000|+0.000|-0.001|+0.562|+0.000|+0.105|-0.005|-0.000|+0.000|+0.662|
010:+0.000|+0.000|+0.663|+0.663|+0.000|+0.000|+0.110|+0.000|-0.002|-0.107|+0.000|+0.000|-0.000|+0.554|-0.000|-0.001|+0.108|+0.000|+0.000|+0.661|
011:+0.000|+0.000|+0.665|+0.665|+0.000|-0.000|-0.004|+0.000|-0.162|-0.001|-0.000|+0.000|-0.167|+0.664|-0.000|-0.004|+0.001|+0.000|+0.000|+0.661|
012:+0.000|+0.001|+0.661|+0.661|+0.001|-0.000|+0.001|+0.000|+0.161|-0.174|+0.000|+0.000|-0.011|+0.660|+0.000|-0.166|+0.000|-0.000|+0.000|+0.494|
013:+0.000|+0.000|+0.488|+0.488|+0.000|+0.000|-0.173|+0.000|-0.004|+0.173|+0.000|+0.000|-0.004|+0.661|+0.000|-0.004|-0.174|+0.000|+0.000|+0.483|
014:+0.000|+0.000|+0.488|+0.488|+0.000|+0.000|-0.007|+0.000|-0.030|-0.002|-0.000|+0.000|-0.039|+0.488|+0.000|-0.008|-0.000|+0.000|+0.000|+0.479|
015:+0.000|+0.000|+0.479|+0.479|+0.000|-0.000|-0.007|-0.000|+0.038|-0.031|+0.000|+0.000|-0.001|+0.481|+0.000|-0.039|-0.002|-0.000|+0.000|+0.440|
016:+0.000|+0.000|+0.440|+0.440|+0.000|-0.000|-0.027|-0.000|+0.127|+0.020|-0.000|+0.000|+0.119|+0.473|+0.000|-0.001|-0.033|+0.000|+0.000|+0.439|
017:+0.000|+0.000|+0.433|+0.433|+0.000|-0.000|-0.018|+0.000|-0.024|+0.147|-0.000|+0.000|+0.105|+0.446|+0.000|+0.126|-0.013|-0.000|+0.000|+0.559|
018:+0.000|+0.000|+0.562|+0.562|+0.000|-0.000|+0.133|-0.000|-0.101|-0.032|+0.000|+0.000|-0.001|+0.428|+0.000|+0.101|+0.133|-0.000|+0.000|+0.663|
019:+0.000|+0.000|+0.662|+0.663|+0.000|-0.000|+0.099|-0.000|+0.003|-0.101|-0.000|+0.000|+0.001|+0.561|+0.000|+0.000|+0.102|+0.000|+0.000|+0.662|
020:+0.000|+0.000|+0.661|+0.661|+0.000|-0.000|+0.003|+0.000|-0.183|+0.002|-0.000|+0.000|-0.178|+0.659|-0.000|+0.004|+0.001|+0.000|+0.000|+0.664|
021:+0.000|+0.000|+0.665|+0.665|+0.000|+0.000|+0.000|+0.000|+0.186|-0.185|+0.000|+0.000|+0.001|+0.662|+0.000|-0.179|+0.003|-0.000|+0.000|+0.486|
022:+0.000|+0.000|+0.480|+0.480|+0.000|+0.000|-0.178|+0.000|-0.012|+0.186|+0.000|+0.000|-0.004|+0.662|+0.000|+0.007|-0.183|-0.000|+0.000|+0.486|
