H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.371|+1.372|+0.000|+0.000|+0.000|+0.000|+1.372|
002:+1.368|+1.372|+0.000|+0.000|+0.000|-0.000|+1.372|
003:+1.369|+1.370|+0.000|+0.000|+0.000|-0.000|+1.369|
004:+1.373|+1.371|+0.000|-0.000|+0.000|+0.000|+1.370|
005:+1.372|+1.373|+0.000|+0.000|+0.000|-0.000|+1.372|
006:+1.372|+1.371|+0.000|-0.000|+0.000|+0.000|+1.370|
007:+1.370|+1.370|+0.000|+0.000|+0.000|+0.000|+1.370|
008:+1.368|+1.369|+0.000|+0.000|+0.000|-0.000|+1.368|
009:+1.371|+1.371|+0.000|-0.000|+0.000|+0.000|+1.370|
010:+1.373|+1.371|+0.000|+0.000|+0.000|+0.000|+1.370|
011:+1.371|+1.372|+0.000|-0.000|+0.000|+0.000|+1.372|
012:+1.371|+1.374|+0.000|+0.000|+0.000|-0.000|+1.374|
013:+1.372|+1.370|+0.000|-0.000|+0.000|+0.000|+1.370|
014:+1.372|+1.372|+0.000|+0.000|+0.000|-0.000|+1.371|
015:+1.373|+1.373|+0.000|-0.000|+0.000|+0.000|+1.373|
016:+1.371|+1.370|+0.000|-0.000|+0.000|+0.000|+1.370|
017:+1.372|+1.372|+0.000|-0.000|+0.000|+0.000|+1.371|
018:+1.369|+1.372|+0.000|+0.000|+0.000|-0.000|+1.372|
019:+1.374|+1.372|+0.000|+0.000|+0.000|-0.000|+1.371|
020:+1.371|+1.372|+0.000|-0.000|+0.000|+0.000|+1.371|
021:+1.372|+1.369|+0.000|+0.000|+0.000|-0.000|+1.368|
022:+1.370|+1.370|+0.000|-0.000|+0.000|+0.000|+1.370|
023:+1.371|+1.373|+0.000|+0.000|+0.000|-0.000|+1.373|
024:+1.371|+1.373|+0.000|+0.000|+0.000|-0.000|+1.373|
025:+1.370|+1.370|+0.000|-0.000|+0.000|+0.000|+1.370|
026:+1.372|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.385|
028:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.384|
029:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
030:+1.386|+1.375|+0.000|-0.000|-0.000|+0.000|+1.374|
031:+1.371|+1.369|+0.000|+0.000|+0.000|-0.000|+1.368|
032:+1.371|+1.370|+0.000|-0.000|+0.000|+0.000|+1.370|
033:+1.372|+1.373|+0.000|-0.000|+0.000|+0.000|+1.372|
034:+1.369|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
036:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
037:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.385|
038:+1.386|+1.371|+0.000|-0.000|-0.000|+0.000|+1.371|
039:+1.371|+1.370|+0.000|+0.000|+0.000|-0.000|+1.370|
