MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.001|+0.001|+0.002|+0.002|-0.002|-0.005|+0.001|+0.000|+0.009|+0.001|+0.003|-0.000|+1.371|+1.383|-0.000|-0.006|-0.001|+1.367|+1.384|
002:+0.000|+0.002|+0.002|+0.001|+0.002|+0.001|+0.005|-0.000|+0.000|-0.004|-0.000|+0.001|+0.000|+1.366|+1.384|+0.000|+0.004|+0.000|+1.369|+1.384|
003:+0.000|+0.002|+0.002|+0.002|+0.002|+0.000|-0.001|-0.001|-0.000|-0.003|-0.000|-0.006|-0.000|+1.371|+1.384|+0.000|+0.000|+0.000|+1.371|+1.384|
004:+0.001|+0.001|+0.002|+0.002|+0.002|+0.001|-0.001|+0.001|+0.000|+0.004|+0.000|+0.004|+0.000|+1.369|+1.384|-0.000|-0.003|-0.000|+1.365|+1.384|
005:+0.000|+0.002|+0.001|+0.002|+0.002|-0.001|+0.000|-0.000|+0.000|-0.003|-0.000|-0.004|+0.001|+1.368|+1.384|+0.000|+0.000|-0.000|+1.369|+1.384|
006:+0.001|+0.002|+0.002|+0.001|+0.001|-0.000|+0.000|-0.001|+0.000|+0.005|+0.000|+0.005|-0.001|+1.368|+1.384|+0.000|-0.003|-0.000|+1.365|+1.385|
007:+0.001|+0.002|+0.002|+0.002|+0.002|-0.001|-0.000|+0.001|+0.000|+0.001|+0.000|+0.000|-0.000|+1.369|+1.383|+0.000|+0.001|-0.000|+1.371|+1.384|
008:+0.001|+0.002|+0.002|+0.001|+0.002|+0.000|-0.001|-0.000|-0.000|+0.001|-0.000|-0.000|-0.001|+1.369|+1.384|+0.000|+0.002|+0.000|+1.371|+1.384|
009:+0.001|+0.002|+0.002|+0.002|+0.002|+0.001|+0.002|+0.000|+0.000|-0.003|+0.000|-0.002|+0.001|+1.368|+1.384|-0.000|+0.003|+0.000|+1.371|+1.383|
010:+0.000|+0.001|+0.001|+0.002|+0.001|-0.000|-0.003|-0.000|+0.000|+0.003|-0.001|+0.002|-0.000|+1.369|+1.384|+0.000|-0.000|+0.001|+1.369|+1.384|
011:+0.001|+0.002|+0.002|+0.002|+0.002|-0.001|+0.004|-0.000|-0.000|-0.004|-0.000|-0.001|+0.000|+1.367|+1.384|+0.000|+0.003|-0.000|+1.370|+1.384|
012:+0.001|+0.002|+0.002|+0.002|+0.002|-0.001|-0.001|+0.001|+0.000|+0.003|+0.000|+0.001|+0.001|+1.371|+1.383|+0.000|-0.001|-0.000|+1.369|+1.384|
013:+0.000|+0.001|+0.002|+0.001|+0.001|+0.000|+0.002|+0.000|-0.000|-0.005|+0.000|-0.003|-0.001|+1.370|+1.384|+0.000|+0.001|-0.000|+1.370|+1.385|
014:+0.000|+0.002|+0.002|+0.001|+0.002|+0.001|-0.000|-0.000|+0.000|+0.001|-0.000|+0.002|+0.001|+1.371|+1.385|-0.000|-0.003|+0.000|+1.367|+1.384|
015:+0.000|+0.002|+0.002|+0.002|+0.002|-0.000|-0.001|-0.000|+0.000|+0.002|+0.000|-0.000|+0.000|+1.371|+1.384|+0.000|-0.002|-0.000|+1.369|+1.384|
016:+0.000|+0.002|+0.002|+0.002|+0.001|+0.000|+0.001|-0.000|-0.000|-0.002|-0.000|-0.001|-0.001|+1.370|+1.384|+0.000|-0.001|+0.000|+1.369|+1.385|
017:+0.001|+0.002|+0.002|+0.001|+0.002|+0.000|-0.001|+0.000|+0.000|+0.002|-0.000|+0.002|+0.000|+1.371|+1.384|-0.000|-0.003|-0.000|+1.368|+1.384|
018:+0.001|+0.001|+0.001|+0.001|+0.002|+0.000|-0.003|-0.002|+0.000|+0.005|+0.000|+0.001|-0.000|+1.371|+1.384|+0.000|-0.001|-0.000|+1.370|+1.384|
019:+0.001|+0.001|+0.002|+0.003|+0.001|+0.000|+0.001|+0.001|-0.001|-0.006|+0.000|-0.005|-0.001|+1.368|+1.383|+0.000|+0.004|-0.000|+1.371|+1.384|
020:+0.000|+0.001|+0.002|+0.002|+0.002|+0.000|+0.004|+0.001|+0.001|+0.001|-0.000|+0.006|+0.001|+1.369|+1.383|-0.001|-0.002|+0.000|+1.366|+1.383|
021:+0.000|+0.002|+0.002|+0.002|+0.002|+0.001|-0.002|-0.001|+0.000|-0.002|-0.000|-0.003|-0.000|+1.373|+1.384|+0.000|-0.000|+0.000|+1.372|+1.384|
022:+0.000|+0.001|+0.002|+0.002|+0.002|+0.000|-0.003|+0.001|-0.000|+0.005|-0.000|+0.002|+0.000|+1.371|+1.384|+0.000|-0.002|-0.000|+1.369|+1.384|
023:+0.001|+0.002|+0.002|+0.001|+0.002|+0.001|-0.001|-0.001|-0.000|-0.001|-0.001|-0.001|+0.001|+1.368|+1.384|+0.000|+0.003|-0.000|+1.371|+1.384|
024:+0.001|+0.002|+0.002|+0.002|+0.001|-0.002|+0.002|+0.000|+0.000|-0.004|+0.001|-0.003|-0.001|+1.368|+1.383|-0.000|+0.002|-0.001|+1.371|+1.385|
025:+0.000|+0.002|+0.002|+0.002|+0.002|-0.001|-0.001|-0.011|-0.000|+0.017|+0.000|+0.004|-0.000|+1.370|+1.384|+0.000|-0.002|-0.000|+1.368|+1.384|
026:+0.000|+0.002|+0.014|+0.014|+0.002|+0.000|+0.015|-0.002|-0.000|-0.015|-0.000|-0.001|-0.000|+1.369|+1.372|+0.000|+0.015|+0.000|+1.372|+1.384|
027:+0.000|+0.002|+0.015|+0.016|+0.002|-0.001|+0.000|-0.000|+0.000|-0.000|+0.000|-0.002|-0.000|+1.384|+1.370|-0.000|+0.000|-0.000|+1.370|+1.384|
028:+0.000|+0.001|+0.017|+0.016|+0.002|+0.001|-0.000|+0.004|-0.000|+0.000|-0.000|+0.004|+0.001|+1.385|+1.369|-0.000|-0.000|+0.000|+1.369|+1.384|
029:+0.000|+0.002|+0.013|+0.013|+0.001|+0.000|-0.000|+0.010|+0.000|-0.001|-0.000|+0.011|-0.000|+1.384|+1.373|-0.000|+0.000|+0.000|+1.372|+1.385|
030:+0.001|+0.001|+0.002|+0.002|+0.002|+0.000|-0.000|+0.001|-0.000|+0.001|+0.000|+0.001|-0.001|+1.384|+1.384|+0.000|-0.001|-0.000|+1.383|+1.384|
031:+0.000|+0.002|+0.001|+0.001|+0.002|+0.000|+0.000|-0.001|-0.000|-0.000|-0.000|-0.001|-0.000|+1.384|+1.385|+0.000|+0.000|+0.000|+1.384|+1.384|
032:+0.001|+0.002|+0.002|+0.002|+0.002|+0.001|-0.000|-0.001|-0.000|+0.000|-0.000|-0.000|+0.001|+1.384|+1.384|-0.000|-0.000|-0.000|+1.384|+1.384|
033:+0.001|+0.002|+0.002|+0.002|+0.001|-0.001|+0.000|+0.001|+0.000|-0.000|+0.000|+0.000|+0.001|+1.384|+1.383|-0.000|+0.000|-0.000|+1.383|+1.384|
034:+0.000|+0.002|+0.002|+0.002|+0.001|-0.001|+0.000|+0.001|+0.000|+0.000|+0.000|+0.000|-0.001|+1.384|+1.383|-0.000|-0.000|-0.000|+1.384|+1.385|
035:+0.000|+0.002|+0.002|+0.002|+0.002|+0.000|+0.000|-0.001|-0.000|-0.000|-0.000|-0.000|-0.001|+1.384|+1.384|+0.000|+0.000|+0.000|+1.384|+1.384|
036:+0.001|+0.001|+0.002|+0.002|+0.002|+0.001|-0.000|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|+1.384|+1.384|-0.000|-0.000|-0.000|+1.384|+1.384|
037:+0.001|+0.002|+0.002|+0.002|+0.002|+0.001|-0.000|-0.000|-0.000|+0.001|+0.000|+0.000|+0.000|+1.384|+1.384|-0.000|-0.000|-0.000|+1.383|+1.384|
038:+0.000|+0.002|+0.002|+0.002|+0.001|-0.000|-0.001|+0.000|+0.000|-0.000|-0.000|-0.000|-0.001|+1.384|+1.384|-0.000|+0.000|+0.000|+1.384|+1.384|
