MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.001|+1.372|+1.372|+0.001|+0.000|-0.001|+0.000|-0.000|+0.001|+0.000|+0.000|+0.000|+1.371|-0.000|-0.002|-0.001|+0.000|+0.000|+1.369|
002:+0.000|+0.001|+1.372|+1.372|+0.001|-0.000|-0.002|+0.000|+0.003|-0.001|-0.001|+0.000|-0.000|+1.370|-0.000|-0.002|+0.001|+0.000|+0.000|+1.369|
003:+0.001|+0.002|+1.370|+1.370|+0.002|+0.000|+0.004|-0.000|-0.001|-0.002|+0.000|+0.000|+0.000|+1.368|+0.000|+0.001|-0.001|-0.000|+0.000|+1.369|
004:+0.001|+0.001|+1.371|+1.371|+0.001|+0.000|-0.000|+0.000|+0.001|-0.002|+0.000|+0.000|-0.001|+1.372|-0.000|-0.000|-0.002|+0.000|+0.000|+1.369|
005:+0.000|+0.002|+1.369|+1.369|+0.002|+0.000|-0.003|-0.000|-0.002|+0.006|-0.000|+0.000|+0.001|+1.372|+0.000|+0.001|-0.005|+0.000|+0.000|+1.368|
006:+0.000|+0.001|+1.371|+1.372|+0.001|-0.000|+0.001|+0.000|-0.002|-0.002|-0.000|+0.000|-0.003|+1.369|-0.000|-0.001|+0.001|+0.000|+0.000|+1.369|
007:+0.000|+0.002|+1.371|+1.371|+0.002|-0.000|+0.002|-0.000|+0.002|+0.000|-0.000|+0.000|+0.004|+1.370|+0.000|-0.003|-0.001|+0.000|+0.000|+1.366|
008:+0.000|+0.002|+1.373|+1.373|+0.002|+0.000|-0.001|+0.000|+0.001|+0.001|+0.000|+0.000|+0.001|+1.371|+0.000|-0.001|-0.001|-0.000|+0.000|+1.370|
009:+0.000|+0.002|+1.372|+1.372|+0.002|+0.000|+0.001|-0.000|+0.004|-0.005|+0.000|+0.000|+0.000|+1.371|+0.000|-0.000|+0.000|-0.000|+0.000|+1.370|
010:+0.000|+0.002|+1.369|+1.369|+0.002|-0.000|-0.004|+0.000|+0.001|+0.005|-0.000|+0.000|+0.002|+1.371|-0.000|+0.004|-0.004|+0.000|+0.000|+1.371|
011:+0.000|+0.002|+1.370|+1.370|+0.002|+0.000|+0.000|+0.000|-0.004|+0.002|-0.000|+0.000|-0.002|+1.368|-0.000|+0.005|+0.000|+0.000|+0.000|+1.372|
012:+0.001|+0.002|+1.372|+1.371|+0.002|+0.000|+0.004|-0.000|+0.002|-0.007|+0.000|+0.000|-0.001|+1.368|+0.000|+0.001|+0.002|-0.000|+0.000|+1.371|
013:+0.000|+0.002|+1.369|+1.369|+0.002|-0.000|-0.004|+0.000|-0.002|+0.006|+0.000|+0.000|-0.000|+1.372|-0.000|+0.003|-0.005|+0.000|+0.000|+1.370|
014:+0.000|+0.002|+1.371|+1.371|+0.002|-0.000|+0.002|+0.000|+0.000|-0.000|-0.000|+0.000|+0.001|+1.368|+0.000|+0.000|+0.001|+0.000|+0.000|+1.370|
015:+0.000|+0.002|+1.372|+1.372|+0.002|+0.000|+0.003|-0.000|-0.004|-0.003|+0.000|+0.000|-0.004|+1.370|+0.000|+0.000|+0.001|+0.000|+0.000|+1.371|
016:+0.000|+0.001|+1.371|+1.372|+0.001|-0.000|-0.003|+0.000|+0.006|+0.002|+0.000|+0.000|+0.005|+1.373|-0.000|-0.003|-0.002|+0.000|+0.000|+1.367|
017:+0.000|+0.002|+1.370|+1.371|+0.002|+0.000|+0.001|+0.000|-0.003|+0.000|-0.000|+0.000|-0.001|+1.370|+0.000|+0.003|-0.001|+0.001|+0.000|+1.371|
018:+0.000|+0.002|+1.372|+1.372|+0.002|+0.000|-0.003|-0.000|+0.003|-0.001|-0.001|+0.000|-0.000|+1.371|+0.000|-0.000|-0.000|+0.000|+0.000|+1.370|
019:+0.000|+0.002|+1.369|+1.369|+0.002|+0.000|+0.002|+0.000|+0.001|-0.001|+0.000|+0.000|+0.003|+1.368|+0.000|+0.003|-0.001|-0.000|+0.000|+1.370|
020:+0.000|+0.001|+1.370|+1.370|+0.001|+0.000|+0.000|-0.000|-0.001|+0.000|-0.000|+0.000|+0.000|+1.370|+0.000|+0.004|-0.001|-0.000|+0.000|+1.372|
021:+0.000|+0.002|+1.371|+1.371|+0.002|+0.000|+0.002|+0.000|-0.003|-0.002|+0.000|+0.000|-0.004|+1.370|-0.000|+0.003|-0.001|-0.000|+0.000|+1.372|
022:+0.001|+0.002|+1.370|+1.370|+0.002|-0.000|-0.000|-0.000|+0.004|-0.001|+0.000|+0.000|+0.003|+1.372|+0.000|-0.000|-0.003|+0.000|+0.000|+1.368|
023:+0.000|+0.002|+1.369|+1.369|+0.002|+0.000|-0.005|+0.000|-0.007|+0.009|-0.000|+0.000|-0.003|+1.372|-0.000|+0.004|-0.004|+0.000|+0.000|+1.372|
024:+0.000|+0.002|+1.374|+1.374|+0.002|+0.000|+0.002|-0.000|+0.006|-0.006|+0.000|+0.000|+0.002|+1.367|+0.000|-0.003|+0.005|+0.000|+0.000|+1.369|
025:+0.000|+0.001|+1.369|+1.370|+0.001|+0.000|-0.002|+0.334|+0.000|+0.018|+0.000|+0.350|-0.000|+1.369|+0.000|+0.003|-0.001|+0.000|+0.000|+1.371|
026:+0.000|+0.002|+1.035|+1.036|+0.002|-0.000|+0.017|-0.008|-0.005|-0.016|-0.000|-0.005|-0.001|+1.368|+0.334|+0.003|+0.017|+0.000|+0.350|+1.371|
027:+0.000|+0.001|+1.041|+1.048|+0.001|-0.007|-0.000|+0.005|+0.002|-0.000|-0.000|+0.007|-0.001|+1.384|+0.326|-0.002|+0.000|-0.000|+0.345|+1.370|
028:+0.000|+0.002|+1.034|+1.041|+0.002|-0.007|-0.000|-0.000|+0.012|+0.000|+0.001|-0.011|+0.014|+1.384|+0.331|-0.000|-0.000|-0.000|+0.352|+1.370|
029:+0.000|+0.002|+1.044|+1.044|+0.002|+0.001|-0.001|+0.006|-0.012|-0.015|-0.002|-0.017|+0.001|+1.384|+0.331|+0.012|+0.000|+0.001|+0.341|+1.383|
030:+0.001|+0.002|+1.047|+1.048|+0.002|-0.003|-0.014|+0.008|+0.000|+0.016|+0.000|+0.000|-0.000|+1.383|+0.337|-0.000|-0.015|-0.001|+0.324|+1.384|
031:+0.001|+0.002|+1.048|+1.040|+0.002|+0.007|-0.001|+0.003|+0.000|-0.000|+0.001|+0.001|-0.000|+1.369|+0.345|-0.000|+0.001|-0.001|+0.324|+1.384|
032:+0.000|+0.002|+1.046|+1.038|+0.002|+0.008|+0.001|-0.004|-0.015|-0.000|-0.000|+0.005|-0.016|+1.368|+0.348|+0.000|+0.001|-0.000|+0.326|+1.384|
033:+0.001|+0.002|+1.042|+1.042|+0.003|+0.000|+0.001|-0.012|+0.015|+0.013|+0.001|+0.017|+0.000|+1.369|+0.344|-0.015|+0.001|-0.000|+0.330|+1.368|
034:+0.000|+0.002|+1.039|+1.039|+0.002|+0.000|+0.015|-0.005|-0.001|-0.014|+0.000|+0.001|+0.001|+1.370|+0.332|-0.000|+0.014|+0.000|+0.347|+1.368|
035:+0.000|+0.001|+1.038|+1.046|+0.001|-0.007|-0.001|-0.002|+0.001|+0.000|-0.001|-0.004|+0.001|+1.385|+0.326|-0.001|-0.000|+0.000|+0.348|+1.369|
036:+0.000|+0.002|+1.042|+1.047|+0.002|-0.005|-0.001|-0.005|+0.017|-0.000|+0.001|-0.007|+0.012|+1.384|+0.324|-0.000|+0.000|-0.000|+0.344|+1.370|
037:+0.000|+0.003|+1.048|+1.049|+0.003|-0.000|-0.000|+0.019|-0.017|-0.014|-0.001|-0.009|+0.001|+1.383|+0.320|+0.017|-0.000|+0.001|+0.337|+1.382|
038:+0.001|+0.002|+1.043|+1.047|+0.003|-0.003|-0.012|+0.008|+0.000|+0.014|-0.000|-0.001|+0.002|+1.383|+0.339|+0.000|-0.015|-0.000|+0.327|+1.383|
039:+0.001|+0.001|+1.045|+1.039|+0.001|+0.006|-0.004|+0.004|-0.000|+0.003|-0.000|+0.004|-0.000|+1.371|+0.347|+0.000|-0.001|-0.000|+0.326|+1.385|
