H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.342|+1.342|+0.000|+0.000|+0.000|-0.000|+1.341|
002:+1.344|+1.346|+0.000|+0.000|+0.000|-0.000|+1.346|
003:+1.344|+1.347|+0.000|-0.000|+0.000|+0.000|+1.346|
004:+1.351|+1.344|+0.000|-0.000|+0.000|+0.000|+1.343|
005:+1.345|+1.348|+0.000|-0.000|+0.000|+0.000|+1.347|
006:+1.350|+1.341|+0.000|-0.000|+0.000|+0.000|+1.341|
007:+1.345|+1.347|+0.000|-0.000|+0.000|+0.000|+1.347|
008:+1.344|+1.344|+0.000|-0.000|+0.000|+0.000|+1.344|
009:+1.345|+1.347|+0.000|+0.000|+0.000|-0.000|+1.347|
010:+1.348|+1.345|+0.000|-0.000|+0.000|+0.000|+1.345|
011:+1.346|+1.346|+0.000|-0.000|+0.000|+0.000|+1.345|
012:+1.343|+1.341|+0.000|-0.000|+0.000|+0.000|+1.341|
013:+1.346|+1.339|+0.000|-0.000|+0.000|+0.000|+1.339|
014:+1.347|+1.349|+0.000|-0.000|+0.000|+0.000|+1.349|
015:+1.352|+1.347|+0.000|+0.000|+0.000|-0.000|+1.347|
016:+1.345|+1.343|+0.000|+0.000|+0.000|+0.000|+1.343|
017:+1.351|+1.348|+0.000|-0.000|+0.000|+0.000|+1.347|
018:+1.344|+1.348|+0.000|-0.000|+0.000|+0.000|+1.348|
019:+1.346|+1.346|+0.000|-0.000|+0.000|+0.000|+1.345|
020:+1.344|+1.347|+0.000|-0.000|+0.000|+0.000|+1.347|
021:+1.346|+1.346|+0.000|+0.000|+0.000|-0.000|+1.346|
022:+1.344|+1.345|+0.000|-0.000|+0.000|+0.000|+1.345|
023:+1.349|+1.339|+0.000|-0.000|+0.000|+0.000|+1.339|
024:+1.349|+1.342|+0.000|+0.000|+0.000|-0.000|+1.342|
025:+1.348|+1.347|+0.000|+0.000|+0.000|-0.000|+1.346|
026:+1.343|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.383|
028:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.382|
029:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.382|
030:+1.386|+1.348|+0.000|+0.000|+0.000|+0.000|+1.347|
031:+1.346|+1.350|+0.000|+0.000|-0.000|-0.000|+1.349|
032:+1.341|+1.340|+0.000|-0.000|-0.000|+0.000|+1.339|
033:+1.347|+1.348|+0.000|-0.000|-0.000|+0.000|+1.348|
034:+1.346|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.382|
036:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.382|
037:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.383|
038:+1.386|+1.348|+0.000|-0.000|+0.000|+0.000|+1.348|
039:+1.350|+1.349|+0.000|+0.000|-0.000|-0.000|+1.349|
