H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.145|+1.151|+0.000|+0.000|+0.000|-0.000|+1.151|
002:+1.145|+1.151|+0.000|+0.000|+0.000|-0.000|+1.150|
003:+1.151|+1.150|+0.000|+0.000|+0.000|-0.000|+1.150|
004:+1.154|+1.159|+0.000|-0.000|+0.000|+0.000|+1.159|
005:+1.153|+1.157|+0.000|-0.000|+0.000|+0.000|+1.156|
006:+1.152|+1.141|+0.000|+0.000|+0.000|-0.000|+1.141|
007:+1.155|+1.151|+0.000|-0.000|+0.000|+0.000|+1.151|
008:+1.145|+1.152|+0.000|+0.000|+0.000|-0.000|+1.151|
009:+1.148|+1.149|+0.000|+0.000|+0.000|-0.000|+1.149|
010:+1.160|+1.154|+0.000|-0.000|+0.000|+0.000|+1.153|
011:+1.146|+1.161|+0.000|+0.000|+0.000|+0.000|+1.160|
012:+1.155|+1.151|+0.000|+0.000|+0.000|-0.000|+1.150|
013:+1.155|+1.159|+0.000|+0.000|+0.000|+0.000|+1.159|
014:+1.156|+1.159|+0.000|+0.000|+0.000|-0.000|+1.158|
015:+1.151|+1.154|+0.000|+0.000|+0.000|+0.000|+1.154|
016:+1.157|+1.154|+0.000|+0.000|+0.000|+0.000|+1.153|
017:+1.156|+1.150|+0.000|-0.000|+0.000|+0.000|+1.150|
018:+1.160|+1.158|+0.000|-0.000|+0.000|+0.000|+1.157|
019:+1.159|+1.149|+0.000|-0.000|+0.000|+0.000|+1.149|
020:+1.147|+1.161|+0.000|-0.000|+0.000|+0.000|+1.160|
021:+1.149|+1.152|+0.000|+0.000|+0.000|-0.000|+1.151|
022:+1.149|+1.145|+0.000|+0.000|+0.000|-0.000|+1.145|
023:+1.162|+1.143|+0.000|-0.000|+0.000|+0.000|+1.142|
024:+1.151|+1.152|+0.000|+0.000|+0.000|-0.000|+1.152|
025:+1.156|+1.145|+0.000|+0.000|+0.000|-0.000|+1.144|
026:+1.155|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.385|
028:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.385|
029:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.385|
030:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
031:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
032:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
033:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
034:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
036:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
037:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
038:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
039:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
