MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.002|+1.300|+1.299|+0.002|+0.000|+0.009|-0.000|-0.002|-0.001|+0.001|+0.000|+0.004|+1.295|+0.000|+0.004|+0.002|-0.000|+0.000|+1.301|
002:+0.000|+0.002|+1.305|+1.306|+0.002|+0.000|-0.007|+0.000|+0.005|+0.005|-0.001|+0.000|+0.004|+1.304|-0.000|+0.002|+0.000|+0.000|+0.000|+1.306|
003:+0.001|+0.002|+1.304|+1.304|+0.002|-0.000|+0.009|-0.000|-0.010|-0.011|+0.000|+0.000|-0.013|+1.296|+0.000|+0.007|+0.006|-0.000|+0.000|+1.309|
004:+0.000|+0.001|+1.301|+1.301|+0.001|+0.000|-0.001|+0.000|+0.006|+0.002|+0.000|+0.000|+0.008|+1.305|-0.000|-0.003|-0.005|+0.000|+0.000|+1.296|
005:+0.000|+0.002|+1.302|+1.303|+0.002|-0.000|-0.002|-0.000|-0.004|-0.002|+0.000|+0.000|-0.008|+1.305|+0.000|+0.003|-0.003|+0.000|+0.000|+1.304|
006:+0.000|+0.002|+1.299|+1.299|+0.002|+0.000|-0.002|+0.000|+0.002|+0.007|-0.000|+0.000|+0.007|+1.303|-0.000|-0.001|-0.005|+0.000|+0.000|+1.296|
007:+0.000|+0.002|+1.304|+1.304|+0.002|+0.000|-0.002|-0.000|+0.004|-0.002|-0.000|+0.000|-0.000|+1.300|+0.000|+0.001|+0.002|+0.000|+0.000|+1.303|
008:+0.000|+0.003|+1.301|+1.301|+0.003|+0.000|+0.003|-0.000|+0.000|-0.004|+0.000|+0.000|-0.001|+1.299|-0.000|+0.005|-0.001|-0.000|+0.000|+1.303|
009:+0.000|+0.002|+1.299|+1.299|+0.002|+0.000|-0.000|+0.000|-0.009|+0.006|+0.000|+0.000|-0.004|+1.302|-0.000|+0.005|-0.005|+0.000|+0.000|+1.301|
010:+0.000|+0.002|+1.304|+1.304|+0.002|-0.000|-0.002|+0.000|-0.000|+0.002|-0.000|+0.000|+0.001|+1.302|+0.000|-0.005|+0.001|+0.000|+0.000|+1.297|
011:+0.000|+0.001|+1.304|+1.304|+0.001|+0.000|+0.004|-0.000|+0.014|-0.015|-0.000|+0.000|+0.002|+1.300|+0.000|-0.005|+0.003|+0.000|+0.000|+1.298|
012:+0.000|+0.002|+1.293|+1.293|+0.002|+0.000|+0.005|+0.000|-0.009|+0.002|+0.000|+0.000|-0.002|+1.304|-0.000|+0.009|-0.012|-0.000|+0.000|+1.300|
013:+0.000|+0.002|+1.299|+1.300|+0.002|+0.000|-0.007|+0.000|+0.003|+0.006|-0.000|+0.000|+0.003|+1.309|+0.000|-0.000|-0.010|+0.000|+0.000|+1.298|
014:+0.000|+0.002|+1.300|+1.300|+0.002|+0.000|+0.004|+0.000|+0.005|-0.005|+0.000|+0.000|+0.003|+1.302|+0.000|+0.003|-0.004|-0.000|+0.000|+1.301|
015:+0.000|+0.001|+1.297|+1.298|+0.001|-0.000|-0.001|-0.000|-0.009|+0.004|-0.001|+0.000|-0.005|+1.305|+0.000|+0.008|-0.009|+0.000|+0.000|+1.304|
016:+0.001|+0.002|+1.302|+1.301|+0.002|+0.000|-0.003|+0.000|-0.009|+0.010|+0.000|+0.000|-0.003|+1.305|+0.000|-0.001|-0.005|-0.000|+0.000|+1.298|
017:+0.000|+0.002|+1.308|+1.308|+0.002|-0.000|+0.002|+0.000|+0.010|-0.006|-0.000|+0.000|+0.007|+1.301|+0.000|-0.010|+0.005|+0.000|+0.000|+1.296|
018:+0.001|+0.002|+1.305|+1.305|+0.002|-0.000|-0.005|+0.000|+0.006|+0.002|+0.000|+0.000|+0.002|+1.304|+0.000|+0.000|-0.001|+0.000|+0.000|+1.302|
019:+0.000|+0.003|+1.301|+1.301|+0.003|-0.000|+0.005|-0.000|+0.003|-0.011|-0.000|+0.000|-0.003|+1.298|+0.000|+0.006|+0.001|+0.000|+0.000|+1.304|
020:+0.000|+0.002|+1.295|+1.295|+0.002|-0.000|-0.002|+0.000|-0.004|+0.010|-0.000|+0.000|+0.004|+1.303|+0.000|+0.009|-0.010|+0.000|+0.000|+1.302|
021:+0.001|+0.002|+1.303|+1.303|+0.002|+0.000|+0.002|+0.000|+0.005|-0.005|+0.000|+0.000|+0.002|+1.301|+0.000|+0.005|-0.000|-0.000|+0.000|+1.306|
022:+0.000|+0.001|+1.298|+1.299|+0.001|-0.000|-0.006|-0.000|-0.015|+0.005|-0.001|+0.000|-0.015|+1.303|+0.000|+0.010|-0.006|+0.000|+0.000|+1.307|
023:+0.001|+0.003|+1.300|+1.300|+0.003|+0.000|+0.003|+0.000|+0.008|+0.001|+0.001|+0.000|+0.012|+1.297|-0.000|-0.005|-0.000|-0.000|+0.000|+1.292|
024:+0.000|+0.002|+1.303|+1.303|+0.002|-0.000|-0.003|-0.000|-0.003|-0.001|+0.000|+0.000|-0.007|+1.301|+0.000|+0.004|+0.001|+0.000|+0.000|+1.305|
025:+0.000|+0.001|+1.298|+1.299|+0.001|-0.000|+0.002|+0.254|+0.006|+0.084|-0.000|+0.342|+0.004|+1.298|-0.000|+0.001|-0.001|+0.000|+0.000|+1.298|
026:+0.000|+0.002|+1.044|+1.044|+0.002|+0.000|+0.084|+0.009|+0.002|-0.084|+0.000|+0.008|+0.003|+1.300|+0.254|+0.006|+0.084|-0.000|+0.342|+1.302|
027:+0.000|+0.002|+1.036|+1.036|+0.002|+0.000|+0.001|-0.001|-0.003|+0.000|+0.000|-0.000|-0.003|+1.384|+0.263|+0.008|+0.000|+0.000|+0.349|+1.305|
028:+0.000|+0.002|+1.036|+1.037|+0.001|-0.000|+0.000|+0.007|+0.074|-0.000|+0.000|-0.002|+0.082|+1.384|+0.262|+0.005|+0.000|+0.000|+0.349|+1.302|
029:+0.000|+0.001|+1.038|+1.038|+0.001|+0.000|-0.001|+0.077|-0.079|-0.000|-0.001|-0.001|+0.000|+1.385|+0.269|+0.079|+0.000|+0.001|+0.347|+1.384|
030:+0.000|+0.002|+1.040|+1.040|+0.002|-0.000|+0.000|-0.003|-0.000|-0.000|-0.000|-0.004|-0.000|+1.384|+0.346|-0.000|-0.000|-0.000|+0.346|+1.384|
031:+0.001|+0.001|+1.044|+1.043|+0.001|+0.000|-0.000|+0.006|-0.000|+0.000|+0.001|+0.007|-0.001|+1.384|+0.342|-0.000|-0.000|-0.001|+0.342|+1.384|
032:+0.000|+0.002|+1.037|+1.037|+0.002|+0.000|+0.000|+0.004|+0.001|-0.000|-0.001|+0.003|+0.001|+1.384|+0.349|-0.000|+0.000|+0.001|+0.349|+1.383|
033:+0.000|+0.002|+1.034|+1.034|+0.002|+0.000|-0.001|-0.001|-0.000|+0.000|-0.000|-0.001|+0.000|+1.385|+0.352|+0.000|-0.000|+0.000|+0.352|+1.384|
034:+0.000|+0.002|+1.035|+1.035|+0.001|-0.000|+0.000|-0.002|-0.000|-0.000|+0.000|-0.002|-0.000|+1.384|+0.351|+0.000|+0.000|+0.000|+0.351|+1.384|
035:+0.000|+0.001|+1.037|+1.037|+0.001|+0.000|-0.000|-0.006|+0.000|+0.000|-0.000|-0.005|+0.001|+1.384|+0.349|-0.000|-0.000|+0.000|+0.349|+1.384|
036:+0.000|+0.002|+1.043|+1.043|+0.001|-0.001|-0.001|+0.002|-0.000|+0.000|-0.000|+0.002|-0.001|+1.384|+0.343|+0.000|-0.000|+0.000|+0.343|+1.385|
037:+0.001|+0.002|+1.040|+1.040|+0.002|-0.000|+0.000|+0.009|+0.000|-0.000|-0.000|+0.008|+0.000|+1.384|+0.345|-0.000|+0.000|-0.000|+0.346|+1.384|
038:+0.001|+0.002|+1.032|+1.031|+0.002|+0.000|-0.001|-0.005|-0.000|+0.000|+0.000|-0.005|-0.002|+1.384|+0.354|+0.000|-0.000|-0.000|+0.354|+1.384|
039:+0.000|+0.003|+1.037|+1.037|+0.003|+0.000|+0.002|+0.000|-0.000|-0.000|+0.000|+0.000|+0.002|+1.383|+0.349|+0.000|-0.000|-0.000|+0.349|+1.382|
