H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.159|+1.153|+0.000|-0.000|+0.000|+0.000|+1.152|
002:+1.168|+1.146|+0.000|-0.000|+0.000|+0.000|+1.145|
003:+1.161|+1.150|+0.000|+0.000|+0.000|-0.000|+1.149|
004:+1.152|+1.154|+0.000|-0.000|+0.000|+0.000|+1.154|
005:+1.155|+1.160|+0.000|-0.000|+0.000|+0.000|+1.160|
006:+1.149|+1.153|+0.000|+0.000|+0.000|+0.000|+1.152|
007:+1.146|+1.160|+0.000|+0.000|+0.000|-0.000|+1.159|
008:+1.149|+1.149|+0.000|+0.000|+0.000|-0.000|+1.149|
009:+1.156|+1.157|+0.000|-0.000|+0.000|+0.000|+1.156|
010:+1.150|+1.154|+0.000|+0.000|+0.000|-0.000|+1.154|
011:+1.149|+1.155|+0.000|+0.000|+0.000|-0.000|+1.155|
012:+1.157|+1.150|+0.000|+0.000|+0.000|-0.000|+1.150|
013:+1.147|+1.161|+0.000|+0.000|+0.000|-0.000|+1.160|
014:+1.157|+1.146|+0.000|-0.000|+0.000|+0.000|+1.146|
015:+1.151|+1.153|+0.000|-0.000|+0.000|+0.000|+1.152|
016:+1.160|+1.145|+0.000|-0.000|+0.000|+0.000|+1.144|
017:+1.153|+1.156|+0.000|-0.000|+0.000|+0.000|+1.155|
018:+1.153|+1.156|+0.000|+0.000|+0.000|+0.000|+1.155|
019:+1.153|+1.150|+0.000|+0.000|+0.000|-0.000|+1.149|
020:+1.155|+1.152|+0.000|-0.000|+0.000|+0.000|+1.151|
021:+1.153|+1.157|+0.000|+0.000|+0.000|-0.000|+1.157|
022:+1.143|+1.157|+0.000|+0.000|+0.000|+0.000|+1.157|
023:+1.153|+1.150|+0.000|+0.000|+0.000|-0.000|+1.149|
024:+1.160|+1.146|+0.000|+0.000|+0.000|-0.000|+1.146|
025:+1.144|+1.149|+0.000|+0.000|+0.000|+0.000|+1.148|
026:+1.152|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
027:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
028:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
030:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
031:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
032:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
033:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
034:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
036:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
037:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.385|
038:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
039:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
