MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.002|+1.160|+1.159|+0.002|-0.000|-0.006|+0.000|+0.005|+0.007|+0.000|+0.000|+0.006|+1.157|+0.000|-0.012|+0.000|-0.000|+0.000|+1.146|
002:+0.001|+0.001|+1.159|+1.159|+0.001|+0.000|+0.008|-0.000|+0.018|-0.019|-0.000|+0.000|+0.007|+1.151|+0.000|-0.007|+0.007|-0.000|+0.000|+1.151|
003:+0.001|+0.002|+1.149|+1.149|+0.002|+0.000|-0.010|-0.000|-0.025|+0.029|+0.000|+0.000|-0.006|+1.160|+0.000|+0.011|-0.013|-0.000|+0.000|+1.158|
004:+0.001|+0.002|+1.168|+1.168|+0.002|+0.000|+0.000|+0.000|+0.012|-0.016|+0.000|+0.000|-0.004|+1.150|-0.000|-0.014|+0.016|-0.000|+0.000|+1.152|
005:+0.000|+0.001|+1.152|+1.152|+0.001|+0.000|+0.001|+0.000|-0.002|+0.000|-0.000|+0.000|-0.001|+1.150|-0.000|-0.003|+0.001|+0.000|+0.000|+1.148|
006:+0.000|+0.002|+1.154|+1.154|+0.002|+0.000|+0.008|+0.000|+0.006|-0.011|-0.000|+0.000|+0.004|+1.151|-0.000|-0.005|+0.001|+0.000|+0.000|+1.147|
007:+0.000|+0.002|+1.151|+1.151|+0.002|+0.000|-0.005|+0.000|-0.005|+0.012|-0.000|+0.000|+0.002|+1.159|-0.000|+0.001|-0.010|+0.000|+0.000|+1.150|
008:+0.000|+0.002|+1.157|+1.157|+0.002|+0.000|+0.005|-0.000|+0.019|-0.023|+0.000|+0.000|+0.001|+1.154|+0.000|-0.004|+0.001|-0.000|+0.000|+1.152|
009:+0.000|+0.001|+1.138|+1.139|+0.001|+0.000|-0.002|+0.000|-0.022|+0.021|-0.000|+0.000|-0.003|+1.159|-0.000|+0.015|-0.022|+0.000|+0.000|+1.153|
010:+0.000|+0.002|+1.158|+1.158|+0.002|+0.000|+0.001|-0.000|-0.001|-0.003|-0.000|+0.000|-0.004|+1.157|+0.000|-0.006|-0.000|+0.000|+0.000|+1.150|
011:+0.000|+0.002|+1.155|+1.155|+0.002|+0.000|-0.008|+0.000|-0.004|+0.017|-0.000|+0.000|+0.005|+1.157|-0.000|-0.008|-0.004|+0.000|+0.000|+1.146|
012:+0.001|+0.001|+1.164|+1.164|+0.001|-0.000|+0.004|-0.000|+0.014|-0.016|+0.000|+0.000|+0.002|+1.149|+0.000|-0.012|+0.014|-0.000|+0.000|+1.151|
013:+0.001|+0.001|+1.152|+1.152|+0.001|+0.000|+0.003|+0.000|+0.014|-0.013|+0.000|+0.000|+0.003|+1.153|+0.000|+0.002|-0.002|-0.000|+0.000|+1.153|
014:+0.000|+0.002|+1.142|+1.142|+0.002|+0.000|-0.006|-0.000|-0.030|+0.023|-0.000|+0.000|-0.012|+1.156|+0.000|+0.016|-0.016|+0.000|+0.000|+1.156|
015:+0.000|+0.002|+1.159|+1.159|+0.002|+0.000|+0.002|+0.000|+0.018|-0.014|-0.000|+0.000|+0.005|+1.150|-0.000|-0.014|+0.007|-0.000|+0.000|+1.144|
016:+0.001|+0.002|+1.147|+1.147|+0.002|-0.000|+0.004|+0.000|-0.016|+0.008|+0.001|+0.000|-0.005|+1.152|+0.000|+0.004|-0.007|-0.000|+0.000|+1.149|
017:+0.000|+0.003|+1.159|+1.159|+0.003|+0.000|-0.000|+0.000|+0.022|-0.019|-0.001|+0.000|+0.003|+1.155|+0.000|-0.012|+0.001|+0.000|+0.000|+1.144|
018:+0.001|+0.002|+1.139|+1.139|+0.002|-0.000|-0.003|+0.000|+0.005|+0.009|+0.001|+0.000|+0.010|+1.155|+0.000|+0.010|-0.018|-0.000|+0.000|+1.147|
019:+0.000|+0.003|+1.144|+1.145|+0.003|-0.000|+0.005|-0.000|-0.009|-0.003|-0.000|+0.000|-0.007|+1.151|+0.000|+0.015|-0.009|+0.000|+0.000|+1.157|
020:+0.000|+0.001|+1.145|+1.145|+0.001|-0.000|-0.009|+0.000|+0.001|+0.010|-0.001|+0.000|+0.002|+1.157|-0.000|+0.006|-0.013|+0.000|+0.000|+1.150|
021:+0.001|+0.002|+1.148|+1.147|+0.002|+0.000|-0.007|+0.000|-0.000|+0.011|+0.001|+0.000|+0.003|+1.148|+0.000|+0.006|-0.003|-0.000|+0.000|+1.152|
022:+0.000|+0.002|+1.151|+1.151|+0.002|-0.000|+0.006|-0.000|-0.010|+0.001|+0.001|+0.000|-0.003|+1.141|+0.000|+0.006|+0.008|+0.000|+0.000|+1.155|
023:+0.000|+0.002|+1.157|+1.158|+0.002|+0.000|-0.002|+0.000|+0.001|+0.002|-0.001|+0.000|+0.003|+1.147|+0.000|-0.003|+0.009|+0.001|+0.000|+1.152|
024:+0.000|+0.001|+1.158|+1.157|+0.001|+0.000|+0.001|+0.000|+0.004|-0.000|+0.000|+0.000|+0.004|+1.145|+0.000|-0.002|+0.011|-0.000|+0.000|+1.154|
025:+0.000|+0.001|+1.157|+1.158|+0.001|+0.000|+0.008|+0.000|+0.236|-0.018|+0.000|+0.000|+0.225|+1.146|+0.000|+0.002|+0.011|+0.000|+0.000|+1.158|
026:+0.000|+0.002|+1.147|+1.148|+0.002|-0.000|-0.003|+0.000|-0.238|+0.241|+0.082|+0.000|-0.082|+1.153|+0.000|+0.238|-0.008|+0.000|+0.000|+1.383|
027:+0.001|+0.001|+1.303|+1.385|+0.001|+0.000|+0.100|+0.000|+0.000|-0.234|-0.082|+0.000|-0.051|+1.150|+0.000|-0.000|+0.234|+0.082|+0.000|+1.302|
028:+0.085|+0.051|+1.301|+1.302|+0.051|-0.000|-0.002|+0.000|+0.000|-0.000|-0.002|+0.000|-0.000|+1.251|+0.000|+0.000|+0.000|+0.000|+0.000|+1.251|
029:+0.086|+0.051|+1.301|+1.300|+0.051|-0.000|+0.050|-0.000|-0.228|+0.000|-0.083|+0.000|-0.094|+1.248|+0.000|+0.000|-0.000|-0.002|+0.000|+1.250|
030:+0.085|+0.002|+1.385|+1.301|+0.002|-0.000|+0.085|+0.000|+0.231|-0.233|+0.084|+0.000|-0.001|+1.299|+0.000|-0.228|+0.000|-0.084|+0.000|+1.156|
031:+0.000|+0.001|+1.153|+1.153|+0.001|+0.000|-0.228|+0.000|-0.010|+0.229|-0.000|+0.000|-0.009|+1.384|+0.000|+0.004|-0.233|-0.000|+0.000|+1.155|
032:+0.001|+0.002|+1.155|+1.154|+0.002|-0.000|-0.009|-0.000|+0.009|+0.005|+0.000|+0.000|+0.004|+1.156|+0.000|-0.006|-0.004|-0.000|+0.000|+1.147|
033:+0.000|+0.002|+1.150|+1.150|+0.002|+0.000|+0.006|+0.000|+0.226|+0.001|-0.000|+0.000|+0.233|+1.147|-0.000|+0.003|+0.001|-0.000|+0.000|+1.151|
034:+0.001|+0.002|+1.157|+1.157|+0.002|-0.000|-0.003|-0.000|-0.228|+0.232|+0.087|+0.000|-0.087|+1.153|+0.000|+0.228|+0.002|-0.000|+0.000|+1.384|
035:+0.001|+0.001|+1.298|+1.385|+0.001|-0.000|+0.109|+0.000|-0.001|-0.234|-0.086|+0.000|-0.040|+1.150|-0.000|+0.000|+0.234|+0.087|+0.000|+1.297|
036:+0.078|+0.049|+1.307|+1.308|+0.049|+0.000|-0.015|-0.000|+0.001|+0.000|-0.005|+0.000|-0.010|+1.259|+0.000|-0.001|-0.000|+0.001|+0.000|+1.257|
037:+0.090|+0.053|+1.299|+1.296|+0.053|+0.000|+0.054|+0.000|-0.232|+0.000|-0.084|+0.000|-0.095|+1.243|-0.000|-0.000|+0.000|-0.003|+0.000|+1.247|
038:+0.088|+0.001|+1.386|+1.298|+0.001|+0.000|+0.087|+0.000|+0.238|-0.236|+0.088|+0.000|+0.002|+1.297|-0.000|-0.232|+0.000|-0.087|+0.000|+1.152|
