MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.001|+1.238|+1.238|+0.001|+0.000|+0.006|+0.000|+0.008|-0.008|+0.000|+0.000|+0.005|+1.237|-0.000|-0.001|-0.001|-0.000|+0.000|+1.235|
002:+0.000|+0.002|+1.236|+1.236|+0.002|+0.000|+0.004|+0.000|-0.001|-0.004|-0.000|+0.000|-0.000|+1.243|+0.000|+0.006|-0.009|+0.000|+0.000|+1.240|
003:+0.000|+0.002|+1.236|+1.236|+0.002|-0.000|+0.000|+0.000|+0.001|+0.004|-0.001|+0.000|+0.006|+1.247|+0.000|+0.006|-0.013|+0.000|+0.000|+1.240|
004:+0.001|+0.001|+1.240|+1.240|+0.001|+0.000|+0.000|+0.000|-0.008|-0.003|+0.001|+0.000|-0.010|+1.248|+0.000|+0.006|-0.009|-0.000|+0.000|+1.246|
005:+0.000|+0.002|+1.238|+1.238|+0.002|-0.000|-0.014|+0.000|+0.002|+0.017|-0.000|+0.000|+0.005|+1.248|+0.000|-0.001|-0.011|+0.000|+0.000|+1.235|
006:+0.000|+0.004|+1.243|+1.243|+0.004|+0.000|+0.003|+0.000|+0.011|-0.007|-0.000|+0.000|+0.007|+1.234|+0.000|+0.001|+0.005|+0.000|+0.000|+1.240|
007:+0.001|+0.002|+1.238|+1.238|+0.002|-0.000|-0.004|+0.000|-0.008|+0.008|+0.000|+0.000|-0.004|+1.237|+0.000|+0.012|-0.001|-0.000|+0.000|+1.248|
008:+0.000|+0.001|+1.242|+1.242|+0.001|+0.000|+0.004|+0.000|-0.006|-0.005|-0.000|+0.000|-0.007|+1.234|+0.000|+0.004|+0.007|+0.000|+0.000|+1.244|
009:+0.000|+0.001|+1.241|+1.241|+0.001|-0.000|+0.005|+0.000|+0.002|-0.007|+0.000|+0.000|-0.000|+1.237|+0.000|-0.003|+0.002|+0.000|+0.000|+1.237|
010:+0.000|+0.002|+1.239|+1.239|+0.002|-0.000|-0.009|-0.000|+0.002|+0.007|-0.000|+0.000|+0.001|+1.243|+0.000|-0.001|-0.005|+0.000|+0.000|+1.237|
011:+0.000|+0.002|+1.238|+1.238|+0.002|+0.000|+0.012|-0.000|+0.012|-0.012|+0.001|+0.000|+0.010|+1.234|+0.000|+0.001|+0.002|-0.000|+0.000|+1.237|
012:+0.000|+0.003|+1.237|+1.238|+0.003|+0.000|+0.003|+0.000|-0.011|-0.005|-0.001|+0.000|-0.012|+1.245|-0.000|+0.013|-0.010|+0.001|+0.000|+1.248|
013:+0.001|+0.002|+1.236|+1.235|+0.002|+0.000|-0.013|+0.000|+0.002|+0.015|+0.001|+0.000|+0.002|+1.248|-0.000|+0.002|-0.015|-0.000|+0.000|+1.236|
014:+0.000|+0.002|+1.237|+1.237|+0.002|+0.000|+0.001|+0.000|-0.011|+0.009|-0.000|+0.000|-0.001|+1.235|-0.000|+0.004|-0.000|+0.000|+0.000|+1.238|
015:+0.000|+0.003|+1.247|+1.247|+0.003|+0.000|-0.004|+0.000|+0.004|+0.003|-0.001|+0.000|+0.003|+1.236|+0.000|-0.007|+0.009|+0.000|+0.000|+1.238|
016:+0.001|+0.001|+1.244|+1.244|+0.001|+0.000|+0.003|-0.000|-0.004|+0.004|+0.001|+0.000|+0.002|+1.231|+0.000|-0.003|+0.012|-0.000|+0.000|+1.240|
017:+0.001|+0.002|+1.251|+1.251|+0.002|-0.000|-0.006|+0.000|+0.009|-0.002|-0.000|+0.000|+0.002|+1.234|+0.000|-0.007|+0.016|+0.001|+0.000|+1.242|
018:+0.000|+0.002|+1.244|+1.245|+0.002|+0.000|+0.005|+0.000|+0.003|-0.008|-0.000|+0.000|-0.000|+1.228|+0.000|+0.001|+0.014|+0.000|+0.000|+1.244|
019:+0.001|+0.002|+1.241|+1.241|+0.002|+0.000|+0.010|+0.000|+0.003|-0.013|-0.000|+0.000|+0.000|+1.233|+0.000|+0.004|+0.006|-0.000|+0.000|+1.243|
020:+0.001|+0.002|+1.238|+1.238|+0.002|+0.000|+0.002|-0.000|-0.007|-0.001|+0.000|+0.000|-0.007|+1.243|+0.000|+0.007|-0.006|-0.000|+0.000|+1.244|
021:+0.001|+0.002|+1.239|+1.239|+0.002|+0.000|-0.008|-0.000|-0.002|+0.010|+0.000|+0.000|-0.001|+1.245|+0.000|-0.000|-0.007|+0.000|+0.000|+1.237|
022:+0.001|+0.002|+1.240|+1.241|+0.002|+0.000|-0.005|+0.000|+0.010|+0.003|-0.000|+0.000|+0.008|+1.237|-0.000|-0.003|+0.002|+0.000|+0.000|+1.236|
023:+0.000|+0.002|+1.239|+1.239|+0.002|-0.000|-0.001|+0.000|-0.015|+0.007|+0.000|+0.000|-0.009|+1.232|-0.000|+0.007|+0.005|+0.000|+0.000|+1.245|
024:+0.000|+0.001|+1.245|+1.245|+0.001|+0.000|+0.017|+0.000|+0.018|-0.024|-0.001|+0.000|+0.012|+1.231|+0.000|-0.008|+0.013|+0.000|+0.000|+1.235|
025:+0.001|+0.002|+1.239|+1.238|+0.002|-0.000|-0.008|+0.200|-0.002|+0.155|+0.000|+0.344|+0.001|+1.248|+0.000|+0.010|-0.011|-0.000|+0.000|+1.248|
026:+0.000|+0.002|+1.042|+1.042|+0.002|-0.001|+0.144|-0.034|+0.001|-0.144|+0.001|+0.002|+0.003|+1.240|+0.200|+0.008|+0.144|-0.000|+0.344|+1.249|
027:+0.000|+0.002|+1.039|+1.078|+0.002|-0.038|-0.000|-0.001|-0.009|+0.000|-0.000|-0.002|-0.014|+1.384|+0.166|+0.010|+0.000|+0.001|+0.346|+1.251|
028:+0.000|+0.002|+1.042|+1.074|+0.002|-0.032|-0.035|+0.004|+0.143|+0.000|+0.036|-0.063|+0.087|+1.384|+0.165|+0.000|+0.000|+0.000|+0.344|+1.237|
029:+0.001|+0.037|+1.068|+1.074|+0.025|+0.019|-0.026|+0.099|-0.143|-0.142|-0.072|-0.118|+0.024|+1.349|+0.169|+0.143|+0.000|+0.036|+0.281|+1.324|
030:+0.036|+0.027|+1.080|+1.082|+0.038|-0.026|-0.094|+0.080|-0.000|+0.150|+0.035|+0.001|+0.035|+1.323|+0.268|+0.000|-0.142|-0.036|+0.164|+1.348|
031:+0.001|+0.003|+1.076|+1.037|+0.003|+0.038|+0.015|+0.001|+0.000|-0.009|+0.001|+0.001|+0.001|+1.229|+0.348|-0.000|+0.008|-0.001|+0.165|+1.383|
032:+0.000|+0.001|+1.079|+1.037|+0.001|+0.043|-0.003|-0.004|-0.146|+0.004|+0.000|+0.039|-0.146|+1.244|+0.349|+0.000|-0.001|+0.000|+0.165|+1.384|
033:+0.000|+0.002|+1.041|+1.041|+0.001|-0.000|-0.003|-0.148|+0.149|+0.143|-0.000|+0.144|-0.004|+1.240|+0.345|-0.146|+0.004|+0.000|+0.205|+1.238|
034:+0.000|+0.002|+1.037|+1.037|+0.002|+0.000|+0.146|-0.030|-0.005|-0.146|-0.001|+0.002|+0.003|+1.238|+0.197|+0.003|+0.146|+0.000|+0.349|+1.234|
035:+0.001|+0.002|+1.035|+1.073|+0.001|-0.038|+0.001|-0.011|+0.007|-0.000|+0.001|-0.012|+0.009|+1.384|+0.167|-0.002|-0.000|-0.000|+0.351|+1.237|
036:+0.000|+0.001|+1.047|+1.086|+0.001|-0.039|-0.031|+0.010|+0.143|+0.001|+0.036|-0.059|+0.081|+1.385|+0.156|+0.005|-0.000|+0.000|+0.339|+1.246|
037:+0.000|+0.032|+1.070|+1.070|+0.022|+0.026|-0.040|+0.099|-0.149|-0.146|-0.077|-0.118|+0.014|+1.353|+0.167|+0.149|+0.001|+0.036|+0.280|+1.327|
038:+0.042|+0.031|+1.077|+1.078|+0.044|-0.029|-0.079|+0.074|+0.000|+0.153|+0.041|-0.002|+0.043|+1.314|+0.266|+0.000|-0.146|-0.041|+0.162|+1.341|
039:+0.001|+0.002|+1.083|+1.045|+0.002|+0.038|+0.011|+0.002|+0.000|-0.015|+0.001|-0.001|+0.000|+1.235|+0.341|+0.000|+0.007|+0.000|+0.160|+1.384|
