MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.002|+1.097|+1.097|+0.002|-0.000|+0.004|+0.000|+0.007|-0.009|+0.001|+0.000|+0.001|+1.085|+0.000|-0.007|+0.010|-0.001|+0.000|+1.088|
002:+0.000|+0.001|+1.091|+1.091|+0.001|+0.000|+0.002|-0.000|+0.002|-0.002|+0.000|+0.000|+0.002|+1.089|+0.000|-0.001|+0.001|+0.000|+0.000|+1.089|
003:+0.000|+0.002|+1.092|+1.092|+0.002|+0.000|-0.003|+0.000|-0.005|+0.006|-0.000|+0.000|-0.001|+1.091|+0.000|+0.001|-0.001|+0.000|+0.000|+1.091|
004:+0.000|+0.002|+1.096|+1.096|+0.002|-0.000|+0.004|+0.000|+0.006|-0.014|-0.001|+0.000|-0.004|+1.089|+0.000|-0.004|+0.005|+0.000|+0.000|+1.090|
005:+0.001|+0.002|+1.086|+1.086|+0.002|+0.000|-0.006|-0.000|-0.011|+0.014|+0.000|+0.000|-0.003|+1.093|+0.000|+0.002|-0.009|-0.000|+0.000|+1.086|
006:+0.000|+0.002|+1.093|+1.093|+0.002|+0.000|+0.004|+0.000|+0.015|-0.013|-0.000|+0.000|+0.007|+1.087|+0.000|-0.009|+0.005|-0.000|+0.000|+1.083|
007:+0.000|+0.002|+1.085|+1.084|+0.002|+0.000|-0.002|+0.000|-0.007|+0.005|+0.000|+0.000|-0.004|+1.092|+0.000|+0.007|-0.009|-0.000|+0.000|+1.090|
008:+0.000|+0.002|+1.088|+1.089|+0.002|+0.000|-0.006|-0.000|-0.001|+0.003|-0.000|+0.000|-0.004|+1.090|+0.000|-0.001|-0.004|+0.000|+0.000|+1.086|
009:+0.001|+0.002|+1.085|+1.085|+0.002|-0.000|-0.005|+0.000|-0.004|+0.008|-0.000|+0.000|-0.001|+1.084|+0.000|-0.002|-0.000|+0.000|+0.000|+1.082|
010:+0.001|+0.002|+1.089|+1.089|+0.002|+0.000|+0.005|+0.000|+0.013|-0.009|-0.000|+0.000|+0.009|+1.080|+0.000|-0.006|+0.007|-0.000|+0.000|+1.081|
011:+0.000|+0.001|+1.084|+1.084|+0.001|+0.000|+0.003|+0.000|+0.005|-0.007|+0.001|+0.000|+0.001|+1.085|+0.000|+0.007|-0.002|-0.000|+0.000|+1.090|
012:+0.000|+0.002|+1.081|+1.081|+0.002|-0.000|+0.010|+0.000|-0.013|+0.000|-0.000|+0.000|-0.002|+1.088|+0.000|+0.012|-0.009|+0.000|+0.000|+1.091|
013:+0.000|+0.001|+1.091|+1.090|+0.001|-0.000|-0.021|-0.000|-0.003|+0.025|+0.000|+0.000|-0.000|+1.098|+0.000|-0.001|-0.009|-0.000|+0.000|+1.089|
014:+0.001|+0.002|+1.094|+1.094|+0.002|+0.000|+0.008|+0.000|+0.002|-0.015|-0.000|+0.000|-0.005|+1.077|+0.000|-0.004|+0.016|-0.000|+0.000|+1.089|
015:+0.001|+0.002|+1.088|+1.087|+0.002|-0.000|+0.002|+0.000|+0.005|+0.005|+0.000|+0.000|+0.011|+1.085|+0.000|-0.002|+0.001|-0.000|+0.000|+1.084|
016:+0.000|+0.001|+1.093|+1.093|+0.001|+0.000|+0.009|+0.000|-0.008|-0.008|-0.000|+0.000|-0.007|+1.086|+0.000|+0.004|+0.005|-0.000|+0.000|+1.095|
017:+0.001|+0.001|+1.094|+1.094|+0.001|-0.000|-0.002|-0.000|+0.009|-0.002|+0.000|+0.000|+0.004|+1.095|+0.000|-0.005|-0.003|-0.000|+0.000|+1.088|
018:+0.000|+0.001|+1.089|+1.090|+0.001|+0.000|-0.013|+0.000|-0.009|+0.003|-0.000|+0.000|-0.018|+1.093|+0.000|+0.004|-0.005|+0.000|+0.000|+1.092|
