H0|H0'|E|1|1_p1|1_p2|partial1|
001:+0.693|+0.693|+0.000|+0.591|+0.591|+0.000|+0.693|
002:+0.693|+0.693|+0.000|+0.593|+0.593|+0.000|+0.693|
003:+0.693|+0.693|+0.000|+0.585|+0.585|+0.000|+0.693|
004:+0.693|+0.693|+0.000|+0.592|+0.592|+0.000|+0.693|
005:+0.693|+0.693|+0.000|+0.585|+0.585|-0.000|+0.693|
006:+0.693|+0.693|+0.000|+0.592|+0.592|+0.000|+0.693|
007:+0.693|+0.693|+0.000|+0.589|+0.589|-0.000|+0.693|
008:+0.692|+0.693|+0.000|+0.594|+0.594|-0.000|+0.693|
009:+0.693|+0.693|+0.000|+0.593|+0.593|+0.000|+0.693|
010:+0.693|+0.692|+0.000|+0.588|+0.588|+0.000|+0.692|
011:+0.692|+0.692|+0.000|+0.586|+0.586|+0.000|+0.692|
012:+0.693|+0.693|+0.000|+0.584|+0.584|+0.000|+0.693|
013:+0.692|+0.693|+0.000|+0.593|+0.593|-0.000|+0.693|
014:+0.693|+0.692|+0.000|+0.588|+0.588|+0.000|+0.692|
015:+0.692|+0.693|+0.000|+0.593|+0.593|+0.000|+0.693|
016:+0.693|+0.693|+0.000|+0.593|+0.593|+0.000|+0.693|
017:+0.692|+0.693|+0.000|+0.588|+0.588|+0.000|+0.693|
018:+0.693|+0.693|+0.000|+0.584|+0.584|-0.000|+0.693|
019:+0.693|+0.693|+0.000|+0.596|+0.596|-0.000|+0.693|
020:+0.693|+0.692|+0.000|+0.588|+0.588|+0.000|+0.692|
021:+0.692|+0.692|+0.000|+0.593|+0.593|+0.000|+0.692|
022:+0.692|+0.692|+0.000|+0.592|+0.592|+0.000|+0.692|
023:+0.692|+0.693|+0.000|+0.589|+0.589|+0.000|+0.693|
024:+0.691|+0.692|+0.000|+0.585|+0.585|+0.000|+0.692|
025:+0.693|+0.692|+0.000|+0.591|+0.591|+0.000|+0.692|
026:+0.693|+0.572|+0.000|+0.303|+0.303|+0.000|+0.572|
027:+0.570|+0.573|+0.000|+0.291|+0.291|-0.000|+0.573|
028:+0.575|+0.567|+0.000|+0.298|+0.298|+0.000|+0.567|
029:+0.569|+0.575|+0.000|+0.297|+0.297|+0.000|+0.575|
030:+0.574|+0.569|+0.000|+0.302|+0.302|+0.000|+0.569|
031:+0.575|+0.498|+0.000|+0.297|+0.297|-0.000|+0.498|
032:+0.506|+0.498|+0.000|+0.303|+0.303|+0.000|+0.498|
033:+0.501|+0.516|+0.000|+0.305|+0.305|+0.000|+0.516|
034:+0.507|+0.503|+0.000|+0.300|+0.300|+0.000|+0.503|
035:+0.505|+0.503|+0.000|+0.301|+0.301|+0.000|+0.503|
036:+0.505|+0.491|+0.000|+0.304|+0.304|+0.000|+0.491|
037:+0.479|+0.478|+0.000|+0.292|+0.292|+0.000|+0.478|
038:+0.490|+0.487|+0.000|+0.302|+0.302|+0.000|+0.487|
039:+0.489|+0.484|+0.000|+0.300|+0.300|+0.000|+0.484|
