MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|+0.000|+0.001|+0.000|+0.000|+0.000|+0.693|+0.693|+0.000|-0.001|-0.000|+0.692|+0.693|
002:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.000|-0.000|+0.000|+0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.693|+0.693|
003:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.693|+0.693|+0.000|-0.000|-0.000|+0.693|+0.693|
004:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.000|-0.000|-0.000|-0.000|-0.000|+0.693|+0.693|+0.000|+0.000|-0.000|+0.693|+0.693|
005:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.000|+0.693|+0.693|+0.000|-0.000|-0.000|+0.693|+0.693|
006:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.693|+0.693|+0.000|-0.000|+0.000|+0.693|+0.693|
007:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|-0.000|-0.000|+0.000|-0.000|-0.000|-0.000|+0.693|+0.693|+0.000|-0.000|-0.000|+0.693|+0.693|
008:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.001|+0.000|-0.000|-0.000|+0.000|+0.000|+0.000|+0.692|+0.693|-0.000|+0.000|-0.000|+0.692|+0.693|
009:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|+0.000|-0.000|-0.000|+0.693|+0.693|-0.000|-0.000|+0.000|+0.693|+0.693|
010:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.001|-0.000|+0.000|+0.000|-0.000|-0.000|+0.000|+0.693|+0.693|-0.000|-0.000|+0.000|+0.693|+0.693|
011:+0.000|+0.000|+0.000|+0.000|+0.000|-0.001|+0.001|+0.000|-0.000|-0.000|+0.000|+0.000|-0.000|+0.692|+0.693|-0.000|+0.000|-0.000|+0.692|+0.693|
012:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|+0.000|+0.000|-0.001|+0.000|-0.001|+0.000|+0.693|+0.693|-0.000|-0.000|-0.000|+0.693|+0.693|
013:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.000|-0.000|+0.693|+0.693|+0.000|-0.001|+0.000|+0.692|+0.693|
014:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|-0.000|+0.000|+0.001|-0.000|+0.000|-0.000|+0.693|+0.693|-0.000|-0.001|-0.000|+0.692|+0.693|
015:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|+0.000|-0.000|-0.000|+0.000|-0.001|+0.000|+0.693|+0.693|+0.000|-0.000|-0.000|+0.693|+0.693|
016:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.000|+0.000|+0.001|+0.000|+0.001|-0.000|+0.692|+0.693|-0.000|-0.000|-0.000|+0.692|+0.693|
017:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.001|+0.000|-0.000|-0.002|-0.000|-0.001|+0.000|+0.692|+0.693|+0.000|+0.001|+0.000|+0.693|+0.693|
018:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|+0.000|+0.000|+0.002|+0.000|+0.001|-0.000|+0.693|+0.693|-0.000|-0.001|-0.000|+0.692|+0.693|
019:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.001|-0.000|-0.000|-0.001|+0.000|-0.000|-0.000|+0.692|+0.693|+0.000|+0.001|+0.000|+0.693|+0.693|
020:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.001|-0.000|-0.001|+0.000|+0.692|+0.693|-0.000|+0.000|+0.000|+0.692|+0.693|
021:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.001|+0.000|-0.000|+0.002|+0.000|+0.001|-0.000|+0.693|+0.693|-0.000|-0.001|-0.000|+0.692|+0.693|
022:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.001|-0.000|+0.000|-0.001|-0.000|-0.000|-0.000|+0.692|+0.693|-0.000|+0.001|+0.000|+0.692|+0.693|
023:+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|-0.000|+0.001|+0.000|+0.692|+0.693|+0.000|-0.000|+0.000|+0.692|+0.693|
024:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|-0.000|-0.000|+0.000|+0.001|+0.000|+0.000|+0.000|+0.693|+0.693|+0.000|-0.000|-0.000|+0.693|+0.693|
025:+0.000|+0.000|+0.000|+0.000|+0.000|-0.000|+0.000|-0.223|+0.000|-0.129|-0.000|-0.352|-0.000|+0.692|+0.693|+0.000|+0.000|-0.000|+0.693|+0.693|
026:+0.000|+0.000|+0.223|+0.223|+0.000|-0.000|-0.121|-0.002|-0.000|+0.125|-0.000|+0.002|-0.000|+0.692|+0.470|+0.000|-0.128|-0.000|+0.341|+0.693|
027:+0.000|+0.000|+0.226|+0.225|+0.000|-0.000|+0.000|-0.000|-0.000|+0.005|+0.000|+0.005|-0.000|+0.571|+0.467|+0.000|-0.003|-0.000|+0.343|+0.693|
028:+0.000|+0.000|+0.226|+0.226|+0.000|+0.000|-0.000|-0.007|+0.000|+0.008|+0.000|+0.001|+0.000|+0.572|+0.467|-0.000|+0.002|-0.000|+0.348|+0.693|
029:+0.000|+0.000|+0.233|+0.233|+0.000|-0.000|+0.001|+0.009|+0.000|-0.020|-0.000|-0.010|+0.000|+0.571|+0.460|+0.000|+0.010|+0.000|+0.348|+0.693|
030:+0.000|+0.000|+0.224|+0.224|+0.000|-0.000|-0.011|+0.062|-0.000|-0.054|+0.000|-0.004|-0.000|+0.573|+0.469|+0.000|-0.010|-0.000|+0.339|+0.693|
031:+0.000|+0.000|+0.163|+0.163|+0.000|+0.000|-0.059|-0.004|+0.000|+0.068|-0.000|+0.006|+0.000|+0.562|+0.530|-0.000|-0.064|+0.000|+0.335|+0.693|
032:+0.000|+0.000|+0.167|+0.167|+0.000|-0.000|-0.002|+0.001|+0.000|+0.003|+0.000|+0.001|-0.000|+0.503|+0.526|+0.000|+0.004|-0.000|+0.341|+0.693|
033:+0.000|+0.000|+0.166|+0.166|+0.000|+0.000|+0.003|+0.003|-0.000|-0.012|+0.000|-0.006|+0.000|+0.501|+0.527|+0.000|+0.008|-0.000|+0.342|+0.693|
034:+0.000|+0.000|+0.163|+0.163|+0.000|-0.000|+0.005|-0.004|+0.000|+0.003|-0.000|+0.005|-0.000|+0.504|+0.530|-0.000|-0.004|+0.000|+0.336|+0.693|
035:+0.000|+0.000|+0.167|+0.167|+0.000|-0.000|-0.004|+0.015|-0.000|-0.016|+0.000|-0.006|-0.000|+0.509|+0.526|+0.000|-0.001|-0.000|+0.341|+0.693|
036:+0.000|+0.000|+0.152|+0.153|+0.000|-0.000|-0.017|-0.001|+0.000|+0.011|-0.000|-0.007|+0.000|+0.505|+0.541|-0.000|-0.017|+0.000|+0.335|+0.693|
037:+0.000|+0.000|+0.154|+0.154|+0.000|+0.000|+0.001|+0.001|-0.000|+0.003|+0.000|+0.005|-0.000|+0.489|+0.539|+0.000|-0.006|-0.000|+0.329|+0.693|
