H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.311|+1.290|+0.000|+0.000|+0.000|+0.000|+1.290|
002:+1.311|+1.302|+0.000|+0.000|+0.000|+0.000|+1.302|
003:+1.304|+1.307|+0.000|-0.000|+0.000|+0.000|+1.307|
004:+1.309|+1.302|+0.000|-0.000|+0.000|+0.000|+1.302|
005:+1.306|+1.302|+0.000|-0.000|+0.000|+0.000|+1.301|
006:+1.301|+1.302|+0.000|-0.000|+0.000|+0.000|+1.302|
007:+1.305|+1.296|+0.000|-0.000|+0.000|+0.000|+1.296|
008:+1.307|+1.301|+0.000|+0.000|+0.000|+0.000|+1.301|
009:+1.307|+1.300|+0.000|-0.000|+0.000|+0.000|+1.300|
010:+1.303|+1.306|+0.000|+0.000|+0.000|-0.000|+1.306|
011:+1.306|+1.300|+0.000|+0.000|+0.000|-0.000|+1.300|
012:+1.307|+1.302|+0.000|-0.000|+0.000|+0.000|+1.301|
013:+1.297|+1.306|+0.000|+0.000|+0.000|-0.000|+1.306|
014:+1.301|+1.308|+0.000|-0.000|+0.000|+0.000|+1.307|
015:+1.311|+1.300|+0.000|+0.000|+0.000|-0.000|+1.300|
016:+1.302|+1.300|+0.000|-0.000|+0.000|+0.000|+1.300|
017:+1.298|+1.298|+0.000|-0.000|+0.000|+0.000|+1.298|
018:+1.305|+1.301|+0.000|+0.000|+0.000|-0.000|+1.301|
019:+1.300|+1.308|+0.000|+0.000|+0.000|+0.000|+1.307|
020:+1.301|+1.300|+0.000|+0.000|+0.000|-0.000|+1.300|
021:+1.298|+1.298|+0.000|+0.000|+0.000|-0.000|+1.298|
022:+1.297|+1.304|+0.000|+0.000|+0.000|-0.000|+1.303|
023:+1.307|+1.298|+0.000|+0.000|+0.000|-0.000|+1.298|
024:+1.303|+1.300|+0.000|+0.000|+0.000|-0.000|+1.299|
025:+1.310|+1.302|+0.000|+0.000|+0.000|+0.000|+1.302|
026:+1.303|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.385|
028:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
030:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.385|
031:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
032:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
033:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
034:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.385|
035:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
036:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
037:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
038:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
039:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
