MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.001|+1.331|+1.331|+0.001|+0.000|-0.005|+0.000|+0.005|+0.001|-0.001|+0.000|+0.001|+1.324|-0.000|-0.009|+0.005|+0.000|+0.000|+1.321|
002:+0.001|+0.002|+1.328|+1.328|+0.002|+0.000|+0.006|+0.000|-0.001|-0.005|+0.001|+0.000|-0.000|+1.320|-0.000|-0.004|+0.006|-0.000|+0.000|+1.322|
003:+0.000|+0.002|+1.329|+1.329|+0.002|+0.000|-0.001|+0.000|+0.002|-0.001|-0.000|+0.000|+0.000|+1.326|+0.000|-0.005|+0.002|+0.000|+0.000|+1.322|
004:+0.000|+0.002|+1.327|+1.328|+0.002|-0.000|+0.003|-0.000|+0.009|-0.007|-0.000|+0.000|+0.005|+1.325|+0.000|-0.004|+0.001|+0.000|+0.000|+1.322|
005:+0.000|+0.002|+1.323|+1.323|+0.002|+0.000|-0.003|+0.000|-0.006|+0.005|-0.000|+0.000|-0.003|+1.327|+0.000|+0.006|-0.006|+0.000|+0.000|+1.327|
006:+0.000|+0.002|+1.326|+1.326|+0.002|+0.000|+0.004|-0.000|-0.003|-0.004|+0.000|+0.000|-0.003|+1.325|+0.000|+0.000|-0.001|-0.000|+0.000|+1.324|
007:+0.000|+0.002|+1.326|+1.326|+0.002|+0.000|-0.006|-0.000|+0.014|-0.001|-0.000|+0.000|+0.007|+1.329|+0.000|-0.003|-0.005|+0.000|+0.000|+1.321|
008:+0.000|+0.002|+1.318|+1.318|+0.002|+0.000|+0.004|+0.000|-0.008|-0.002|-0.000|+0.000|-0.005|+1.323|-0.000|+0.011|-0.006|-0.000|+0.000|+1.328|
009:+0.000|+0.001|+1.321|+1.321|+0.001|+0.000|+0.003|+0.000|-0.007|+0.001|+0.001|+0.000|-0.004|+1.327|+0.000|+0.003|-0.008|-0.000|+0.000|+1.322|
010:+0.000|+0.001|+1.324|+1.325|+0.001|+0.000|-0.007|+0.000|+0.007|+0.010|-0.001|+0.000|+0.011|+1.330|+0.000|-0.004|-0.007|+0.001|+0.000|+1.319|
011:+0.001|+0.002|+1.329|+1.328|+0.002|-0.000|+0.008|+0.000|-0.003|-0.008|+0.001|+0.000|-0.003|+1.323|+0.000|+0.003|+0.003|-0.001|+0.000|+1.330|
012:+0.000|+0.001|+1.328|+1.328|+0.001|-0.000|-0.007|-0.000|-0.006|+0.002|-0.001|+0.000|-0.010|+1.332|+0.000|+0.000|-0.005|+0.000|+0.000|+1.327|
013:+0.001|+0.002|+1.325|+1.325|+0.002|-0.000|+0.001|+0.000|+0.005|-0.000|+0.001|+0.000|+0.006|+1.325|-0.000|-0.006|-0.003|-0.001|+0.000|+1.317|
014:+0.000|+0.002|+1.325|+1.325|+0.002|+0.000|-0.005|+0.000|-0.004|+0.007|-0.000|+0.000|-0.002|+1.326|+0.000|-0.001|-0.003|+0.000|+0.000|+1.323|
015:+0.001|+0.002|+1.327|+1.327|+0.002|+0.000|+0.002|-0.000|+0.004|+0.002|+0.000|+0.000|+0.007|+1.321|+0.000|-0.005|+0.004|-0.000|+0.000|+1.321|
016:+0.000|+0.001|+1.330|+1.330|+0.001|-0.000|+0.004|+0.000|-0.000|-0.008|-0.000|+0.000|-0.004|+1.323|-0.000|-0.001|+0.006|+0.000|+0.000|+1.328|
017:+0.000|+0.002|+1.327|+1.327|+0.002|-0.000|-0.005|+0.000|-0.003|+0.008|-0.000|+0.000|+0.001|+1.327|-0.000|-0.001|-0.002|+0.000|+0.000|+1.324|
018:+0.001|+0.002|+1.330|+1.330|+0.002|-0.000|+0.005|+0.000|-0.004|-0.005|+0.000|+0.000|-0.004|+1.322|+0.000|-0.004|+0.006|-0.000|+0.000|+1.324|
019:+0.000|+0.002|+1.330|+1.330|+0.002|+0.000|-0.004|-0.000|+0.008|+0.001|-0.000|+0.000|+0.005|+1.328|+0.000|-0.008|+0.000|+0.000|+0.000|+1.320|
020:+0.001|+0.001|+1.326|+1.326|+0.001|-0.000|+0.001|-0.000|-0.001|-0.002|-0.000|+0.000|-0.002|+1.323|+0.000|-0.000|+0.001|-0.000|+0.000|+1.324|
021:+0.000|+0.003|+1.327|+1.326|+0.003|+0.000|-0.001|+0.000|+0.001|+0.003|-0.000|+0.000|+0.004|+1.324|-0.000|-0.002|-0.000|-0.000|+0.000|+1.322|
022:+0.001|+0.002|+1.327|+1.327|+0.002|-0.000|+0.002|+0.000|+0.010|-0.008|+0.000|+0.000|+0.004|+1.323|-0.000|-0.000|+0.003|-0.000|+0.000|+1.326|
023:+0.000|+0.002|+1.322|+1.322|+0.002|-0.000|-0.005|-0.000|-0.011|+0.012|-0.000|+0.000|-0.004|+1.325|+0.000|+0.009|-0.005|+0.000|+0.000|+1.330|
024:+0.001|+0.002|+1.329|+1.328|+0.002|+0.000|+0.008|+0.000|+0.003|-0.013|+0.001|+0.000|-0.002|+1.320|+0.000|-0.002|+0.007|-0.000|+0.000|+1.325|
025:+0.000|+0.001|+1.323|+1.323|+0.001|+0.000|-0.009|-0.000|+0.058|+0.012|-0.000|+0.000|+0.061|+1.328|+0.000|+0.002|-0.007|+0.000|+0.000|+1.323|
026:+0.000|+0.002|+1.326|+1.326|+0.002|-0.000|+0.007|+0.000|-0.059|+0.054|-0.000|+0.000|+0.001|+1.319|-0.000|+0.059|+0.006|+0.000|+0.000|+1.384|
