MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.000|+0.000|+0.003|+0.003|+0.000|-0.002|+0.002|+0.000|+0.006|+0.000|+0.004|+0.002|+1.322|+1.382|+0.000|+0.002|-0.000|+1.324|+1.382|
002:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|+0.012|-0.000|+0.000|-0.011|+0.000|+0.001|-0.000|+1.321|+1.384|+0.000|+0.008|-0.000|+1.329|+1.384|
003:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.007|+0.000|+0.000|+0.004|+0.000|-0.004|+0.000|+1.333|+1.384|+0.000|-0.003|+0.000|+1.330|+1.384|
004:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|+0.001|-0.000|+0.000|-0.006|-0.000|-0.005|-0.000|+1.326|+1.384|+0.000|+0.001|+0.000|+1.327|+1.384|
005:+0.001|+0.000|+0.000|+0.002|+0.002|+0.000|-0.000|+0.001|+0.000|+0.005|+0.000|+0.005|+0.001|+1.326|+1.384|+0.000|-0.005|-0.000|+1.322|+1.384|
006:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.001|+0.000|+0.000|+0.000|+0.000|-0.001|+0.000|+1.326|+1.384|+0.000|+0.000|-0.000|+1.327|+1.384|
007:+0.000|+0.000|+0.000|+0.001|+0.001|+0.000|+0.000|-0.001|+0.000|+0.000|+0.000|+0.000|-0.001|+1.326|+1.385|+0.000|+0.001|+0.000|+1.326|+1.385|
008:+0.000|+0.000|+0.000|+0.003|+0.002|-0.000|-0.000|+0.001|+0.000|-0.005|-0.001|-0.004|+0.001|+1.326|+1.383|+0.000|+0.001|+0.000|+1.327|+1.383|
009:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.004|-0.000|+0.000|+0.006|+0.001|+0.001|-0.000|+1.326|+1.384|+0.000|-0.004|-0.000|+1.322|+1.384|
010:+0.000|+0.000|+0.000|+0.002|+0.001|-0.000|-0.006|-0.000|+0.000|+0.009|-0.001|+0.004|-0.000|+1.321|+1.384|+0.000|+0.003|+0.000|+1.323|+1.384|
011:+0.001|+0.000|+0.000|+0.001|+0.002|-0.000|+0.012|+0.000|+0.000|-0.011|+0.001|-0.000|+0.000|+1.315|+1.384|+0.000|+0.012|-0.001|+1.328|+1.384|
012:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.004|-0.001|+0.000|-0.002|+0.001|-0.007|-0.001|+1.327|+1.384|+0.000|+0.000|+0.000|+1.327|+1.384|
013:+0.000|+0.000|+0.000|+0.003|+0.002|+0.000|+0.002|+0.001|+0.000|+0.003|-0.001|+0.005|+0.001|+1.323|+1.383|+0.000|-0.002|+0.001|+1.320|+1.383|
014:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.004|+0.000|+0.000|+0.005|+0.000|+0.001|+0.000|+1.324|+1.384|+0.000|+0.001|-0.000|+1.325|+1.384|
015:+0.000|+0.000|+0.000|+0.001|+0.001|+0.000|+0.006|-0.001|+0.000|-0.004|-0.000|+0.002|-0.001|+1.320|+1.385|+0.000|+0.006|+0.000|+1.326|+1.385|
016:+0.000|+0.000|+0.000|+0.002|+0.002|-0.000|-0.004|-0.001|+0.000|-0.002|-0.000|-0.006|-0.001|+1.326|+1.384|+0.000|+0.002|+0.000|+1.328|+1.384|
017:+0.001|+0.000|+0.000|+0.003|+0.002|+0.000|+0.002|+0.000|+0.000|+0.006|-0.001|+0.009|+0.000|+1.322|+1.383|+0.000|-0.001|+0.000|+1.321|+1.383|
018:+0.001|+0.000|+0.000|+0.002|+0.002|+0.000|+0.003|+0.000|+0.000|-0.004|+0.000|-0.002|+0.000|+1.324|+1.384|+0.000|+0.005|-0.000|+1.330|+1.384|
019:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.001|+0.000|+0.000|-0.003|-0.000|-0.004|+0.000|+1.327|+1.384|+0.000|+0.001|+0.000|+1.328|+1.384|
020:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.001|+0.001|+0.000|+0.005|+0.000|+0.004|+0.001|+1.326|+1.384|+0.000|-0.002|-0.000|+1.324|+1.384|
021:+0.000|+0.000|+0.000|+0.001|+0.001|-0.000|+0.000|-0.001|+0.000|-0.003|+0.000|-0.003|-0.001|+1.325|+1.385|+0.000|+0.003|-0.000|+1.328|+1.385|
022:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|+0.005|-0.000|+0.000|-0.002|-0.000|+0.003|-0.000|+1.325|+1.384|+0.000|-0.001|+0.000|+1.325|+1.384|
023:+0.000|+0.000|+0.000|+0.002|+0.002|+0.000|-0.007|+0.000|+0.000|-0.001|-0.000|-0.007|+0.000|+1.331|+1.384|+0.000|-0.003|+0.000|+1.328|+1.384|
024:+0.001|+0.000|+0.000|+0.001|+0.002|+0.000|-0.001|+0.000|+0.000|+0.006|+0.000|+0.005|+0.000|+1.324|+1.384|+0.000|-0.003|-0.000|+1.321|+1.384|
025:+0.000|+0.000|+0.000|+0.001|+0.001|-0.000|-0.002|-0.061|+0.000|+0.062|+0.061|-0.001|-0.061|+1.323|+1.385|+0.000|+0.003|-0.000|+1.325|+1.385|
026:+0.000|+0.000|+0.000|+0.063|+0.001|-0.000|+0.000|-0.059|+0.000|-0.065|-0.063|-0.001|-0.059|+1.321|+1.323|+0.000|+0.065|+0.061|+1.324|+1.323|
027:+0.065|+0.000|+0.000|+0.057|+0.059|-0.000|+0.003|+0.010|+0.000|-0.000|-0.004|+0.007|+0.010|+1.322|+1.264|+0.000|+0.000|-0.001|+1.323|+1.264|
028:+0.062|+0.000|+0.000|+0.050|+0.055|+0.000|+0.000|-0.008|+0.000|+0.000|+0.006|-0.006|-0.008|+1.325|+1.274|+0.000|-0.000|-0.005|+1.329|+1.274|
029:+0.062|+0.000|+0.000|+0.058|+0.057|-0.000|-0.002|+0.054|+0.000|-0.061|-0.064|+0.000|+0.054|+1.325|+1.266|+0.000|+0.000|+0.001|+1.324|+1.266|
030:+0.064|+0.000|+0.000|+0.002|+0.065|+0.000|-0.001|+0.064|+0.000|+0.062|+0.063|-0.002|+0.064|+1.322|+1.320|+0.000|-0.061|-0.063|+1.324|+1.320|
031:+0.000|+0.000|+0.000|+0.002|+0.001|+0.000|+0.004|-0.001|+0.000|-0.008|-0.000|-0.003|-0.001|+1.322|+1.384|+0.000|+0.001|+0.000|+1.323|+1.384|
032:+0.001|+0.000|+0.000|+0.002|+0.002|+0.000|+0.005|-0.001|+0.000|+0.003|+0.000|+0.008|-0.001|+1.326|+1.384|+0.000|-0.007|-0.000|+1.319|+1.384|
033:+0.001|+0.000|+0.000|+0.002|+0.002|-0.000|-0.003|-0.059|+0.000|+0.062|+0.060|-0.001|-0.059|+1.331|+1.383|+0.000|-0.004|-0.000|+1.327|+1.383|
034:+0.000|+0.000|+0.000|+0.061|+0.002|+0.000|-0.002|-0.058|+0.000|-0.059|-0.057|-0.004|-0.058|+1.327|+1.325|+0.000|+0.058|+0.060|+1.326|+1.325|
035:+0.061|+0.000|+0.000|+0.059|+0.055|+0.000|-0.001|-0.003|+0.000|+0.000|-0.001|+0.000|-0.003|+1.325|+1.267|+0.000|-0.000|+0.003|+1.322|+1.267|
036:+0.062|+0.000|+0.000|+0.060|+0.058|+0.000|-0.001|+0.008|+0.000|+0.000|-0.007|+0.006|+0.008|+1.324|+1.264|+0.000|+0.000|+0.002|+1.322|+1.264|
037:+0.063|+0.000|+0.000|+0.051|+0.055|+0.000|+0.004|+0.053|+0.000|-0.056|-0.054|+0.003|+0.053|+1.323|+1.272|+0.000|+0.000|-0.005|+1.328|+1.272|
038:+0.059|+0.000|+0.000|+0.002|+0.060|+0.000|-0.006|+0.059|+0.000|+0.064|+0.059|-0.001|+0.059|+1.327|+1.325|+0.000|-0.056|-0.059|+1.330|+1.325|
039:+0.000|+0.000|+0.000|+0.001|+0.001|-0.000|+0.005|+0.000|+0.000|-0.001|-0.000|+0.004|+0.000|+1.321|+1.385|+0.000|+0.008|+0.000|+1.329|+1.385|
