H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.200|+1.201|+0.000|-0.000|+0.000|+0.000|+1.200|
002:+1.203|+1.200|+0.000|+0.000|+0.000|-0.000|+1.200|
003:+1.203|+1.200|+0.000|-0.000|+0.000|+0.000|+1.199|
004:+1.203|+1.204|+0.000|+0.000|+0.000|-0.000|+1.203|
005:+1.189|+1.207|+0.000|+0.000|+0.000|-0.000|+1.207|
006:+1.210|+1.200|+0.000|-0.000|+0.000|+0.000|+1.199|
007:+1.203|+1.199|+0.000|+0.000|+0.000|-0.000|+1.198|
008:+1.208|+1.201|+0.000|-0.000|+0.000|+0.000|+1.201|
009:+1.204|+1.198|+0.000|+0.000|+0.000|-0.000|+1.198|
010:+1.200|+1.196|+0.000|-0.000|+0.000|+0.000|+1.195|
011:+1.203|+1.198|+0.000|-0.000|+0.000|+0.000|+1.197|
012:+1.198|+1.196|+0.000|-0.000|+0.000|+0.000|+1.195|
013:+1.200|+1.195|+0.000|-0.000|+0.000|+0.000|+1.194|
014:+1.209|+1.211|+0.000|+0.000|+0.000|-0.000|+1.210|
015:+1.210|+1.203|+0.000|+0.000|+0.000|-0.000|+1.202|
016:+1.203|+1.200|+0.000|-0.000|+0.000|+0.000|+1.200|
017:+1.207|+1.204|+0.000|+0.000|+0.000|+0.000|+1.203|
018:+1.194|+1.208|+0.000|+0.000|+0.000|-0.000|+1.208|
019:+1.211|+1.192|+0.000|+0.000|+0.000|-0.000|+1.192|
020:+1.197|+1.192|+0.000|-0.000|+0.000|+0.000|+1.191|
021:+1.204|+1.204|+0.000|+0.000|+0.000|-0.000|+1.204|
022:+1.205|+1.194|+0.000|+0.000|+0.000|+0.000|+1.194|
023:+1.189|+1.209|+0.000|+0.000|+0.000|+0.000|+1.209|
024:+1.206|+1.195|+0.000|-0.000|+0.000|+0.000|+1.195|
025:+1.202|+1.205|+0.000|+0.000|+0.000|+0.000|+1.204|
026:+1.201|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.332|
028:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.327|
029:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.327|
030:+1.386|+1.199|+0.000|+0.000|+0.000|+0.000|+1.198|
031:+1.200|+1.195|+0.000|-0.000|-0.000|+0.000|+1.194|
032:+1.201|+1.203|+0.000|-0.000|-0.000|+0.000|+1.203|
033:+1.192|+1.200|+0.000|-0.000|+0.000|+0.000|+1.200|
034:+1.198|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.328|
036:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.334|
037:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.328|
038:+1.386|+1.202|+0.000|-0.000|-0.000|+0.000|+1.201|
039:+1.204|+1.204|+0.000|-0.000|+0.000|+0.000|+1.204|
