MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.001|+1.342|+1.342|+0.001|+0.000|-0.001|+0.000|-0.006|+0.004|+0.001|+0.000|-0.003|+1.343|+0.000|+0.002|-0.002|-0.000|+0.000|+1.343|
002:+0.000|+0.002|+1.346|+1.346|+0.002|+0.000|-0.004|+0.000|+0.004|+0.001|-0.000|+0.000|+0.002|+1.342|+0.000|-0.004|+0.002|+0.000|+0.000|+1.340|
003:+0.001|+0.002|+1.343|+1.343|+0.002|-0.000|+0.003|+0.000|+0.000|-0.002|+0.000|+0.000|+0.001|+1.338|+0.000|+0.001|+0.004|-0.000|+0.000|+1.342|
004:+0.000|+0.002|+1.344|+1.344|+0.002|+0.000|+0.002|-0.000|+0.002|-0.003|-0.000|+0.000|+0.001|+1.341|+0.000|+0.001|+0.001|-0.000|+0.000|+1.343|
005:+0.000|+0.002|+1.343|+1.343|+0.002|+0.000|+0.002|+0.000|-0.004|+0.000|-0.000|+0.000|-0.001|+1.343|+0.000|+0.003|-0.002|-0.000|+0.000|+1.344|
006:+0.000|+0.002|+1.345|+1.345|+0.002|-0.000|+0.000|+0.000|+0.006|-0.001|+0.000|+0.000|+0.005|+1.345|+0.000|-0.001|-0.002|-0.000|+0.000|+1.343|
007:+0.001|+0.002|+1.344|+1.344|+0.002|-0.000|-0.004|-0.000|-0.007|+0.004|-0.001|+0.000|-0.006|+1.346|+0.000|+0.005|-0.003|+0.000|+0.000|+1.347|
008:+0.000|+0.002|+1.345|+1.345|+0.002|-0.000|+0.004|+0.000|+0.007|-0.008|+0.000|+0.000|+0.003|+1.342|-0.000|-0.001|+0.001|-0.000|+0.000|+1.342|
009:+0.001|+0.002|+1.341|+1.341|+0.002|+0.000|-0.002|+0.000|-0.005|+0.006|-0.000|+0.000|-0.000|+1.346|+0.000|+0.006|-0.007|+0.000|+0.000|+1.345|
010:+0.000|+0.001|+1.345|+1.345|+0.001|+0.000|+0.001|-0.000|+0.003|-0.002|-0.000|+0.000|+0.002|+1.344|+0.000|+0.001|-0.001|-0.000|+0.000|+1.344|
011:+0.000|+0.001|+1.343|+1.342|+0.001|+0.000|-0.001|-0.000|-0.001|+0.002|+0.000|+0.000|+0.000|+1.345|+0.000|+0.004|-0.003|-0.000|+0.000|+1.346|
012:+0.000|+0.002|+1.344|+1.344|+0.002|-0.000|+0.001|+0.000|-0.003|-0.002|-0.000|+0.000|-0.004|+1.343|-0.000|+0.004|-0.001|-0.000|+0.000|+1.346|
013:+0.001|+0.001|+1.344|+1.344|+0.001|+0.000|-0.000|-0.000|+0.004|-0.002|+0.000|+0.000|+0.001|+1.345|+0.000|+0.000|-0.002|-0.000|+0.000|+1.343|
014:+0.001|+0.002|+1.341|+1.342|+0.002|+0.000|-0.003|+0.000|-0.004|+0.006|-0.000|+0.000|-0.002|+1.345|+0.000|+0.004|-0.005|+0.000|+0.000|+1.344|
015:+0.000|+0.002|+1.344|+1.344|+0.002|-0.000|+0.001|-0.000|+0.003|-0.001|-0.001|+0.000|+0.004|+1.342|+0.000|-0.000|+0.001|+0.000|+0.000|+1.343|
016:+0.001|+0.002|+1.346|+1.345|+0.002|+0.000|-0.001|+0.000|-0.001|+0.001|+0.001|+0.000|-0.002|+1.343|+0.000|+0.003|-0.000|-0.001|+0.000|+1.347|
017:+0.001|+0.002|+1.345|+1.344|+0.002|+0.000|-0.002|+0.000|+0.005|-0.007|+0.000|+0.000|-0.004|+1.342|+0.000|+0.002|+0.000|-0.000|+0.000|+1.345|
018:+0.001|+0.002|+1.336|+1.336|+0.002|+0.000|+0.002|+0.000|-0.004|+0.005|+0.000|+0.000|+0.003|+1.341|+0.000|+0.007|-0.006|+0.000|+0.000|+1.341|
019:+0.000|+0.002|+1.343|+1.343|+0.002|+0.000|+0.002|-0.000|-0.007|-0.001|-0.000|+0.000|-0.006|+1.343|+0.000|+0.002|-0.001|+0.000|+0.000|+1.344|
020:+0.000|+0.002|+1.345|+1.345|+0.002|+0.000|-0.003|+0.000|+0.006|+0.005|+0.000|+0.000|+0.008|+1.345|+0.000|-0.005|-0.003|-0.000|+0.000|+1.338|
021:+0.000|+0.002|+1.346|+1.347|+0.002|+0.000|+0.002|+0.000|-0.000|-0.005|-0.001|+0.000|-0.002|+1.342|+0.000|+0.002|+0.003|+0.000|+0.000|+1.346|
022:+0.001|+0.002|+1.344|+1.344|+0.002|+0.000|-0.001|-0.000|+0.004|-0.004|+0.001|+0.000|-0.002|+1.344|+0.000|+0.001|-0.002|-0.001|+0.000|+1.344|
023:+0.001|+0.002|+1.339|+1.339|+0.002|+0.000|-0.004|+0.000|-0.001|+0.012|-0.001|+0.000|+0.007|+1.343|+0.000|+0.005|-0.005|+0.000|+0.000|+1.342|
024:+0.001|+0.002|+1.348|+1.347|+0.002|+0.000|-0.001|-0.000|-0.002|-0.001|+0.000|+0.000|-0.005|+1.339|+0.000|+0.004|+0.007|-0.000|+0.000|+1.349|
025:+0.000|+0.001|+1.345|+1.345|+0.001|+0.000|+0.007|+0.300|-0.000|+0.034|+0.000|+0.344|-0.003|+1.338|+0.000|+0.001|+0.006|+0.000|+0.000|+1.345|
026:+0.000|+0.002|+1.042|+1.042|+0.001|-0.000|+0.039|-0.009|+0.002|-0.039|-0.000|+0.005|+0.005|+1.344|+0.300|+0.001|+0.040|+0.000|+0.344|+1.341|
027:+0.001|+0.002|+1.037|+1.055|+0.002|-0.018|+0.001|-0.003|-0.000|-0.000|+0.000|-0.001|-0.002|+1.383|+0.291|+0.003|+0.000|-0.000|+0.348|+1.347|
