H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.343|+1.346|+0.000|-0.000|+0.000|+0.000|+1.346|
002:+1.342|+1.351|+0.000|-0.000|+0.000|+0.000|+1.350|
003:+1.346|+1.344|+0.000|+0.000|+0.000|-0.000|+1.344|
004:+1.345|+1.348|+0.000|+0.000|+0.000|-0.000|+1.347|
005:+1.346|+1.345|+0.000|+0.000|+0.000|+0.000|+1.345|
006:+1.340|+1.343|+0.000|-0.000|+0.000|+0.000|+1.343|
007:+1.343|+1.341|+0.000|-0.000|+0.000|+0.000|+1.341|
008:+1.343|+1.348|+0.000|+0.000|+0.000|-0.000|+1.348|
009:+1.345|+1.343|+0.000|+0.000|+0.000|-0.000|+1.343|
010:+1.347|+1.343|+0.000|-0.000|+0.000|+0.000|+1.342|
011:+1.349|+1.347|+0.000|+0.000|+0.000|-0.000|+1.346|
012:+1.349|+1.347|+0.000|-0.000|+0.000|+0.000|+1.347|
013:+1.347|+1.346|+0.000|-0.000|+0.000|+0.000|+1.345|
014:+1.345|+1.341|+0.000|-0.000|+0.000|+0.000|+1.341|
015:+1.345|+1.347|+0.000|+0.000|+0.000|+0.000|+1.347|
016:+1.346|+1.345|+0.000|-0.000|+0.000|+0.000|+1.345|
017:+1.345|+1.341|+0.000|-0.000|+0.000|+0.000|+1.341|
018:+1.348|+1.346|+0.000|+0.000|+0.000|+0.000|+1.346|
019:+1.344|+1.346|+0.000|+0.000|+0.000|-0.000|+1.345|
020:+1.338|+1.353|+0.000|+0.000|+0.000|+0.000|+1.353|
021:+1.338|+1.345|+0.000|+0.000|+0.000|-0.000|+1.345|
022:+1.336|+1.338|+0.000|+0.000|+0.000|+0.000|+1.338|
023:+1.344|+1.349|+0.000|-0.000|+0.000|+0.000|+1.349|
024:+1.344|+1.344|+0.000|-0.000|+0.000|+0.000|+1.344|
025:+1.344|+1.346|+0.000|-0.000|+0.000|+0.000|+1.346|
026:+1.346|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.382|
028:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.383|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.383|
030:+1.386|+1.349|+0.000|+0.000|-0.000|-0.000|+1.349|
031:+1.344|+1.347|+0.000|+0.000|+0.000|-0.000|+1.346|
032:+1.347|+1.345|+0.000|-0.000|+0.000|+0.000|+1.344|
033:+1.342|+1.348|+0.000|+0.000|+0.000|-0.000|+1.348|
034:+1.342|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.384|
036:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.383|
037:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.382|
038:+1.386|+1.349|+0.000|+0.000|+0.000|-0.000|+1.349|
039:+1.340|+1.348|+0.000|+0.000|-0.000|-0.000|+1.348|
