H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.246|+1.242|+0.000|-0.000|+0.000|+0.000|+1.241|
002:+1.236|+1.243|+0.000|+0.000|+0.000|-0.000|+1.243|
003:+1.251|+1.240|+0.000|-0.000|+0.000|+0.000|+1.239|
004:+1.245|+1.236|+0.000|+0.000|+0.000|+0.000|+1.235|
005:+1.248|+1.236|+0.000|+0.000|+0.000|+0.000|+1.235|
006:+1.243|+1.246|+0.000|-0.000|+0.000|+0.000|+1.246|
007:+1.237|+1.240|+0.000|+0.000|+0.000|-0.000|+1.239|
008:+1.235|+1.237|+0.000|-0.000|+0.000|+0.000|+1.237|
009:+1.248|+1.240|+0.000|+0.000|+0.000|-0.000|+1.239|
010:+1.244|+1.237|+0.000|-0.000|+0.000|+0.000|+1.235|
011:+1.243|+1.241|+0.000|+0.000|+0.000|-0.000|+1.240|
012:+1.247|+1.240|+0.000|+0.000|+0.000|-0.000|+1.240|
013:+1.237|+1.236|+0.000|-0.000|+0.000|+0.000|+1.235|
014:+1.235|+1.233|+0.000|+0.000|+0.000|-0.000|+1.233|
015:+1.246|+1.242|+0.000|-0.000|+0.000|+0.000|+1.242|
016:+1.239|+1.237|+0.000|+0.000|+0.000|-0.000|+1.237|
017:+1.247|+1.239|+0.000|-0.000|+0.000|+0.000|+1.239|
018:+1.246|+1.245|+0.000|-0.000|+0.000|+0.000|+1.245|
019:+1.230|+1.237|+0.000|-0.000|+0.000|+0.000|+1.237|
020:+1.242|+1.237|+0.000|+0.000|+0.000|-0.000|+1.237|
021:+1.245|+1.234|+0.000|+0.000|+0.000|-0.000|+1.234|
022:+1.240|+1.240|+0.000|+0.000|+0.000|-0.000|+1.240|
023:+1.247|+1.233|+0.000|+0.000|+0.000|-0.000|+1.232|
024:+1.241|+1.249|+0.000|+0.000|+0.000|+0.000|+1.249|
025:+1.236|+1.243|+0.000|+0.000|+0.000|+0.000|+1.242|
026:+1.248|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
027:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.350|
028:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.350|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.350|
030:+1.386|+1.251|+0.000|-0.000|-0.000|+0.000|+1.250|
031:+1.227|+1.243|+0.000|+0.000|+0.000|-0.000|+1.242|
032:+1.245|+1.234|+0.000|+0.000|+0.000|-0.000|+1.234|
033:+1.248|+1.235|+0.000|-0.000|+0.000|+0.000|+1.235|
034:+1.242|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.351|
036:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.350|
037:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.351|
038:+1.386|+1.241|+0.000|+0.000|+0.000|-0.000|+1.240|
039:+1.235|+1.247|+0.000|+0.000|+0.000|-0.000|+1.247|
