H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.090|+1.086|+0.000|-0.000|+0.000|+0.000|+1.085|
002:+1.091|+1.086|+0.000|-0.000|+0.000|+0.000|+1.085|
003:+1.089|+1.088|+0.000|-0.000|+0.000|+0.000|+1.087|
004:+1.085|+1.088|+0.000|+0.000|+0.000|-0.000|+1.087|
005:+1.092|+1.098|+0.000|-0.000|+0.000|+0.000|+1.097|
006:+1.091|+1.092|+0.000|+0.000|+0.000|-0.000|+1.091|
007:+1.083|+1.092|+0.000|+0.000|+0.000|-0.000|+1.091|
008:+1.087|+1.081|+0.000|-0.000|+0.000|+0.000|+1.080|
009:+1.094|+1.093|+0.000|-0.000|+0.000|+0.000|+1.093|
010:+1.088|+1.087|+0.000|+0.000|+0.000|-0.000|+1.086|
011:+1.096|+1.082|+0.000|+0.000|+0.000|-0.000|+1.082|
012:+1.090|+1.080|+0.000|+0.000|+0.000|+0.000|+1.080|
013:+1.091|+1.092|+0.000|-0.000|+0.000|+0.000|+1.091|
014:+1.095|+1.097|+0.000|+0.000|+0.000|-0.000|+1.096|
015:+1.090|+1.090|+0.000|-0.000|+0.000|+0.000|+1.089|
016:+1.085|+1.082|+0.000|-0.000|+0.000|+0.000|+1.082|
017:+1.086|+1.084|+0.000|-0.000|+0.000|+0.000|+1.084|
018:+1.092|+1.090|+0.000|+0.000|+0.000|+0.000|+1.090|
019:+1.085|+1.081|+0.000|+0.000|+0.000|-0.000|+1.081|
020:+1.089|+1.089|+0.000|+0.000|+0.000|-0.000|+1.088|
021:+1.096|+1.091|+0.000|+0.000|+0.000|-0.000|+1.090|
022:+1.092|+1.091|+0.000|-0.000|+0.000|+0.000|+1.091|
023:+1.089|+1.097|+0.000|+0.000|+0.000|-0.000|+1.096|
024:+1.090|+1.096|+0.000|+0.000|+0.000|-0.000|+1.096|
025:+1.088|+1.089|+0.000|+0.000|+0.000|+0.000|+1.088|
026:+1.083|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
027:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.255|
028:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.253|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.255|
030:+1.386|+1.085|+0.000|-0.000|+0.000|+0.000|+1.084|
031:+1.089|+1.093|+0.000|-0.000|+0.000|+0.000|+1.092|
032:+1.095|+1.090|+0.000|-0.000|+0.000|+0.000|+1.090|
033:+1.087|+1.086|+0.000|-0.000|+0.000|+0.000|+1.085|
034:+1.084|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.250|
036:+1.385|+1.386|+0.000|+0.000|+0.000|-0.000|+1.253|
037:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.250|
038:+1.386|+1.085|+0.000|-0.000|+0.000|+0.000|+1.084|
039:+1.085|+1.089|+0.000|+0.000|+0.000|+0.000|+1.089|
