MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.002|+1.088|+1.087|+0.002|-0.000|-0.012|-0.000|+0.008|+0.006|+0.000|+0.000|+0.001|+1.084|+0.000|+0.003|+0.001|-0.000|+0.000|+1.089|
002:+0.001|+0.002|+1.081|+1.081|+0.002|-0.000|+0.019|+0.000|-0.003|-0.020|-0.000|+0.000|-0.004|+1.072|-0.000|+0.010|+0.007|-0.000|+0.000|+1.090|
003:+0.001|+0.002|+1.080|+1.080|+0.002|+0.000|+0.001|+0.000|-0.017|+0.003|+0.000|+0.000|-0.013|+1.090|+0.000|+0.007|-0.012|-0.000|+0.000|+1.086|
004:+0.001|+0.002|+1.084|+1.084|+0.002|+0.000|-0.003|-0.000|+0.014|+0.001|+0.001|+0.000|+0.012|+1.092|+0.000|-0.010|-0.010|-0.000|+0.000|+1.072|
005:+0.001|+0.001|+1.081|+1.081|+0.001|+0.000|-0.015|+0.000|-0.006|+0.022|+0.000|+0.000|+0.002|+1.089|-0.000|+0.004|-0.008|+0.000|+0.000|+1.084|
006:+0.001|+0.001|+1.089|+1.089|+0.001|-0.000|+0.017|+0.000|-0.003|-0.016|-0.000|+0.000|-0.002|+1.074|+0.000|-0.002|+0.014|+0.000|+0.000|+1.086|
007:+0.000|+0.001|+1.091|+1.091|+0.001|+0.000|-0.001|-0.000|+0.007|-0.000|+0.000|+0.000|+0.005|+1.091|+0.000|-0.005|-0.002|-0.000|+0.000|+1.084|
008:+0.000|+0.002|+1.090|+1.090|+0.002|-0.000|-0.006|+0.000|-0.002|+0.005|+0.000|+0.000|-0.004|+1.091|+0.000|+0.002|-0.003|+0.000|+0.000|+1.089|
009:+0.000|+0.002|+1.089|+1.089|+0.002|+0.000|+0.001|-0.000|+0.002|-0.003|-0.000|+0.000|+0.000|+1.084|+0.000|-0.001|+0.003|+0.000|+0.000|+1.086|
010:+0.000|+0.002|+1.087|+1.087|+0.002|+0.000|-0.004|+0.000|+0.007|+0.002|+0.000|+0.000|+0.006|+1.085|-0.000|+0.001|-0.000|+0.000|+0.000|+1.086|
011:+0.000|+0.001|+1.084|+1.084|+0.001|+0.000|+0.002|+0.000|-0.016|+0.007|-0.000|+0.000|-0.007|+1.081|+0.000|+0.009|+0.002|+0.000|+0.000|+1.092|
012:+0.000|+0.002|+1.095|+1.094|+0.002|+0.000|-0.004|+0.000|+0.009|-0.003|-0.000|+0.000|+0.002|+1.083|+0.000|-0.008|+0.009|-0.000|+0.000|+1.085|
013:+0.000|+0.002|+1.088|+1.088|+0.002|-0.000|+0.015|-0.000|-0.015|-0.001|+0.001|+0.000|-0.001|+1.080|+0.000|+0.002|+0.006|-0.000|+0.000|+1.087|
014:+0.000|+0.001|+1.101|+1.101|+0.001|+0.000|-0.014|+0.000|+0.020|-0.003|-0.000|+0.000|+0.003|+1.095|-0.000|-0.013|+0.005|+0.000|+0.000|+1.086|
015:+0.000|+0.002|+1.084|+1.085|+0.002|+0.000|-0.008|+0.000|+0.005|+0.004|-0.000|+0.000|+0.002|+1.081|+0.000|+0.007|+0.002|+0.000|+0.000|+1.089|
016:+0.000|+0.002|+1.081|+1.081|+0.002|-0.000|+0.010|+0.000|-0.018|+0.003|+0.000|+0.000|-0.006|+1.073|+0.000|+0.012|+0.006|-0.000|+0.000|+1.091|
017:+0.001|+0.001|+1.092|+1.092|+0.001|+0.000|-0.005|+0.000|+0.001|+0.001|+0.000|+0.000|-0.003|+1.083|+0.000|-0.006|+0.008|-0.000|+0.000|+1.085|
018:+0.000|+0.001|+1.088|+1.088|+0.001|-0.000|+0.012|+0.000|+0.000|-0.012|-0.000|+0.000|+0.001|+1.078|+0.000|-0.005|+0.009|+0.000|+0.000|+1.082|
019:+0.001|+0.002|+1.090|+1.089|+0.002|+0.000|-0.010|+0.000|-0.001|+0.019|+0.000|+0.000|+0.007|+1.090|+0.000|-0.005|-0.003|-0.000|+0.000|+1.083|
020:+0.000|+0.002|+1.098|+1.098|+0.002|-0.000|+0.000|+0.000|+0.002|-0.008|-0.000|+0.000|-0.005|+1.080|+0.000|-0.006|+0.017|+0.000|+0.000|+1.091|
021:+0.000|+0.002|+1.091|+1.091|+0.002|-0.000|-0.001|+0.000|+0.007|-0.008|+0.000|+0.000|-0.002|+1.080|+0.000|-0.004|+0.009|-0.000|+0.000|+1.085|
022:+0.001|+0.002|+1.082|+1.082|+0.002|-0.000|+0.008|+0.000|-0.001|-0.005|-0.001|+0.000|+0.002|+1.080|+0.000|+0.003|+0.001|+0.000|+0.000|+1.084|
023:+0.001|+0.002|+1.085|+1.084|+0.002|+0.000|-0.006|-0.000|+0.004|+0.009|+0.000|+0.000|+0.006|+1.087|+0.000|+0.003|-0.005|-0.000|+0.000|+1.086|
024:+0.001|+0.002|+1.088|+1.087|+0.002|-0.000|+0.011|+0.000|-0.004|-0.009|+0.000|+0.000|-0.003|+1.081|-0.000|+0.006|+0.005|-0.000|+0.000|+1.092|
025:+0.000|+0.001|+1.088|+1.088|+0.001|-0.000|-0.002|+0.000|+0.298|-0.002|-0.000|+0.000|+0.295|+1.092|+0.000|+0.002|-0.005|-0.000|+0.000|+1.089|
026:+0.000|+0.002|+1.085|+1.085|+0.002|-0.000|-0.004|+0.000|-0.301|+0.304|+0.133|+0.000|-0.133|+1.090|+0.000|+0.301|-0.006|-0.000|+0.000|+1.384|
027:+0.001|+0.002|+1.253|+1.386|+0.002|-0.000|+0.099|-0.000|-0.000|-0.298|-0.129|+0.000|-0.070|+1.086|+0.000|-0.000|+0.298|+0.133|+0.000|+1.251|
028:+0.132|+0.069|+1.250|+1.254|+0.069|-0.000|-0.005|+0.000|+0.000|-0.000|-0.003|+0.000|-0.002|+1.185|-0.000|-0.000|+0.000|+0.004|+0.000|+1.181|
029:+0.135|+0.071|+1.250|+1.251|+0.071|+0.000|+0.071|+0.000|-0.304|+0.000|-0.134|+0.000|-0.099|+1.180|-0.000|+0.000|-0.000|+0.001|+0.000|+1.179|
030:+0.134|+0.002|+1.386|+1.253|+0.002|+0.000|+0.132|+0.000|+0.306|-0.297|+0.133|+0.000|+0.008|+1.251|-0.000|-0.304|+0.000|-0.133|+0.000|+1.080|
031:+0.001|+0.002|+1.089|+1.089|+0.002|-0.000|-0.291|-0.000|-0.015|+0.303|-0.000|+0.000|-0.003|+1.383|+0.000|+0.001|-0.297|-0.000|+0.000|+1.088|
032:+0.001|+0.001|+1.100|+1.100|+0.001|+0.000|-0.006|+0.000|+0.014|-0.002|+0.000|+0.000|+0.005|+1.093|-0.000|-0.014|+0.006|-0.000|+0.000|+1.085|
033:+0.001|+0.001|+1.091|+1.091|+0.001|+0.000|+0.009|+0.000|+0.299|-0.014|+0.000|+0.000|+0.294|+1.086|+0.000|+0.000|+0.004|-0.000|+0.000|+1.090|
034:+0.000|+0.001|+1.086|+1.086|+0.001|-0.000|-0.003|-0.000|-0.300|+0.302|+0.131|+0.000|-0.132|+1.095|+0.000|+0.300|-0.011|-0.000|+0.000|+1.385|
035:+0.001|+0.002|+1.254|+1.386|+0.002|-0.000|+0.088|+0.000|-0.000|-0.291|-0.136|+0.000|-0.067|+1.093|+0.000|-0.000|+0.291|+0.131|+0.000|+1.253|
036:+0.132|+0.073|+1.258|+1.254|+0.073|+0.000|+0.000|+0.000|+0.000|-0.000|+0.007|+0.000|-0.007|+1.181|+0.000|-0.000|+0.000|-0.004|+0.000|+1.185|
037:+0.132|+0.073|+1.251|+1.254|+0.073|+0.000|+0.077|-0.000|-0.297|+0.000|-0.129|+0.000|-0.091|+1.181|+0.000|-0.000|+0.000|+0.003|+0.000|+1.178|
038:+0.127|+0.002|+1.386|+1.259|+0.002|+0.000|+0.126|+0.000|+0.299|-0.303|+0.126|+0.000|-0.004|+1.257|-0.000|-0.297|+0.000|-0.126|+0.000|+1.087|
039:+0.001|+0.002|+1.082|+1.082|+0.002|+0.000|-0.303|-0.000|-0.006|+0.309|+0.000|+0.000|-0.000|+1.383|+0.000|+0.003|-0.303|-0.000|+0.000|+1.083|
