MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.002|+1.235|+1.235|+0.002|+0.000|-0.001|-0.000|-0.004|+0.003|-0.000|+0.000|-0.002|+1.239|+0.000|+0.006|-0.006|+0.000|+0.000|+1.239|
002:+0.000|+0.001|+1.237|+1.237|+0.001|+0.000|+0.005|+0.000|-0.007|-0.003|-0.001|+0.000|-0.004|+1.239|-0.000|+0.002|-0.003|+0.000|+0.000|+1.237|
003:+0.001|+0.001|+1.240|+1.239|+0.001|+0.000|-0.002|-0.000|+0.013|+0.001|+0.001|+0.000|+0.011|+1.244|+0.000|-0.005|-0.006|-0.001|+0.000|+1.233|
004:+0.001|+0.002|+1.238|+1.238|+0.002|-0.000|-0.005|+0.000|+0.000|+0.001|-0.000|+0.000|-0.003|+1.242|-0.000|+0.008|-0.005|-0.000|+0.000|+1.244|
005:+0.000|+0.001|+1.234|+1.234|+0.001|+0.000|+0.003|+0.000|-0.005|+0.001|+0.000|+0.000|-0.000|+1.237|+0.000|+0.008|-0.004|-0.000|+0.000|+1.241|
006:+0.000|+0.002|+1.239|+1.239|+0.002|+0.000|-0.005|-0.000|-0.010|+0.008|-0.000|+0.000|-0.007|+1.240|+0.000|+0.004|-0.003|+0.000|+0.000|+1.241|
007:+0.000|+0.001|+1.242|+1.242|+0.001|-0.000|+0.005|+0.000|+0.011|-0.008|-0.000|+0.000|+0.008|+1.235|+0.000|-0.007|+0.005|+0.000|+0.000|+1.234|
008:+0.001|+0.002|+1.240|+1.239|+0.002|-0.000|-0.003|+0.000|+0.008|+0.001|-0.000|+0.000|+0.006|+1.241|+0.000|+0.004|-0.003|-0.000|+0.000|+1.242|
009:+0.001|+0.003|+1.238|+1.238|+0.003|-0.000|+0.014|+0.000|-0.016|-0.005|-0.000|+0.000|-0.007|+1.238|+0.000|+0.012|-0.002|-0.000|+0.000|+1.248|
010:+0.001|+0.001|+1.246|+1.245|+0.001|+0.000|-0.020|+0.000|+0.003|+0.015|+0.000|+0.000|-0.003|+1.251|+0.000|-0.004|-0.007|-0.000|+0.000|+1.240|
011:+0.000|+0.002|+1.241|+1.241|+0.002|+0.000|+0.004|-0.000|-0.012|+0.002|+0.000|+0.000|-0.007|+1.231|+0.000|-0.001|+0.008|+0.000|+0.000|+1.238|
012:+0.000|+0.002|+1.247|+1.247|+0.002|+0.000|+0.008|+0.000|+0.017|-0.016|-0.000|+0.000|+0.009|+1.235|+0.000|-0.014|+0.009|+0.000|+0.000|+1.231|
013:+0.000|+0.002|+1.239|+1.239|+0.002|+0.000|-0.008|-0.000|-0.013|+0.017|-0.000|+0.000|-0.005|+1.243|+0.000|+0.003|-0.007|+0.000|+0.000|+1.240|
014:+0.001|+0.002|+1.247|+1.247|+0.002|+0.000|+0.002|+0.000|+0.010|-0.009|-0.001|+0.000|+0.005|+1.235|-0.000|-0.010|+0.010|-0.000|+0.000|+1.235|
015:+0.001|+0.002|+1.241|+1.240|+0.002|-0.000|+0.013|+0.000|-0.002|-0.011|+0.001|+0.000|-0.000|+1.237|+0.000|+0.001|+0.001|-0.001|+0.000|+1.240|
