H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.209|+1.201|+0.000|+0.000|+0.000|-0.000|+1.200|
002:+1.204|+1.199|+0.000|+0.000|+0.000|-0.000|+1.199|
003:+1.205|+1.204|+0.000|+0.000|+0.000|-0.000|+1.203|
004:+1.206|+1.205|+0.000|-0.000|+0.000|+0.000|+1.204|
005:+1.209|+1.208|+0.000|+0.000|+0.000|+0.000|+1.208|
006:+1.204|+1.204|+0.000|+0.000|+0.000|-0.000|+1.204|
007:+1.201|+1.192|+0.000|-0.000|+0.000|+0.000|+1.192|
008:+1.195|+1.209|+0.000|-0.000|+0.000|+0.000|+1.208|
009:+1.195|+1.199|+0.000|+0.000|+0.000|-0.000|+1.199|
010:+1.201|+1.206|+0.000|-0.000|+0.000|+0.000|+1.206|
011:+1.197|+1.198|+0.000|+0.000|+0.000|+0.000|+1.198|
012:+1.203|+1.196|+0.000|-0.000|+0.000|+0.000|+1.195|
013:+1.211|+1.198|+0.000|-0.000|+0.000|+0.000|+1.198|
014:+1.199|+1.202|+0.000|-0.000|+0.000|+0.000|+1.202|
015:+1.199|+1.204|+0.000|-0.000|+0.000|+0.000|+1.203|
016:+1.207|+1.204|+0.000|-0.000|+0.000|+0.000|+1.203|
017:+1.208|+1.206|+0.000|+0.000|+0.000|-0.000|+1.206|
018:+1.209|+1.202|+0.000|-0.000|+0.000|+0.000|+1.202|
019:+1.198|+1.198|+0.000|+0.000|+0.000|-0.000|+1.197|
020:+1.206|+1.204|+0.000|+0.000|+0.000|+0.000|+1.204|
021:+1.207|+1.203|+0.000|-0.000|+0.000|+0.000|+1.203|
022:+1.196|+1.203|+0.000|+0.000|+0.000|-0.000|+1.203|
023:+1.202|+1.203|+0.000|+0.000|+0.000|-0.000|+1.202|
024:+1.206|+1.200|+0.000|-0.000|+0.000|+0.000|+1.199|
025:+1.200|+1.206|+0.000|-0.000|+0.000|+0.000|+1.206|
026:+1.211|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.326|
028:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.333|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.331|
030:+1.386|+1.199|+0.000|+0.000|+0.000|+0.000|+1.198|
031:+1.197|+1.205|+0.000|+0.000|+0.000|-0.000|+1.205|
032:+1.202|+1.204|+0.000|+0.000|+0.000|-0.000|+1.204|
033:+1.203|+1.203|+0.000|-0.000|+0.000|+0.000|+1.203|
034:+1.204|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
035:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.331|
036:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.337|
037:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.336|
038:+1.386|+1.197|+0.000|+0.000|+0.000|+0.000|+1.197|
039:+1.201|+1.193|+0.000|-0.000|+0.000|+0.000|+1.193|
