H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.093|+1.083|+0.000|+0.000|+0.000|+0.000|+1.083|
002:+1.101|+1.096|+0.000|+0.000|+0.000|+0.000|+1.095|
003:+1.085|+1.090|+0.000|-0.000|+0.000|+0.000|+1.090|
004:+1.092|+1.092|+0.000|-0.000|+0.000|+0.000|+1.091|
005:+1.089|+1.088|+0.000|-0.000|+0.000|+0.000|+1.087|
006:+1.090|+1.087|+0.000|-0.000|+0.000|+0.000|+1.086|
007:+1.098|+1.092|+0.000|-0.000|+0.000|+0.000|+1.091|
008:+1.091|+1.096|+0.000|-0.000|+0.000|+0.000|+1.096|
009:+1.088|+1.097|+0.000|-0.000|+0.000|+0.000|+1.096|
010:+1.085|+1.081|+0.000|-0.000|+0.000|+0.000|+1.081|
011:+1.084|+1.096|+0.000|-0.000|+0.000|+0.000|+1.096|
012:+1.089|+1.089|+0.000|+0.000|+0.000|+0.000|+1.089|
013:+1.085|+1.093|+0.000|-0.000|+0.000|+0.000|+1.092|
014:+1.082|+1.094|+0.000|+0.000|+0.000|-0.000|+1.093|
015:+1.090|+1.087|+0.000|+0.000|+0.000|-0.000|+1.086|
016:+1.086|+1.092|+0.000|-0.000|+0.000|+0.000|+1.092|
017:+1.095|+1.095|+0.000|-0.000|+0.000|+0.000|+1.095|
018:+1.102|+1.088|+0.000|-0.000|+0.000|+0.000|+1.088|
019:+1.091|+1.082|+0.000|+0.000|+0.000|-0.000|+1.082|
020:+1.088|+1.083|+0.000|-0.000|+0.000|+0.000|+1.082|
021:+1.079|+1.093|+0.000|+0.000|+0.000|-0.000|+1.092|
022:+1.085|+1.079|+0.000|-0.000|+0.000|+0.000|+1.079|
023:+1.093|+1.085|+0.000|-0.000|+0.000|+0.000|+1.085|
024:+1.095|+1.091|+0.000|-0.000|+0.000|+0.000|+1.091|
025:+1.084|+1.093|+0.000|-0.000|+0.000|+0.000|+1.093|
026:+1.093|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
027:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.254|
028:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.249|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.258|
030:+1.386|+1.087|+0.000|+0.000|+0.000|-0.000|+1.087|
031:+1.096|+1.093|+0.000|+0.000|+0.000|-0.000|+1.093|
032:+1.096|+1.087|+0.000|-0.000|+0.000|+0.000|+1.086|
033:+1.086|+1.093|+0.000|+0.000|+0.000|-0.000|+1.093|
034:+1.086|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.255|
036:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.253|
037:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.258|
038:+1.386|+1.092|+0.000|+0.000|+0.000|+0.000|+1.091|
039:+1.090|+1.078|+0.000|+0.000|+0.000|+0.000|+1.078|
