H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.328|+1.319|+0.000|-0.000|+0.000|+0.000|+1.319|
002:+1.326|+1.331|+0.000|+0.000|+0.000|+0.000|+1.330|
003:+1.325|+1.332|+0.000|-0.000|+0.000|+0.000|+1.331|
004:+1.330|+1.327|+0.000|-0.000|+0.000|+0.000|+1.326|
005:+1.321|+1.325|+0.000|-0.000|+0.000|+0.000|+1.325|
006:+1.322|+1.327|+0.000|+0.000|+0.000|+0.000|+1.327|
007:+1.322|+1.328|+0.000|+0.000|+0.000|+0.000|+1.327|
008:+1.324|+1.327|+0.000|+0.000|+0.000|-0.000|+1.327|
009:+1.332|+1.328|+0.000|+0.000|+0.000|-0.000|+1.327|
010:+1.323|+1.322|+0.000|+0.000|+0.000|-0.000|+1.322|
011:+1.324|+1.325|+0.000|+0.000|+0.000|+0.000|+1.325|
012:+1.330|+1.329|+0.000|-0.000|+0.000|+0.000|+1.329|
013:+1.323|+1.327|+0.000|-0.000|+0.000|+0.000|+1.326|
014:+1.326|+1.324|+0.000|+0.000|+0.000|-0.000|+1.323|
015:+1.321|+1.327|+0.000|-0.000|+0.000|+0.000|+1.327|
016:+1.325|+1.329|+0.000|+0.000|+0.000|+0.000|+1.328|
017:+1.326|+1.326|+0.000|+0.000|+0.000|+0.000|+1.325|
018:+1.326|+1.322|+0.000|-0.000|+0.000|+0.000|+1.322|
019:+1.329|+1.330|+0.000|-0.000|+0.000|+0.000|+1.330|
020:+1.326|+1.323|+0.000|-0.000|+0.000|+0.000|+1.321|
021:+1.329|+1.332|+0.000|-0.000|+0.000|+0.000|+1.331|
022:+1.327|+1.329|+0.000|-0.000|+0.000|+0.000|+1.328|
023:+1.328|+1.326|+0.000|+0.000|+0.000|-0.000|+1.326|
024:+1.323|+1.329|+0.000|+0.000|+0.000|+0.000|+1.328|
025:+1.325|+1.321|+0.000|+0.000|+0.000|-0.000|+1.321|
026:+1.326|+1.386|+0.000|+0.000|+0.000|+0.000|+1.385|
027:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
028:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
029:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
030:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
031:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
032:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
033:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
034:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.385|
035:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
036:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
037:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
038:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
039:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
