MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.001|+1.361|+1.361|+0.001|+0.000|-0.002|+0.000|+0.007|-0.002|+0.000|+0.000|+0.002|+1.361|+0.000|-0.005|-0.001|-0.000|+0.000|+1.354|
002:+0.000|+0.002|+1.357|+1.358|+0.002|+0.000|-0.003|-0.000|-0.002|+0.005|-0.000|+0.000|+0.000|+1.359|+0.000|+0.001|-0.003|+0.000|+0.000|+1.357|
003:+0.000|+0.001|+1.359|+1.359|+0.001|-0.000|+0.007|+0.000|+0.006|-0.009|+0.000|+0.000|+0.004|+1.356|-0.000|-0.000|+0.002|+0.000|+0.000|+1.357|
004:+0.000|+0.001|+1.357|+1.357|+0.001|-0.000|-0.006|-0.000|-0.003|+0.006|-0.000|+0.000|-0.003|+1.363|+0.000|+0.005|-0.007|+0.000|+0.000|+1.361|
005:+0.000|+0.001|+1.357|+1.357|+0.001|-0.000|-0.001|+0.000|-0.002|+0.003|+0.000|+0.000|+0.000|+1.357|-0.000|+0.002|-0.002|-0.000|+0.000|+1.358|
006:+0.000|+0.002|+1.360|+1.360|+0.002|-0.000|+0.003|-0.000|+0.004|-0.006|+0.000|+0.000|+0.001|+1.357|+0.000|+0.000|+0.002|+0.000|+0.000|+1.358|
007:+0.000|+0.002|+1.356|+1.357|+0.002|+0.000|-0.000|+0.000|+0.001|-0.000|-0.000|+0.000|+0.000|+1.359|+0.000|+0.004|-0.004|+0.000|+0.000|+1.359|
008:+0.000|+0.001|+1.356|+1.356|+0.001|-0.000|-0.002|-0.000|-0.010|+0.008|+0.000|+0.000|-0.004|+1.359|+0.000|+0.005|-0.004|+0.000|+0.000|+1.359|
009:+0.000|+0.002|+1.362|+1.362|+0.002|+0.000|+0.002|+0.000|+0.000|+0.001|+0.000|+0.000|+0.002|+1.357|-0.000|-0.005|+0.003|+0.000|+0.000|+1.355|
010:+0.000|+0.003|+1.364|+1.365|+0.003|+0.000|+0.001|+0.000|+0.003|-0.007|-0.000|+0.000|-0.003|+1.358|-0.000|-0.005|+0.004|+0.001|+0.000|+1.357|
011:+0.000|+0.002|+1.357|+1.358|+0.002|+0.000|+0.002|-0.000|+0.014|-0.007|+0.000|+0.000|+0.009|+1.359|+0.000|-0.002|-0.003|+0.000|+0.000|+1.354|
012:+0.000|+0.002|+1.353|+1.353|+0.002|-0.000|-0.004|+0.000|-0.011|+0.011|+0.000|+0.000|-0.004|+1.362|-0.000|+0.012|-0.011|+0.000|+0.000|+1.363|
013:+0.000|+0.002|+1.359|+1.359|+0.002|+0.000|-0.003|-0.000|-0.004|+0.004|-0.000|+0.000|-0.003|+1.358|+0.000|+0.001|-0.000|+0.000|+0.000|+1.359|
014:+0.001|+0.002|+1.360|+1.360|+0.002|+0.000|+0.002|+0.000|+0.005|-0.004|+0.000|+0.000|+0.003|+1.355|-0.000|-0.003|+0.003|-0.000|+0.000|+1.356|
015:+0.000|+0.002|+1.359|+1.359|+0.002|+0.000|-0.003|+0.000|-0.000|+0.003|-0.000|+0.000|+0.001|+1.357|-0.000|+0.002|-0.000|+0.000|+0.000|+1.359|
016:+0.000|+0.002|+1.359|+1.359|+0.002|+0.000|+0.002|+0.000|+0.004|-0.005|+0.000|+0.000|+0.001|+1.354|-0.000|+0.002|+0.003|-0.000|+0.000|+1.359|
017:+0.000|+0.002|+1.356|+1.356|+0.002|+0.000|+0.001|+0.000|-0.001|+0.001|-0.000|+0.000|+0.001|+1.356|+0.000|+0.006|-0.002|+0.000|+0.000|+1.360|
018:+0.001|+0.001|+1.357|+1.357|+0.001|-0.000|+0.004|-0.000|-0.009|+0.000|+0.000|+0.000|-0.005|+1.357|+0.000|+0.005|-0.002|-0.000|+0.000|+1.361|
019:+0.001|+0.002|+1.361|+1.361|+0.002|-0.000|-0.003|+0.000|+0.003|+0.002|-0.000|+0.000|+0.003|+1.361|-0.000|-0.004|-0.002|-0.000|+0.000|+1.356|
020:+0.000|+0.002|+1.361|+1.361|+0.002|+0.000|-0.002|+0.000|+0.000|+0.001|-0.000|+0.000|-0.001|+1.358|+0.000|-0.001|+0.001|-0.000|+0.000|+1.358|
021:+0.001|+0.002|+1.360|+1.360|+0.002|+0.000|+0.002|-0.000|-0.001|+0.002|+0.000|+0.000|+0.002|+1.356|+0.000|-0.001|+0.002|-0.000|+0.000|+1.357|
022:+0.000|+0.002|+1.363|+1.363|+0.002|+0.000|+0.002|+0.000|+0.001|-0.006|-0.000|+0.000|-0.003|+1.358|-0.000|-0.002|+0.004|+0.000|+0.000|+1.359|
023:+0.000|+0.002|+1.359|+1.359|+0.002|+0.000|-0.003|+0.000|-0.001|+0.003|+0.000|+0.000|-0.001|+1.360|+0.000|-0.001|-0.002|+0.000|+0.000|+1.356|
024:+0.000|+0.002|+1.360|+1.360|+0.002|+0.000|+0.001|+0.000|+0.002|-0.000|+0.000|+0.000|+0.003|+1.357|+0.000|-0.002|+0.001|+0.000|+0.000|+1.356|
025:+0.000|+0.001|+1.360|+1.360|+0.001|-0.000|-0.002|-0.000|+0.028|-0.001|-0.000|+0.000|+0.025|+1.358|+0.000|+0.000|+0.001|+0.000|+0.000|+1.359|
026:+0.001|+0.001|+1.358|+1.357|+0.001|+0.000|+0.005|-0.000|-0.028|+0.023|+0.002|+0.000|-0.003|+1.356|+0.000|+0.028|+0.000|-0.000|+0.000|+1.384|
027:+0.000|+0.002|+1.384|+1.386|+0.002|+0.000|+0.021|+0.000|+0.000|-0.023|-0.002|+0.000|-0.001|+1.361|-0.000|-0.000|+0.023|+0.002|+0.000|+1.382|
028:+0.002|+0.003|+1.384|+1.384|+0.003|-0.000|-0.001|-0.000|-0.000|-0.000|+0.000|+0.000|-0.001|+1.381|+0.000|+0.000|+0.000|+0.000|+0.000|+1.381|
029:+0.002|+0.004|+1.384|+1.384|+0.004|+0.000|+0.003|+0.000|-0.030|-0.000|-0.001|+0.000|-0.026|+1.381|+0.000|-0.000|-0.000|+0.000|+0.000|+1.380|
030:+0.002|+0.001|+1.385|+1.384|+0.001|-0.000|+0.001|+0.000|+0.024|-0.022|+0.001|+0.000|+0.002|+1.383|+0.000|-0.030|-0.000|-0.001|+0.000|+1.354|
