MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
031:+0.587|+0.000|+0.111|-0.033|+0.000|+0.000|+0.126|+0.000|+0.000|+0.000|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
032:+0.444|+0.000|+0.255|+0.111|+0.000|+0.000|+0.144|+0.000|+0.000|+0.000|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
033:+0.300|+0.000|+0.111|+0.273|+0.000|+0.000|-0.144|+0.000|+0.000|+0.000|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
034:+0.462|+0.000|-0.033|+0.111|+0.000|+0.000|-0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
035:+0.606|+0.000|+0.111|-0.051|+0.000|+0.000|+0.144|+0.000|+0.000|+0.000|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
036:+0.444|+0.000|+0.273|+0.111|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
037:+0.282|+0.000|+0.111|+0.291|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
038:+0.462|+0.000|-0.051|+0.111|+0.000|+0.000|-0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
039:+0.624|+0.000|+0.111|-0.069|+0.000|+0.000|+0.162|+0.000|+0.000|+0.000|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
040:+0.444|+0.000|+0.291|+0.111|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
041:+0.264|+0.000|+0.111|+0.309|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
042:+0.463|+0.000|-0.069|+0.111|+0.000|+0.000|-0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
043:+0.643|+0.000|+0.111|-0.087|+0.000|+0.000|+0.180|+0.000|+0.000|+0.000|+0.000|+0.000|+0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
044:+0.445|+0.000|+0.309|+0.111|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|-0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
045:+0.247|+0.000|+0.111|+0.327|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|-0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
046:+0.463|+0.000|-0.087|+0.111|+0.000|+0.000|-0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
047:+0.661|+0.000|+0.111|-0.105|+0.000|+0.000|+0.198|+0.000|+0.000|+0.000|+0.000|+0.000|+0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
048:+0.445|+0.000|+0.327|+0.111|+0.000|+0.000|+0.216|+0.000|+0.000|+0.000|+0.000|+0.000|-0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
049:+0.229|+0.000|+0.110|+0.345|+0.000|+0.000|-0.216|+0.000|+0.000|+0.000|+0.000|+0.000|-0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
050:+0.464|+0.000|-0.106|+0.111|+0.000|+0.000|-0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
051:+0.680|+0.000|+0.110|-0.123|+0.000|+0.000|+0.216|+0.000|+0.000|+0.000|+0.000|+0.000|+0.252|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
052:+0.446|+0.000|+0.344|+0.110|+0.000|+0.000|+0.234|+0.000|+0.000|+0.000|+0.000|+0.000|-0.252|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
053:+0.212|+0.000|+0.110|+0.362|+0.000|+0.000|-0.234|+0.000|+0.000|+0.000|+0.000|+0.000|-0.252|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
054:+0.464|+0.000|-0.124|+0.110|+0.000|+0.000|-0.234|+0.000|+0.000|+0.000|+0.000|+0.000|+0.252|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
