H0|H0'|E|1|1_p1|1_p2|partial1|
039:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
040:+0.583|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
041:+0.601|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
042:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
043:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
044:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
045:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
046:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
047:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
048:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
049:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
050:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
051:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
052:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
053:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
054:+0.602|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
055:+0.584|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
056:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
057:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
058:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
059:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
060:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
061:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
062:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
063:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
064:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
065:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
066:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
067:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
068:+0.585|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
069:+0.603|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
070:+0.604|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
071:+0.586|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
