H0|H0'|E|1|1_p1|1_p2|partial1|
084:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
085:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
086:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
087:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
088:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
089:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
090:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
091:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
092:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
093:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
094:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
095:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
096:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
097:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
098:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
099:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
100:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
101:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
102:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
103:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
104:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
105:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
106:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
107:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
108:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
109:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
110:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
111:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
112:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
113:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
114:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
115:+0.577|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
116:+0.595|+0.000|-0.000|+0.000|+0.000|+0.000|+0.000|
