MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.001|+1.357|+1.357|+0.001|-0.000|+0.002|+0.000|-0.010|+0.004|+0.000|+0.000|-0.004|+1.354|-0.000|+0.005|+0.002|-0.001|+0.000|+1.361|
002:+0.000|+0.002|+1.363|+1.363|+0.002|-0.000|+0.003|+0.000|+0.002|-0.006|-0.000|+0.000|-0.001|+1.356|-0.000|-0.004|+0.005|-0.000|+0.000|+1.357|
003:+0.001|+0.002|+1.361|+1.361|+0.002|-0.000|-0.002|+0.000|-0.001|+0.004|-0.000|+0.000|+0.001|+1.359|+0.000|-0.003|-0.000|-0.000|+0.000|+1.356|
004:+0.001|+0.001|+1.362|+1.362|+0.001|+0.000|-0.002|-0.000|+0.008|-0.001|+0.000|+0.000|+0.004|+1.357|+0.000|-0.004|+0.003|-0.000|+0.000|+1.357|
005:+0.000|+0.002|+1.359|+1.359|+0.002|+0.000|-0.001|+0.000|-0.007|+0.001|-0.000|+0.000|-0.006|+1.355|-0.000|+0.004|+0.002|+0.000|+0.000|+1.361|
006:+0.000|+0.002|+1.359|+1.359|+0.002|+0.000|+0.004|-0.000|+0.005|-0.006|-0.000|+0.000|+0.004|+1.354|+0.000|-0.002|+0.003|+0.000|+0.000|+1.355|
007:+0.001|+0.002|+1.357|+1.357|+0.002|+0.000|+0.002|-0.000|-0.001|-0.001|+0.000|+0.000|+0.000|+1.358|-0.000|+0.003|-0.003|-0.000|+0.000|+1.359|
008:+0.000|+0.002|+1.359|+1.359|+0.002|-0.000|-0.002|+0.000|-0.001|+0.003|+0.000|+0.000|-0.001|+1.360|-0.000|+0.002|-0.003|+0.000|+0.000|+1.359|
009:+0.000|+0.003|+1.359|+1.359|+0.003|+0.000|+0.004|+0.000|-0.003|-0.003|-0.000|+0.000|-0.002|+1.357|+0.000|+0.002|-0.001|+0.000|+0.000|+1.358|
010:+0.000|+0.001|+1.359|+1.359|+0.001|-0.000|-0.001|-0.000|-0.001|+0.004|-0.000|+0.000|+0.002|+1.362|+0.000|-0.001|-0.004|+0.000|+0.000|+1.356|
011:+0.000|+0.002|+1.363|+1.363|+0.002|+0.000|+0.001|+0.000|-0.001|+0.001|+0.000|+0.000|-0.000|+1.361|-0.000|-0.002|+0.000|-0.000|+0.000|+1.359|
012:+0.000|+0.001|+1.364|+1.364|+0.001|+0.000|-0.002|-0.000|+0.005|-0.003|-0.000|+0.000|+0.000|+1.361|+0.000|-0.004|+0.001|+0.000|+0.000|+1.358|
013:+0.001|+0.002|+1.359|+1.358|+0.002|-0.000|-0.006|+0.000|+0.001|+0.005|-0.000|+0.000|-0.000|+1.359|-0.000|+0.001|-0.003|-0.000|+0.000|+1.359|
014:+0.001|+0.002|+1.357|+1.357|+0.002|-0.000|+0.006|-0.000|+0.004|-0.007|+0.000|+0.000|+0.002|+1.353|+0.000|+0.003|+0.002|-0.001|+0.000|+1.358|
015:+0.001|+0.002|+1.356|+1.356|+0.002|-0.000|+0.001|+0.000|-0.005|+0.003|+0.000|+0.000|-0.001|+1.359|+0.000|+0.007|-0.005|-0.000|+0.000|+1.361|
016:+0.000|+0.002|+1.360|+1.360|+0.002|+0.000|-0.004|+0.000|-0.003|+0.002|-0.000|+0.000|-0.005|+1.360|+0.000|+0.002|-0.002|+0.000|+0.000|+1.359|
017:+0.000|+0.003|+1.359|+1.359|+0.003|+0.000|+0.005|-0.000|-0.001|-0.001|+0.000|+0.000|+0.002|+1.356|+0.000|-0.001|+0.000|-0.000|+0.000|+1.355|
018:+0.000|+0.001|+1.360|+1.360|+0.001|+0.000|+0.001|+0.000|+0.001|-0.002|-0.000|+0.000|-0.000|+1.360|-0.000|-0.002|-0.001|+0.000|+0.000|+1.357|
019:+0.000|+0.001|+1.359|+1.359|+0.001|+0.000|-0.000|+0.000|+0.005|-0.001|-0.000|+0.000|+0.004|+1.361|+0.000|-0.001|-0.004|-0.000|+0.000|+1.357|
020:+0.001|+0.003|+1.359|+1.359|+0.003|-0.000|-0.003|+0.000|-0.004|+0.004|+0.000|+0.000|-0.003|+1.361|+0.000|+0.004|-0.004|-0.000|+0.000|+1.361|
021:+0.000|+0.001|+1.359|+1.359|+0.001|+0.000|-0.001|-0.000|-0.003|+0.002|-0.000|+0.000|-0.001|+1.358|+0.000|-0.000|-0.001|-0.000|+0.000|+1.357|
022:+0.000|+0.003|+1.362|+1.362|+0.003|+0.000|+0.001|+0.000|+0.004|-0.003|+0.000|+0.000|+0.002|+1.357|+0.000|-0.003|+0.002|-0.000|+0.000|+1.356|
023:+0.000|+0.002|+1.359|+1.359|+0.002|-0.000|-0.002|-0.000|+0.002|+0.001|+0.000|+0.000|+0.000|+1.358|+0.000|+0.001|-0.001|+0.000|+0.000|+1.358|
024:+0.000|+0.002|+1.357|+1.357|+0.002|+0.000|+0.003|+0.000|-0.006|+0.002|-0.000|+0.000|-0.001|+1.356|-0.000|+0.003|-0.000|+0.000|+0.000|+1.358|
025:+0.000|+0.002|+1.362|+1.362|+0.002|-0.000|-0.001|+0.000|+0.027|+0.000|-0.000|+0.000|+0.027|+1.359|-0.000|-0.003|+0.001|+0.000|+0.000|+1.357|
