MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
002:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
003:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
004:+0.600|+0.000|+0.500|+0.500|+0.000|+0.000|+0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
005:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|-0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
006:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
007:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
008:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
009:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
010:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
011:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
012:+0.600|+0.000|+0.500|+0.500|+0.000|+0.000|+0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
013:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|-0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
014:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
015:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
016:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
017:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
018:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
019:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|-0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
020:+0.600|+0.000|+0.500|+0.500|+0.000|+0.000|+0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
021:+0.600|+0.000|+0.200|+0.200|+0.000|+0.000|-0.300|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|+0.000|
