H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.325|+1.325|+0.000|-0.000|+0.000|+0.000|+1.324|
002:+1.327|+1.329|+0.000|+0.000|+0.000|-0.000|+1.328|
003:+1.327|+1.329|+0.000|-0.000|+0.000|+0.000|+1.329|
004:+1.326|+1.326|+0.000|-0.000|+0.000|+0.000|+1.326|
005:+1.331|+1.330|+0.000|-0.000|+0.000|+0.000|+1.330|
006:+1.328|+1.321|+0.000|-0.000|+0.000|+0.000|+1.320|
007:+1.321|+1.326|+0.000|-0.000|+0.000|+0.000|+1.326|
008:+1.329|+1.322|+0.000|+0.000|+0.000|-0.000|+1.321|
009:+1.324|+1.319|+0.000|-0.000|+0.000|+0.000|+1.318|
010:+1.331|+1.327|+0.000|+0.000|+0.000|-0.000|+1.327|
011:+1.326|+1.331|+0.000|+0.000|+0.000|-0.000|+1.330|
012:+1.328|+1.329|+0.000|+0.000|+0.000|-0.000|+1.329|
013:+1.329|+1.329|+0.000|-0.000|+0.000|+0.000|+1.328|
014:+1.327|+1.325|+0.000|+0.000|+0.000|-0.000|+1.325|
015:+1.327|+1.327|+0.000|-0.000|+0.000|+0.000|+1.326|
016:+1.326|+1.327|+0.000|+0.000|+0.000|-0.000|+1.326|
017:+1.332|+1.327|+0.000|+0.000|+0.000|+0.000|+1.326|
018:+1.330|+1.326|+0.000|-0.000|+0.000|+0.000|+1.326|
019:+1.329|+1.326|+0.000|-0.000|+0.000|+0.000|+1.326|
020:+1.324|+1.323|+0.000|+0.000|+0.000|-0.000|+1.322|
021:+1.326|+1.320|+0.000|-0.000|+0.000|+0.000|+1.320|
022:+1.332|+1.319|+0.000|+0.000|+0.000|-0.000|+1.318|
023:+1.329|+1.328|+0.000|-0.000|+0.000|+0.000|+1.328|
024:+1.327|+1.328|+0.000|-0.000|+0.000|+0.000|+1.327|
025:+1.326|+1.328|+0.000|+0.000|+0.000|+0.000|+1.328|
026:+1.327|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
027:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.380|
028:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.380|
029:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.378|
030:+1.386|+1.325|+0.000|-0.000|-0.000|+0.000|+1.324|
031:+1.332|+1.327|+0.000|-0.000|+0.000|+0.000|+1.326|
032:+1.324|+1.324|+0.000|+0.000|+0.000|-0.000|+1.324|
033:+1.329|+1.327|+0.000|+0.000|-0.000|-0.000|+1.326|
034:+1.327|+1.386|+0.000|+0.000|+0.000|-0.000|+1.386|
035:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.379|
036:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.379|
037:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.380|
038:+1.386|+1.320|+0.000|-0.000|+0.000|+0.000|+1.320|
039:+1.331|+1.332|+0.000|-0.000|+0.000|+0.000|+1.331|
