MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.002|+1.301|+1.301|+0.002|-0.000|-0.002|-0.000|-0.008|+0.004|-0.000|+0.000|-0.005|+1.303|+0.000|+0.001|-0.004|+0.001|+0.000|+1.300|
002:+0.000|+0.001|+1.303|+1.303|+0.001|-0.000|-0.002|+0.000|-0.002|+0.004|+0.000|+0.000|-0.000|+1.301|-0.000|-0.006|+0.000|+0.000|+0.000|+1.295|
003:+0.000|+0.002|+1.305|+1.305|+0.002|+0.000|+0.003|+0.000|+0.015|-0.009|-0.000|+0.000|+0.009|+1.299|-0.000|-0.008|+0.004|+0.000|+0.000|+1.295|
004:+0.000|+0.002|+1.299|+1.299|+0.002|-0.000|-0.004|-0.000|-0.004|+0.006|-0.000|+0.000|-0.002|+1.302|+0.000|+0.007|-0.006|+0.000|+0.000|+1.303|
005:+0.000|+0.002|+1.301|+1.301|+0.002|+0.000|+0.004|+0.000|+0.002|-0.001|+0.001|+0.000|+0.005|+1.298|-0.000|+0.003|+0.000|-0.000|+0.000|+1.301|
006:+0.000|+0.002|+1.303|+1.304|+0.002|-0.000|+0.000|-0.000|-0.008|-0.000|-0.000|+0.000|-0.008|+1.302|+0.000|+0.005|-0.000|+0.000|+0.000|+1.306|
007:+0.000|+0.002|+1.304|+1.304|+0.002|-0.000|+0.001|-0.000|+0.010|-0.004|-0.000|+0.000|+0.008|+1.302|+0.000|-0.003|-0.000|+0.000|+0.000|+1.299|
008:+0.000|+0.001|+1.300|+1.300|+0.001|+0.000|+0.000|+0.000|-0.014|+0.006|-0.000|+0.000|-0.008|+1.303|-0.000|+0.007|-0.004|+0.000|+0.000|+1.306|
009:+0.001|+0.002|+1.307|+1.307|+0.002|+0.000|+0.001|-0.000|+0.008|-0.008|+0.000|+0.000|+0.000|+1.303|+0.000|-0.007|+0.002|-0.000|+0.000|+1.299|
010:+0.000|+0.002|+1.300|+1.300|+0.002|+0.000|+0.002|+0.000|-0.010|+0.005|-0.000|+0.000|-0.004|+1.304|-0.000|+0.001|-0.006|-0.000|+0.000|+1.299|
011:+0.001|+0.002|+1.306|+1.306|+0.002|+0.000|-0.005|-0.000|+0.007|+0.000|+0.001|+0.000|+0.002|+1.306|+0.000|-0.010|-0.002|-0.000|+0.000|+1.295|
012:+0.000|+0.002|+1.301|+1.301|+0.002|-0.000|-0.006|+0.000|+0.008|+0.001|-0.000|+0.000|+0.003|+1.301|-0.000|-0.002|-0.002|+0.000|+0.000|+1.297|
013:+0.000|+0.002|+1.296|+1.296|+0.002|+0.000|+0.002|-0.000|-0.005|+0.005|+0.000|+0.000|+0.002|+1.295|+0.000|+0.006|-0.001|+0.000|+0.000|+1.300|
014:+0.000|+0.002|+1.303|+1.303|+0.002|-0.000|+0.006|+0.000|-0.006|-0.004|-0.000|+0.000|-0.004|+1.297|+0.000|+0.001|+0.004|+0.000|+0.000|+1.302|
