H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.609|+1.551|+0.000|-0.275|+0.836|+1.112|+1.514|
002:+1.546|+1.489|+0.000|-0.208|+0.807|+1.015|+1.402|
003:+1.494|+1.454|+0.000|-0.152|+0.796|+0.948|+1.341|
004:+1.442|+1.433|+0.000|-0.119|+0.784|+0.903|+1.323|
005:+1.433|+1.430|+0.000|-0.117|+0.788|+0.906|+1.326|
006:+1.422|+1.441|+0.000|-0.097|+0.795|+0.892|+1.351|
007:+1.430|+1.446|+0.000|-0.117|+0.793|+0.911|+1.358|
008:+1.448|+1.454|+0.000|-0.129|+0.793|+0.921|+1.373|
009:+1.451|+1.457|+0.000|-0.145|+0.792|+0.937|+1.368|
010:+1.473|+1.474|+0.000|-0.134|+0.797|+0.931|+1.389|
011:+1.467|+1.470|+0.000|-0.140|+0.798|+0.939|+1.385|
012:+1.468|+1.476|+0.000|-0.141|+0.805|+0.946|+1.392|
013:+1.471|+1.469|+0.000|-0.155|+0.798|+0.953|+1.379|
014:+1.470|+1.470|+0.000|-0.158|+0.789|+0.947|+1.386|
015:+1.467|+1.466|+0.000|-0.141|+0.793|+0.934|+1.377|
016:+1.464|+1.472|+0.000|-0.139|+0.794|+0.933|+1.383|
017:+1.470|+1.465|+0.000|-0.142|+0.798|+0.940|+1.377|
018:+1.466|+1.461|+0.000|-0.151|+0.793|+0.944|+1.371|
019:+1.463|+1.466|+0.000|-0.139|+0.798|+0.937|+1.380|
020:+1.464|+1.472|+0.000|-0.134|+0.798|+0.932|+1.381|
021:+1.475|+1.466|+0.000|-0.157|+0.798|+0.955|+1.379|
022:+1.476|+1.474|+0.000|-0.140|+0.805|+0.945|+1.387|
023:+1.469|+1.467|+0.000|-0.155|+0.796|+0.951|+1.385|
024:+1.476|+1.470|+0.000|-0.149|+0.794|+0.943|+1.383|
025:+1.473|+1.468|+0.000|-0.154|+0.797|+0.951|+1.387|
026:+1.467|+1.482|+0.000|-0.383|+0.804|+1.188|+1.397|
027:+1.474|+1.462|+0.000|-0.408|+0.786|+1.194|+1.377|
028:+1.466|+1.465|+0.000|-0.396|+0.795|+1.191|+1.382|
029:+1.469|+1.479|+0.000|-0.383|+0.799|+1.182|+1.390|
030:+1.466|+1.456|+0.000|-0.388|+0.798|+1.186|+1.360|
031:+1.461|+1.451|+0.000|-0.372|+0.799|+1.171|+1.360|
032:+1.456|+1.460|+0.000|-0.375|+0.796|+1.171|+1.365|
033:+1.442|+1.446|+0.000|-0.379|+0.787|+1.165|+1.352|
034:+1.451|+1.454|+0.000|-0.372|+0.795|+1.167|+1.366|
035:+1.444|+1.449|+0.000|-0.374|+0.794|+1.169|+1.362|
036:+1.446|+1.452|+0.000|-0.375|+0.786|+1.161|+1.365|
037:+1.438|+1.450|+0.000|-0.364|+0.792|+1.156|+1.357|
038:+1.452|+1.450|+0.000|-0.374|+0.796|+1.170|+1.361|
039:+1.456|+1.449|+0.000|-0.375|+0.788|+1.164|+1.354|
