MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.004|+0.441|+0.667|+0.012|-0.204|-0.083|+0.009|-0.002|+0.009|+0.009|-0.065|-0.098|+1.605|+0.942|-0.061|-0.066|+0.015|+1.088|+1.521|
002:+0.015|+0.006|+0.425|+0.579|+0.020|-0.117|-0.093|-0.037|+0.023|+0.023|-0.016|-0.050|-0.033|+1.521|+0.950|-0.063|-0.057|+0.023|+1.022|+1.423|
003:+0.045|+0.007|+0.422|+0.537|+0.013|-0.102|-0.032|-0.027|+0.022|+0.011|-0.015|+0.006|-0.009|+1.428|+0.913|-0.039|-0.033|+0.008|+0.973|+1.390|
004:+0.054|+0.006|+0.408|+0.517|+0.013|-0.109|-0.020|-0.032|+0.028|+0.020|+0.000|+0.004|+0.003|+1.396|+0.886|-0.017|-0.022|-0.007|+0.979|+1.381|
005:+0.050|+0.006|+0.405|+0.526|+0.015|-0.120|+0.007|-0.002|-0.006|+0.002|+0.003|+0.004|+0.003|+1.377|+0.854|+0.011|-0.002|-0.007|+0.983|+1.383|
006:+0.044|+0.004|+0.404|+0.535|+0.009|-0.130|+0.005|-0.026|+0.009|+0.019|-0.002|+0.010|+0.010|+1.384|+0.851|+0.005|+0.000|-0.004|+0.987|+1.386|
007:+0.043|+0.005|+0.422|+0.564|+0.013|-0.141|+0.006|+0.011|-0.002|+0.001|+0.005|+0.003|+0.016|+1.389|+0.825|+0.013|+0.019|-0.007|+0.998|+1.396|
008:+0.038|+0.005|+0.421|+0.574|+0.011|-0.148|+0.027|+0.009|-0.008|-0.008|+0.005|+0.014|+0.001|+1.395|+0.836|+0.011|+0.020|-0.002|+1.000|+1.412|
009:+0.035|+0.006|+0.423|+0.583|+0.016|-0.148|+0.006|+0.002|+0.004|-0.005|-0.003|+0.007|+0.010|+1.422|+0.845|+0.003|+0.012|+0.003|+1.014|+1.413|
010:+0.035|+0.005|+0.418|+0.583|+0.015|-0.155|+0.005|+0.002|+0.000|-0.011|-0.000|+0.000|+0.000|+1.428|+0.847|+0.007|+0.007|+0.000|+1.021|+1.423|
011:+0.037|+0.007|+0.415|+0.582|+0.016|-0.158|-0.008|+0.006|-0.008|+0.007|+0.004|-0.015|-0.006|+1.433|+0.850|+0.008|-0.004|-0.000|+1.021|+1.424|
012:+0.037|+0.006|+0.424|+0.581|+0.015|-0.145|+0.010|+0.003|-0.005|-0.001|-0.001|+0.004|-0.001|+1.425|+0.855|-0.000|+0.003|+0.004|+1.007|+1.418|
013:+0.036|+0.006|+0.429|+0.582|+0.015|-0.140|-0.009|-0.012|+0.005|-0.002|+0.001|-0.014|-0.001|+1.435|+0.858|-0.005|+0.001|+0.003|+1.011|+1.417|
014:+0.034|+0.006|+0.431|+0.586|+0.013|-0.145|+0.006|+0.014|+0.003|-0.004|-0.005|+0.021|+0.003|+1.426|+0.847|-0.000|-0.001|+0.004|+0.996|+1.416|
015:+0.036|+0.005|+0.416|+0.569|+0.015|-0.145|-0.004|+0.003|+0.001|+0.000|-0.001|-0.006|+0.005|+1.431|+0.860|+0.002|-0.004|-0.001|+1.018|+1.419|
016:+0.034|+0.005|+0.420|+0.571|+0.016|-0.143|-0.006|-0.009|-0.002|+0.009|-0.001|+0.004|-0.001|+1.428|+0.863|+0.004|-0.004|-0.002|+1.011|+1.424|
017:+0.038|+0.004|+0.419|+0.574|+0.010|-0.152|+0.001|-0.001|-0.009|-0.004|+0.009|-0.010|-0.016|+1.422|+0.854|+0.002|+0.005|-0.003|+1.015|+1.423|
018:+0.038|+0.006|+0.419|+0.583|+0.015|-0.149|+0.001|+0.003|+0.003|+0.014|-0.009|+0.016|+0.009|+1.423|+0.853|-0.007|+0.001|+0.006|+1.005|+1.407|
019:+0.038|+0.005|+0.427|+0.578|+0.016|-0.143|-0.005|-0.002|+0.005|-0.003|+0.002|-0.008|+0.008|+1.424|+0.856|-0.004|+0.015|-0.003|+1.020|+1.416|
