MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.002|+1.194|+1.194|+0.002|-0.000|+0.001|+0.000|-0.001|+0.005|+0.000|+0.000|+0.004|+1.194|-0.000|+0.007|-0.002|-0.000|+0.000|+1.200|
002:+0.001|+0.002|+1.200|+1.199|+0.002|+0.000|-0.001|+0.000|-0.013|+0.005|+0.000|+0.000|-0.010|+1.195|+0.000|+0.006|+0.003|-0.000|+0.000|+1.204|
003:+0.000|+0.002|+1.204|+1.204|+0.002|-0.000|+0.006|-0.000|+0.008|-0.013|+0.000|+0.000|+0.000|+1.194|+0.000|-0.008|+0.008|+0.000|+0.000|+1.195|
004:+0.000|+0.002|+1.197|+1.197|+0.002|+0.000|-0.002|+0.000|-0.001|+0.004|-0.000|+0.000|+0.002|+1.200|-0.000|+0.000|-0.005|+0.000|+0.000|+1.195|
005:+0.000|+0.001|+1.199|+1.199|+0.001|-0.000|-0.003|+0.000|-0.006|+0.005|-0.000|+0.000|-0.003|+1.198|+0.000|-0.001|-0.001|-0.000|+0.000|+1.197|
006:+0.001|+0.002|+1.202|+1.202|+0.002|-0.000|+0.012|-0.000|+0.000|-0.008|+0.000|+0.000|+0.004|+1.195|+0.000|-0.007|+0.005|-0.000|+0.000|+1.194|
007:+0.000|+0.002|+1.205|+1.205|+0.002|+0.000|-0.006|+0.000|+0.016|-0.001|-0.000|+0.000|+0.009|+1.207|-0.000|-0.006|-0.003|-0.000|+0.000|+1.197|
008:+0.000|+0.002|+1.198|+1.198|+0.002|+0.000|-0.002|+0.000|-0.012|+0.000|+0.000|+0.000|-0.014|+1.201|+0.000|+0.010|-0.005|-0.000|+0.000|+1.207|
009:+0.001|+0.002|+1.197|+1.197|+0.002|-0.000|+0.006|-0.000|+0.006|+0.002|+0.000|+0.000|+0.014|+1.199|+0.000|-0.002|-0.004|-0.000|+0.000|+1.192|
010:+0.000|+0.002|+1.205|+1.205|+0.002|-0.000|+0.001|+0.000|-0.005|-0.004|-0.001|+0.000|-0.007|+1.205|+0.000|+0.004|-0.003|+0.000|+0.000|+1.207|
011:+0.001|+0.001|+1.202|+1.201|+0.001|-0.000|-0.005|+0.000|+0.012|-0.007|+0.001|+0.000|-0.001|+1.206|+0.000|-0.001|-0.007|-0.001|+0.000|+1.199|
012:+0.000|+0.002|+1.189|+1.189|+0.002|+0.000|-0.004|+0.000|-0.017|+0.020|-0.001|+0.000|-0.001|+1.201|+0.000|+0.011|-0.014|+0.000|+0.000|+1.199|
013:+0.001|+0.002|+1.205|+1.204|+0.002|+0.000|+0.008|-0.000|+0.008|-0.006|+0.001|+0.000|+0.009|+1.197|+0.000|-0.005|+0.006|-0.001|+0.000|+1.198|
014:+0.001|+0.002|+1.206|+1.206|+0.002|+0.000|-0.006|+0.000|-0.001|-0.001|+0.000|+0.000|-0.009|+1.205|-0.000|+0.003|-0.000|-0.000|+0.000|+1.207|
015:+0.000|+0.002|+1.199|+1.199|+0.002|+0.000|+0.005|+0.000|-0.005|-0.003|-0.000|+0.000|-0.003|+1.199|-0.000|+0.002|-0.002|-0.000|+0.000|+1.199|
016:+0.000|+0.002|+1.201|+1.201|+0.002|-0.000|-0.011|+0.000|+0.015|+0.007|+0.000|+0.000|+0.010|+1.204|+0.000|-0.004|-0.004|-0.000|+0.000|+1.196|
017:+0.000|+0.002|+1.196|+1.196|+0.002|+0.000|+0.000|-0.000|-0.020|+0.008|-0.000|+0.000|-0.011|+1.192|+0.000|+0.012|+0.002|+0.000|+0.000|+1.206|
018:+0.001|+0.003|+1.206|+1.206|+0.003|+0.000|+0.000|+0.000|+0.010|-0.005|+0.000|+0.000|+0.005|+1.192|-0.000|-0.008|+0.010|-0.000|+0.000|+1.195|
019:+0.000|+0.002|+1.200|+1.200|+0.002|-0.000|+0.009|-0.000|+0.008|-0.009|+0.000|+0.000|+0.008|+1.193|+0.000|+0.002|+0.005|+0.000|+0.000|+1.200|
020:+0.001|+0.002|+1.200|+1.200|+0.002|+0.000|-0.006|+0.000|-0.015|+0.005|-0.000|+0.000|-0.015|+1.202|+0.000|+0.010|-0.003|+0.000|+0.000|+1.208|
021:+0.001|+0.002|+1.199|+1.199|+0.002|-0.000|-0.000|+0.000|+0.007|+0.001|+0.001|+0.000|+0.007|+1.195|+0.000|-0.005|+0.002|-0.000|+0.000|+1.192|
022:+0.000|+0.001|+1.199|+1.199|+0.001|-0.000|+0.000|-0.000|-0.008|+0.006|-0.000|+0.000|-0.001|+1.195|+0.000|+0.002|+0.002|+0.000|+0.000|+1.199|
023:+0.000|+0.002|+1.206|+1.206|+0.002|-0.000|+0.001|+0.000|+0.005|-0.003|+0.000|+0.000|+0.002|+1.195|-0.000|-0.006|+0.009|-0.000|+0.000|+1.198|
024:+0.000|+0.002|+1.203|+1.203|+0.002|-0.000|+0.002|-0.000|-0.006|-0.002|-0.001|+0.000|-0.006|+1.196|+0.000|-0.001|+0.005|+0.000|+0.000|+1.200|
