MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.000|+0.002|+1.282|+1.283|+0.002|+0.000|+0.016|-0.000|+0.009|-0.020|-0.000|+0.000|+0.005|+1.267|+0.000|-0.006|+0.015|+0.000|+0.000|+1.274|
002:+0.000|+0.002|+1.279|+1.279|+0.002|+0.000|-0.003|+0.000|+0.006|-0.006|-0.000|+0.000|-0.004|+1.282|-0.000|+0.002|-0.005|+0.000|+0.000|+1.279|
003:+0.000|+0.001|+1.269|+1.269|+0.001|+0.000|-0.006|+0.000|+0.006|+0.002|-0.000|+0.000|+0.003|+1.279|-0.000|+0.008|-0.012|+0.000|+0.000|+1.276|
004:+0.001|+0.002|+1.267|+1.266|+0.002|-0.000|+0.007|+0.000|-0.004|-0.000|+0.001|+0.000|+0.001|+1.274|+0.000|+0.014|-0.010|-0.000|+0.000|+1.279|
005:+0.000|+0.002|+1.272|+1.273|+0.002|-0.000|-0.000|+0.000|-0.013|+0.005|-0.001|+0.000|-0.007|+1.280|+0.000|+0.010|-0.010|+0.000|+0.000|+1.280|
006:+0.001|+0.002|+1.277|+1.277|+0.002|-0.000|-0.012|-0.000|+0.001|+0.013|+0.001|+0.000|+0.001|+1.280|+0.000|-0.003|-0.005|-0.000|+0.000|+1.272|
007:+0.000|+0.002|+1.278|+1.278|+0.002|-0.000|+0.005|-0.000|+0.005|-0.010|-0.001|+0.000|+0.001|+1.268|+0.000|-0.002|+0.008|+0.000|+0.000|+1.274|
008:+0.001|+0.001|+1.272|+1.272|+0.001|-0.000|-0.004|+0.000|+0.001|+0.002|+0.001|+0.000|-0.001|+1.273|-0.000|+0.003|-0.002|-0.001|+0.000|+1.274|
009:+0.001|+0.002|+1.271|+1.271|+0.002|+0.000|+0.004|+0.000|+0.013|-0.005|+0.000|+0.000|+0.012|+1.269|-0.000|+0.005|+0.000|-0.000|+0.000|+1.274|
010:+0.000|+0.002|+1.269|+1.269|+0.002|-0.000|+0.000|+0.000|-0.016|+0.007|-0.000|+0.000|-0.009|+1.273|+0.000|+0.017|-0.005|-0.000|+0.000|+1.285|
011:+0.001|+0.002|+1.277|+1.277|+0.002|+0.000|-0.003|+0.000|-0.002|-0.001|+0.001|+0.000|-0.006|+1.273|+0.000|+0.002|+0.002|-0.000|+0.000|+1.277|
012:+0.000|+0.002|+1.272|+1.272|+0.002|+0.000|-0.001|-0.000|+0.007|+0.002|-0.001|+0.000|+0.008|+1.270|+0.000|-0.000|+0.001|+0.000|+0.000|+1.270|
013:+0.001|+0.002|+1.274|+1.274|+0.002|-0.000|+0.001|+0.000|-0.015|+0.002|+0.001|+0.000|-0.012|+1.269|-0.000|+0.007|+0.002|-0.000|+0.000|+1.279|
014:+0.000|+0.001|+1.275|+1.276|+0.001|+0.000|+0.005|+0.000|+0.012|+0.000|-0.001|+0.000|+0.018|+1.270|-0.000|-0.008|+0.005|+0.000|+0.000|+1.267|
015:+0.001|+0.001|+1.281|+1.281|+0.001|-0.000|-0.001|+0.000|-0.002|-0.007|+0.000|+0.000|-0.011|+1.275|+0.000|+0.004|+0.005|-0.001|+0.000|+1.285|
016:+0.001|+0.001|+1.273|+1.272|+0.001|-0.000|+0.001|-0.000|+0.006|-0.004|+0.000|+0.000|+0.003|+1.273|+0.000|+0.002|-0.002|-0.000|+0.000|+1.274|
017:+0.000|+0.001|+1.269|+1.269|+0.001|+0.000|+0.006|+0.000|-0.005|-0.006|-0.000|+0.000|-0.004|+1.274|-0.000|+0.009|-0.007|+0.000|+0.000|+1.276|
