H0|H0'|E|1|1_p1|1_p2|partial1|
001:+1.302|+1.303|+0.000|-0.000|+0.000|+0.000|+1.302|
002:+1.301|+1.302|+0.000|+0.000|+0.000|-0.000|+1.302|
003:+1.306|+1.300|+0.000|+0.000|+0.000|-0.000|+1.300|
004:+1.303|+1.304|+0.000|-0.000|+0.000|+0.000|+1.303|
005:+1.305|+1.302|+0.000|+0.000|+0.000|+0.000|+1.302|
006:+1.302|+1.307|+0.000|+0.000|+0.000|+0.000|+1.306|
007:+1.302|+1.306|+0.000|-0.000|+0.000|+0.000|+1.306|
008:+1.299|+1.302|+0.000|+0.000|+0.000|-0.000|+1.302|
009:+1.302|+1.300|+0.000|-0.000|+0.000|+0.000|+1.299|
010:+1.299|+1.306|+0.000|+0.000|+0.000|-0.000|+1.305|
011:+1.306|+1.301|+0.000|+0.000|+0.000|-0.000|+1.300|
012:+1.299|+1.304|+0.000|+0.000|+0.000|+0.000|+1.303|
013:+1.298|+1.301|+0.000|+0.000|+0.000|-0.000|+1.301|
014:+1.299|+1.305|+0.000|+0.000|+0.000|-0.000|+1.305|
015:+1.294|+1.309|+0.000|-0.000|+0.000|+0.000|+1.309|
016:+1.296|+1.305|+0.000|-0.000|+0.000|+0.000|+1.304|
017:+1.305|+1.311|+0.000|-0.000|+0.000|+0.000|+1.310|
018:+1.301|+1.306|+0.000|+0.000|+0.000|-0.000|+1.305|
019:+1.308|+1.299|+0.000|+0.000|+0.000|-0.000|+1.298|
020:+1.295|+1.307|+0.000|+0.000|+0.000|-0.000|+1.306|
021:+1.307|+1.301|+0.000|-0.000|+0.000|+0.000|+1.301|
022:+1.308|+1.304|+0.000|+0.000|+0.000|-0.000|+1.303|
023:+1.303|+1.301|+0.000|-0.000|+0.000|+0.000|+1.300|
024:+1.307|+1.304|+0.000|+0.000|+0.000|-0.000|+1.304|
025:+1.301|+1.294|+0.000|+0.000|+0.000|-0.000|+1.294|
026:+1.299|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
027:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
028:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
029:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
030:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
031:+1.386|+1.386|+0.000|+0.000|+0.000|+0.000|+1.386|
032:+1.386|+1.386|+0.000|+0.000|+0.000|-0.000|+1.385|
033:+1.386|+1.386|+0.000|+0.000|-0.000|-0.000|+1.386|
034:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
035:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
036:+1.386|+1.386|+0.000|-0.000|-0.000|+0.000|+1.386|
037:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.386|
038:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.385|
039:+1.386|+1.386|+0.000|-0.000|+0.000|+0.000|+1.385|
