MI|TE1|rTE1|TE2|rTE2|2|3_1|3_2|4_1|4_2|5|6_1|6_2|3_1_I|3_2_I|4_1_I|4_2_I|5_I|6_1_I|6_2_I|
001:+0.001|+0.002|+1.301|+1.301|+0.002|-0.000|-0.001|+0.000|-0.009|+0.002|+0.000|+0.000|-0.008|+1.298|-0.000|+0.007|+0.001|-0.000|+0.000|+1.306|
002:+0.000|+0.002|+1.302|+1.302|+0.002|-0.000|+0.008|-0.000|-0.002|-0.005|-0.000|+0.000|+0.001|+1.297|+0.000|-0.001|+0.003|+0.000|+0.000|+1.299|
003:+0.001|+0.002|+1.305|+1.305|+0.002|-0.000|-0.005|+0.000|-0.002|+0.008|-0.000|+0.000|+0.001|+1.305|-0.000|-0.004|-0.002|-0.000|+0.000|+1.300|
004:+0.001|+0.002|+1.308|+1.308|+0.002|+0.000|+0.003|+0.000|+0.002|-0.013|+0.000|+0.000|-0.008|+1.300|+0.000|-0.006|+0.007|-0.000|+0.000|+1.301|
005:+0.001|+0.002|+1.299|+1.299|+0.002|+0.000|-0.002|-0.000|-0.006|+0.013|+0.000|+0.000|+0.004|+1.303|+0.000|-0.004|-0.006|-0.000|+0.000|+1.293|
006:+0.000|+0.002|+1.309|+1.309|+0.002|-0.000|-0.009|+0.000|+0.013|+0.004|+0.000|+0.000|+0.007|+1.301|-0.000|-0.010|+0.006|-0.000|+0.000|+1.297|
007:+0.000|+0.002|+1.303|+1.303|+0.002|-0.000|+0.017|-0.000|+0.002|-0.015|+0.000|+0.000|+0.003|+1.292|+0.000|+0.003|+0.010|+0.000|+0.000|+1.304|
008:+0.000|+0.002|+1.305|+1.305|+0.002|+0.000|-0.007|+0.000|+0.005|+0.002|+0.000|+0.000|-0.001|+1.309|-0.000|+0.005|-0.005|+0.001|+0.000|+1.307|
009:+0.000|+0.003|+1.300|+1.301|+0.003|+0.000|-0.001|-0.000|-0.002|-0.005|+0.001|+0.000|-0.009|+1.301|+0.000|+0.009|-0.003|+0.001|+0.000|+1.307|
010:+0.000|+0.002|+1.293|+1.294|+0.002|-0.000|-0.004|+0.000|-0.008|+0.013|-0.001|+0.000|+0.002|+1.301|+0.000|+0.007|-0.009|+0.001|+0.000|+1.298|
011:+0.001|+0.002|+1.303|+1.303|+0.002|-0.000|+0.004|+0.000|-0.003|-0.004|-0.000|+0.000|-0.003|+1.297|+0.000|-0.001|+0.004|+0.000|+0.000|+1.300|
012:+0.001|+0.002|+1.302|+1.302|+0.002|+0.000|-0.005|+0.000|-0.004|+0.005|+0.000|+0.000|-0.004|+1.300|+0.000|-0.004|+0.000|-0.000|+0.000|+1.297|
013:+0.001|+0.002|+1.303|+1.303|+0.002|-0.000|+0.009|+0.000|+0.010|-0.013|-0.000|+0.000|+0.006|+1.296|+0.000|-0.008|+0.005|+0.000|+0.000|+1.293|
014:+0.000|+0.001|+1.299|+1.299|+0.001|-0.000|-0.006|+0.000|-0.007|+0.011|-0.000|+0.000|-0.002|+1.305|+0.000|+0.002|-0.007|+0.000|+0.000|+1.299|
015:+0.000|+0.001|+1.303|+1.303|+0.001|-0.000|+0.010|+0.000|-0.003|-0.007|+0.000|+0.000|-0.000|+1.299|+0.000|-0.005|+0.004|-0.000|+0.000|+1.297|
016:+0.000|+0.002|+1.307|+1.307|+0.002|+0.000|-0.011|-0.000|+0.010|+0.003|-0.000|+0.000|+0.002|+1.309|+0.000|-0.008|-0.004|+0.000|+0.000|+1.297|
017:+0.000|+0.002|+1.299|+1.299|+0.002|+0.000|+0.004|+0.000|+0.001|-0.002|+0.000|+0.000|+0.003|+1.298|-0.000|+0.002|-0.001|-0.000|+0.000|+1.299|
018:+0.000|+0.002|+1.301|+1.301|+0.002|-0.000|-0.002|-0.000|-0.007|+0.012|+0.000|+0.000|+0.002|+1.302|-0.000|+0.003|-0.003|+0.000|+0.000|+1.302|
019:+0.000|+0.002|+1.310|+1.311|+0.002|+0.000|+0.004|+0.000|+0.009|-0.014|+0.000|+0.000|-0.001|+1.300|-0.000|-0.005|+0.008|+0.000|+0.000|+1.304|
020:+0.000|+0.002|+1.300|+1.301|+0.002|+0.000|-0.004|+0.000|-0.011|+0.011|-0.001|+0.000|-0.004|+1.305|+0.000|+0.005|-0.006|+0.001|+0.000|+1.303|
021:+0.000|+0.002|+1.307|+1.307|+0.002|-0.000|+0.005|+0.000|+0.005|-0.014|+0.000|+0.000|-0.004|+1.300|+0.000|-0.007|+0.005|-0.000|+0.000|+1.299|
022:+0.001|+0.002|+1.298|+1.298|+0.002|-0.000|-0.004|+0.000|+0.009|+0.005|+0.000|+0.000|+0.009|+1.305|+0.000|-0.001|-0.009|+0.000|+0.000|+1.295|
