H0|H0'|E|1|1_p1|1_p2|partial1|
001:+0.693|+0.681|+0.000|+0.628|+0.628|+0.000|+0.681|
002:+0.681|+0.684|+0.000|+0.628|+0.628|-0.000|+0.683|
003:+0.682|+0.681|+0.000|+0.634|+0.634|+0.000|+0.681|
004:+0.682|+0.682|+0.000|+0.629|+0.629|+0.000|+0.682|
005:+0.682|+0.677|+0.000|+0.626|+0.626|+0.000|+0.677|
006:+0.681|+0.670|+0.000|+0.620|+0.620|-0.000|+0.669|
007:+0.675|+0.672|+0.000|+0.627|+0.627|+0.000|+0.672|
008:+0.671|+0.670|+0.000|+0.618|+0.618|+0.000|+0.670|
009:+0.669|+0.677|+0.000|+0.625|+0.625|-0.000|+0.677|
010:+0.669|+0.668|+0.000|+0.624|+0.624|+0.000|+0.668|
011:+0.672|+0.670|+0.000|+0.623|+0.623|+0.000|+0.670|
012:+0.672|+0.673|+0.000|+0.630|+0.630|+0.000|+0.673|
013:+0.668|+0.668|+0.000|+0.622|+0.622|+0.000|+0.668|
014:+0.670|+0.669|+0.000|+0.617|+0.617|+0.000|+0.669|
015:+0.670|+0.669|+0.000|+0.626|+0.626|-0.000|+0.669|
016:+0.672|+0.670|+0.000|+0.626|+0.626|-0.000|+0.670|
017:+0.667|+0.666|+0.000|+0.618|+0.618|+0.000|+0.665|
018:+0.671|+0.668|+0.000|+0.622|+0.622|+0.000|+0.668|
019:+0.664|+0.667|+0.000|+0.616|+0.616|+0.000|+0.667|
020:+0.666|+0.666|+0.000|+0.614|+0.614|+0.000|+0.666|
021:+0.665|+0.669|+0.000|+0.621|+0.621|+0.000|+0.669|
022:+0.664|+0.669|+0.000|+0.619|+0.619|+0.000|+0.669|
023:+0.666|+0.667|+0.000|+0.620|+0.620|+0.000|+0.667|
024:+0.669|+0.670|+0.000|+0.621|+0.621|+0.000|+0.670|
025:+0.668|+0.670|+0.000|+0.620|+0.620|-0.000|+0.670|
026:+0.672|+0.617|+0.000|+0.312|+0.312|+0.000|+0.617|
027:+0.618|+0.619|+0.000|+0.305|+0.305|+0.000|+0.619|
028:+0.618|+0.622|+0.000|+0.308|+0.308|-0.000|+0.622|
029:+0.615|+0.618|+0.000|+0.313|+0.313|+0.000|+0.618|
030:+0.614|+0.615|+0.000|+0.316|+0.316|+0.000|+0.615|
031:+0.616|+0.569|+0.000|+0.327|+0.327|-0.000|+0.569|
032:+0.580|+0.569|+0.000|+0.325|+0.325|-0.000|+0.568|
033:+0.576|+0.571|+0.000|+0.323|+0.323|+0.000|+0.571|
034:+0.571|+0.575|+0.000|+0.329|+0.329|+0.000|+0.575|
035:+0.573|+0.565|+0.000|+0.325|+0.325|+0.000|+0.565|
036:+0.573|+0.558|+0.000|+0.324|+0.324|-0.000|+0.558|
037:+0.569|+0.568|+0.000|+0.328|+0.328|+0.000|+0.568|
038:+0.569|+0.560|+0.000|+0.325|+0.325|+0.000|+0.560|
039:+0.568|+0.564|+0.000|+0.331|+0.331|+0.000|+0.564|
